ら
ら【螺】
ら【羅】
ラ
ら【等】
ら【拉】
ら【裸】
ら【螺】
ら【羅】
ら【邏】
ラ‐スペツィア
ラ‐サル
ラ‐サール
ラ‐トゥール
ラ‐ファイエット
ラ‐ファイエット
ラ‐フォンテーヌ
ラ‐ブリュイエール
ラ‐メトリ
ラ‐ロシュフーコー
ラア‐かんしょう【ラア環礁】
ラス‐アル‐ハイマ
ラアミスター‐こくりつこうえん【ラアミスター国立公園】
ラーメン【拉麺／老麺】
ラーユ【辣油】
アルヘンティーナ
ラ‐アルムダイナ‐きゅうでん【ラアルムダイナ宮殿】
らい【礼】
らい【来】
らい【雷】
らい【頼】
ら‐い【羅衣】
らい【癩】
らい【癩】
らい【罍】
らい【籟】
ライ
ライ
ライ
ライ
ライ
らい【来】
らい【礼】
らい【来〔來〕】
らい【雷】
らい【磊】
らい【頼】
らい【瀬】
ライアテア‐とう【ライアテア島】
ライアルプール
ライアー
らい‐い【来意】
らい‐う【雷雨】
らい‐うん【雷雲】
ライエ
らい‐えつ【来謁】
ライエル
らい‐えん【来援】
らい‐えん【来園】
らい‐えん【来演】
らい‐おう【来往】
らいおう‐の‐テラス【癩王のテラス】
ライオット
ライオン
ライオン
ライオン‐さいしょう【ライオン宰相】
ライオンズ
ライオンズ‐クラブ
ライオンズ‐ヘッド
ライオンぞう‐の‐おか【ライオン像の丘】
ライオン‐タマリン
ライオン‐とう【ライオン塔】
らいおん‐ばし【来遠橋】
らい‐か【来夏】
らい‐か【雷火】
ライカ
らい‐が【来駕】
らい‐かい【来会】
らい‐かく【来客】
ライ‐かく【ライ角】
ライカコタ‐の‐おか【ライカコタの丘】
ライカ‐ばん【ライカ判】
らい‐かん【礼冠】
らい‐かん【来館】
らい‐かん【来簡／来翰】
らい‐かん【来観】
らい‐かん【雷管】
らいかん‐せき【雷管石】
らいかん‐ピストル【雷管ピストル】
ライカート
らい‐が【来賀】
らい‐がい【雷害】
らい‐がん【雷丸】
ライガー
らいき【礼記】
らい‐き【来季】
らい‐き【来期】
ライキ‐イトニア
ライキピア‐こくりつほごく【ライキピア国立保護区】
らい‐きゃく【来客】
ライキャルトルグ
らいきゅう‐じ【頼久寺】
らい‐きょうへい【頼杏坪】
らい‐きん【癩菌】
らい‐ぎ【来儀】
らい‐ぎょ【雷魚】
ライク
らい‐くにつぐ【来国次】
らい‐くにとし【来国俊】
らい‐くにみつ【来国光】
らい‐くにゆき【来国行】
ライクリッキ
らい‐けい【雷鶏】
らい‐けん【来県】
らい‐げき【雷撃】
らいげき‐き【雷撃機】
らいげき‐みつど【雷撃密度】
らい‐げつ【来月】
らい‐こ【雷鼓】
らい‐こう【来光】
らい‐こう【来校】
らい‐こう【来航】
らい‐こう【来貢】
らい‐こう【来寇】
らい‐こう【雷公】
らい‐こう【雷光】
らい‐こう【雷汞】
らいこう【頼光】
らい‐ごう【来迎】
らい‐ごう【来降】
ライゴ
らいごう【頼豪】
らいごう‐いん【来迎院】
らいごう‐いんじょう【来迎引接】
らいごう‐じ【来迎寺】
らいごう‐ず【来迎図】
らいごう‐の‐さんぞん【来迎の三尊】
らいごう‐ばしら【来迎柱】
らいごうわさん【来迎和讃】
らい‐さい【来歳】
ラ‐イサベリカ
らい‐さん【礼賛／礼讃】
らいさん‐すいぎん【雷酸水銀】
らいさん‐まい【礼讃舞】
らい‐さんよう【頼山陽】
らいさんようとそのじだい【頼山陽とその時代】
らい‐サージ【雷サージ】
ライザー‐カード
ライザー‐くっさく【ライザー掘削】
ライザー‐ボード
ライザーレス‐くっさく【ライザーレス掘削】
らい‐し【礼紙／畾紙】
らい‐し【来旨】
らい‐し【櫑子／罍子】
らい‐じ【来示】
らいし‐がき【礼紙書（き）】
らい‐しゃ【来社】
らい‐しゃ【来車】
らい‐しゃ【来者】
らい‐しゃ【癩者】
ライシャワー
らい‐しゅう【来秋】
らい‐しゅう【来週】
らい‐しゅう【来集】
らい‐しゅう【来襲】
らいしゅう‐はんとう【雷州半島】
らい‐しゅん【来春】
らい‐しゅんすい【頼春水】
らい‐しょ【来書】
ライ‐しょうこうぐん【ライ症候群】
らい‐しん【来信】
らい‐しん【来診】
らいしん‐し【頼信紙】
らい‐じつ【来日】
らい‐じゅう【雷獣】
らい‐じょ【来序】
らい‐じょう【来状】
らい‐じょう【来場】
らい‐じん【雷神】
ライジング‐スター
ライジング‐ボラード
らいじん‐ジャパン【雷神ジャパン】
ライス
ライス
らい・す【礼す】
ライス‐カレー
らい‐すき【耒】
ライス‐シャワー
ライス‐センター
ライス‐テラス
ライスベス‐どおり【ライスベス通り】
ライス‐ペーパー
ライス‐ボウル
ライス‐ミルク
ライズ
らい‐せ【来世】
らい‐せい【雷声】
らいせ‐がね【来世金】
ライセンサー
ライセンシー
ライセンス
ライセンス‐アソシエート
ライセンス‐けいやく【ライセンス契約】
ライセンス‐こくさん【ライセンス国産】
ライセンス‐サーバー
ライセンス‐せいさん【ライセンス生産】
ライセンス‐にんしょう【ライセンス認証】
ライセンス‐パック
ライセンス‐ビジネス
ライゼン
ライソソーム
ライソゾーム
らい‐そん【来孫】
らい‐そん【雷樽】
らい‐たく【来宅】
ライター
ライター
らい‐だ【懶惰】
らい‐だん【来談】
ライダー
ライダー
ライダース‐ジャケット
らい‐ち【畾地】
ライチー
らい‐ちゃく【来着】
らい‐ちょう【来朝】
らい‐ちょう【来聴】
らい‐ちょう【雷鳥】
ライツ
ライツェ‐ひろば【ライツェ広場】
ライ‐ツー
ライティング
ライティング
ライティング‐ソフト
ライティング‐デスク
ライティング‐ビューロー
ライティング‐ボックス
ライティング‐レール
らい‐てい【雷霆】
らい‐てん【来店】
ライディング
ライディング‐ハビット
ライディング‐パンツ
らい‐でん【来電】
らい‐でん【雷電】
ライデン
ライデン
らいでん‐かいがん【雷電海岸】
らいでん‐ためえもん【雷電為右衛門】
ライデンバーグ
ライデン‐びん【ライデン瓶】
ライデンフロスト‐げんしょう【ライデンフロスト現象】
ライデンフロスト‐こうか【ライデンフロスト効果】
ライト
ライト
ライト
ライト
ライト
ライトライブリフッド‐しょう【ライトライブリフッド賞】
ライト‐アップ
ライト‐アート
らい‐とう【来冬】
らい‐とう【来島】
ライト‐ウイング
ライト‐ウエルターきゅう【ライトウエルター級】
ライト‐オペラ
ライト‐カーテン
ライト‐カーブ
ライト‐きゅう【ライト級】
