づ
づか【塚】
ずか‐ずか
づ‐から
づ・く【付く】
づくし【尽（く）し】
づくめ【尽くめ】
づくり【作り／造り】
づくろい【繕い】
づけ【漬け】
づけ【付け／附け】
づ・ける【付ける／附ける】
づたい【伝い】
つばい‐もも【椿桃／油桃／光桃】
ずぶり
づめ【詰（め）】
づら
づら【面／頰】
づら・い【辛い】
ずる‐ずる
づれ【連れ】
