と【人】
と【所／処】
ど
ど【土】
ど【弩】
ど【度】
ど【笯】
ド
ど
ど
ど【土】
ど【奴】
ど【努】
ど【弩】
ど【度】
ど【怒】
ド‐ブロイ
ド‐クインシー
ド‐ゴール
ド‐フリース
ドブロイ‐は【ドブロイ波】
ドブロイ‐はちょう【ドブロイ波長】
ドア
ドア‐チェーン
ドア‐アイ
ど‐あい【度合（い）】
ドアウエー‐ページ
ドア‐エンジン
ドア‐コック
ドア‐スコープ
ドアストッパー
ドア‐チェック
ドア‐チャイム
ど‐あつ【土圧】
ドア‐ツー‐ドア
ドアノッカー
ドアホン
ドア‐プライズ
ドア‐ボーイ
ドア‐ポスト
ドアマット
ドアマン
ドア‐ミラー
ど‐あり【度有り】
ドアーラ
どい【土井】
ど‐い【土居】
ドイ‐インタノン
ドイインタノン‐こくりつこうえん【ドイインタノン国立公園】
ドイカー‐とう【ドイカー島】
どい‐げた【土居桁】
どい‐こうち【土居光知】
ドイス‐イルマン
どい‐たかこ【土井多賀子】
どい‐たつお【土井辰雄】
ドイチェス‐エック
ドイチェ‐ばんごう【ドイチェ番号】
ドイチュラント
ど‐いっき【土一揆】
ドイツ
ど‐いつ【何奴】
ドイツ‐あやめ【ドイツ菖蒲】
ドイツえいゆうでんせつ【ドイツ英雄伝説】
ドイツ‐かくめい【ドイツ革命】
ドイツ‐かんねんろん【ドイツ観念論】
ドイツがた‐ひょうほんばこ【ドイツ型標本箱】
ドイツ‐きしだん【ドイツ騎士団】
ドイツ‐きほんほう【ドイツ基本法】
ドイツ‐きょうわこく【ドイツ共和国】
ドイツ‐こうぎょうきかく【ドイツ工業規格】
ドイツ‐こうくううちゅうセンター【ドイツ航空宇宙センター】
ドイツ‐ご【ドイツ語】
ドイツ‐ごい【ドイツ鯉】
ドイツごじてん【ドイツ語辞典】
ドイツごぶんぽう【ドイツ語文法】
ドイツしがくのしょ【ドイツ詩学の書】
ドイツじんのうた【ドイツ人の歌】
ドイツ‐たいそう【ドイツ体操】
ドイツ‐だいにテレビ【ドイツ第二テレビ】
ドイツ‐ていこく【ドイツ帝国】
ドイツ‐ほうそうれんめい【ドイツ放送連盟】
ドイツとういつこうしんきょく【ドイツ統一行進曲】
ドイツ‐とうひ【ドイツ唐檜】
ドイツ‐とりひきじょ【ドイツ取引所】
ドイツのあいさつ【ドイツの挨拶】
ドイツのうた【ドイツの歌】
ドイツ‐のうみんせんそう【ドイツ農民戦争】
ドイツのため‐の‐せんたくし【ドイツのための選択肢】
ドイツ‐ばこ【ドイツ箱】
ドイツ‐みんしゅきょうわこく【ドイツ民主共和国】
どいつも‐こいつ‐も【何奴も此奴も】
ドイツ‐もじ【ドイツ文字】
ドイツれいねん【ドイツ零年】
ドイツレクイエム
ドイツ‐れんぽう【ドイツ連邦】
ドイツれんぽう‐きかく【ドイツ連邦規格】
ドイツ‐れんぽうきょうわこく【ドイツ連邦共和国】
ドイツれんぽうきょうわこく‐きほんほう【ドイツ連邦共和国基本法】
ドイツろん【ドイツ論】
ドイトゥン‐きゅうでん【ドイトゥン宮殿】
ドイトゥン‐ロイヤルビラ
どい‐としかつ【土井利勝】
どい‐ばんすい【土井晩翠】
どい‐ぶき【土居葺き】
ドイム
ドイ‐モイ
ど‐いり【度入り】
ドイリー
ドイル
ドゥアップ
ドゥアラ
ドゥアルテ‐さん【ドゥアルテ山】
ドゥ‐イット‐ユアセルフ
ドゥイノのひか【ドゥイノの悲歌】
ドゥエロ‐かわ【ドゥエロ川】
ドゥオ
ドゥオモ
ドゥオン‐ドン
ドゥカーレ‐きゅうでん【ドゥカーレ宮殿】
ドゥガ
ドゥク‐ラングール
ドゥケ‐デ‐カシアス
ドゥシット‐きゅうでん【ドゥシット宮殿】
ドゥシットマハプラサート‐きゅうでん【ドゥシットマハプラサート宮殿】
ドゥシャンベ
ドゥジンカ
ドゥタール
ドゥッガ
ドゥッセルドルフ
ドゥッチョ
ドゥドゥク
ディドロ
ドゥフ
ドゥブルベ‐こくりつこうえん【W国立公園】
ドゥブロブニク
ドゥブロブニクきょうわこくそうとく‐てい【ドゥブロブニク共和国総督邸】
ドゥブロブニク‐だいせいどう【ドゥブロブニク大聖堂】
ドゥプトプ‐にそういん【ドゥプトプ尼僧院】
ドゥマイ
ドゥマグエテ
ドゥマゲッティ
ドゥマゲテ
ドゥマゴ‐しょう【ドゥ・マゴ賞】
ドゥムキー
ドゥヨン‐とう【ドゥヨン島】
ドゥラウ
ドゥラ‐エウロポス
ドゥラス
ドゥラット‐アル‐バーレーン
ドゥランゴ
ドゥル
ドゥルガプル
ドゥルガー‐じいん【ドゥルガー寺院】
ドゥルジュ
ドゥルーズ
ドゥレス
ドゥ‐ワップ
ドゥーン‐エンガス
ドゥーン‐オクラ
ドゥンカ‐ハウス
ドゥンス‐スコトゥス
ドゥンツェ‐ラカン
ドゥンブラバ‐の‐もり【ドゥンブラバの森】
ドゥーン‐ホンフル
ドゥン‐ラム
ドゥーアップ
ドゥーズ
ドゥーネット
ドゥーノット‐トラック
ドゥーパ
ドゥーフ
ドゥーフハルマ【道富波留麻】
ドゥーブのどうとふどうについて【ドゥーブの動と不動について】
ドームズデー
ドゥーラ
ドゥーラ‐こうか【ドゥーラ効果】
ドゥーラン
ドゥーリン
ドゥー‐ワップ
どう【同】
どう【胴】
どう【動】
どう【堂】
どう【筒】
どう【道】
どう【銅】
どう【幢】
どう【如何】
どう
どう
どう【同】
どう【洞】
どう【胴】
どう【動】
どう【堂】
どう【童】
どう【道】
どう【働】
どう【慟】
どう【銅】
どう【導】
どう【撞】
どう【瞠】
どう【獰】
どう【瞳】
どう‐あい【胴間】
どう‐あく【獰悪】
どう‐あげ【胴上げ／胴揚げ】
如何(どう)あっても
どう‐あつ【動圧】
どう‐あて【胴当て】
どう‐あん【同案】
どうあん【道安】
どうあん‐がこい【道安囲い】
どうアンモニア‐レーヨン【銅アンモニアレーヨン】
どう‐い【同位】
どう‐い【同異】
どう‐い【同意】
どう‐い【胴衣】
どう‐い【胴囲】
どう‐い【動意】
どう‐い【道衣】
どう‐いう
どういう風の吹き回しか
どうい‐かく【同位角】
どうい‐かく【同位核】
どうい‐がいねん【同位概念】
どうい‐けん【同意権】
どうい‐げんそ【同位元素】
どうい‐ご【同意語】
どうい‐さつじんざい【同意殺人罪】
どうい‐しょめん【同意書面】
どうい‐たい【同位体】
どういたい‐ひょうしき【同位体標識】
如何(どう)致(いた)しまして
どういだたいおよびどうちししょう‐ざい【同意堕胎及び同致死傷罪】
どうい‐だたいざい【同意堕胎罪】
どういだたいちし‐ざい【同意堕胎致死罪】
どういだたいちししょう‐ざい【同意堕胎致死傷罪】
どういだたいちしょう‐ざい【同意堕胎致傷罪】
どう‐いつ【同一】
どういつ【道一】
どういつかちろうどう‐どういつちんぎん【同一価値労働同一賃金】
どういつ‐がいねん【同一概念】
どういつ‐げんり【同一原理】
どういつ‐し【同一視】
どういつしゅうはすう‐パススルーほうしき【同一周波数パススルー方式】
どういつ‐せい【同一性】
どういつせいけい‐はいぐうしゃ【同一生計配偶者】
どういつせい‐ほじけん【同一性保持権】
どういつ‐たい【同一体】
どういつ‐てつ【同一轍】
どういつ‐てつがく【同一哲学】
どういつ‐てん【同一点】
どういつ‐りつ【同一律】
どういつろうどう‐どういつちんぎん【同一労働同一賃金】
どう‐いん【同韻】
どう‐いん【動因】
どう‐いん【動員】
どう‐いん【導引】
どう‐いん【導因】
どう‐う【堂宇】
どうう‐どう【銅烏幢】
どう‐うら【胴裏】
どう‐えい【道営】
どう‐おう【堂奥】
どう‐おう【道央】
どう‐おや【胴親／筒親】
どう‐おん【同音】
どう‐おん【導音】
どうおん‐いぎご【同音異義語】
どうおん‐ご【同音語】
どう‐か【同化】
どう‐か【同価】
どう‐か【堂下】
どう‐か【道家】
どう‐か【道歌】
どう‐か【銅戈】
どう‐か【銅貨】
どう‐か【導火】
どう‐か
