き【匹／疋】
ぎ
ぎ【妓】
ぎ【技】
ぎ【偽】
ぎ【義】
ぎ【儀】
ぎ【誼】
ぎ【魏】
ぎ【議】
ぎ【気】
ぎ【着】
ぎ【伎】
ぎ【妓】
ぎ【技】
ぎ【宜】
ぎ【祇】
ぎ【偽〔僞〕】
ぎ【欺】
ぎ【義】
ぎ【疑】
ぎ【儀】
ぎ【戯〔戲〕】
ぎ【誼】
ぎ【擬】
ぎ【犠〔犧〕】
ぎ【蟻】
ぎ【議】
ぎ【巍】
ギァープ
ギア
ぎ‐あく【偽悪】
ギアシフト
ギア‐チェンジ
ギアナ
ギアナ‐うちゅうセンター【ギアナ宇宙センター】
ギアナ‐こうち【ギアナ高地】
ギアナ‐たてじょうち【ギアナ楯状地】
ギア‐ひ【ギア比】
ギアラ
ギアリング
ギアリング‐レシオ
ギア‐レシオ
ギアを上(あ)・げる
ぎ‐あん【議案】
ぎい‐ぎい
ぎ‐いでんし【偽遺伝子】
モーパッサン
ぎ‐いん【偽印】
ぎ‐いん【議員】
ぎ‐いん【議院】
ぎいんうんえい‐いいんかい【議院運営委員会】
ぎいん‐きしょう【議員記章】
ぎいん‐きしょう【議院記章】
ぎいん‐きそく【議院規則】
ぎいんしょうげん‐ほう【議院証言法】
ぎ‐いんせい【偽陰性】
ぎいん‐とくてん【議員特典】
ぎいん‐ないかくせい【議院内閣制】
ぎいん‐ねんきん【議員年金】
ぎいん‐バッジ【議員バッジ】
ぎいん‐ほう【議院法】
ぎいん‐りっぽう【議員立法】
ぎいん‐れんめい【議員連盟】
ぎ‐うん【疑雲】
ぎ‐うん【議運】
ギェレルプ
ぎ‐えん【義捐／義援】
ぎえん【義淵】
ぎえん‐きん【義捐金／義援金】
ぎえんきんはいぶん‐いいんかい【義捐金配分委員会】
ぎおう【祇王／妓王】
ぎおう‐じ【祇王寺】
ぎ‐おん【祇園】
ぎ‐おん【擬音】
ぎおん‐え【祇園会】
ぎおんかしゅう【祇園歌集】
ぎおんこうた【祇園小唄】
ぎおん‐ご【擬音語】
ぎおんさいれいしんこうき【祇園祭礼信仰記】
ぎおん‐しゃ【祇園社】
ぎおん‐しょうじゃ【祇園精舎】
ぎおん‐づくり【祇園造（り）】
ぎおん‐どうふ【祇園豆腐】
ぎおん‐なんかい【祇園南海】
