れ
レ
レ‐プレイアード
レア
レア
レア
レア‐アース
レアアース‐じしゃく【レアアース磁石】
レアアース‐でい【レアアース泥】
レアアース‐フリー
レアギン
レア‐ケース
レア‐シュガー
レア‐チーズ
レア‐チーズケーキ
レア‐バリアント
レアム‐こくりつこうえん【レアム国立公園】
レア‐メタル
レア‐もの【レア物】
レアリザシオン
レアリスム
レアリテ
レアリティー
レアル
レアル‐デ‐カトルセ
レ‐アール
れい【令】
れい【礼】
れい【例】
れい【鈴】
れい【零】
れい【霊】
れい【隷】
レイ
レイ
れい【令】
れい【礼〔禮〕】
れい【伶】
れい【冷】
れい【励〔勵〕】
れい【戻】
れい【例】
れい【怜】
れい【玲】
れい【鈴】
れい【零】
れい【霊〔靈〕】
れい【黎】
れい【澪】
れい【隷】
れい【嶺】
れい【齢〔齡〕】
れい【麗】
レイアウェー
レイアウト
レイアップ‐シュート
れい‐あん【冷暗】
れい‐あんこくぶっしつ【冷暗黒物質】
れいあん‐しつ【霊安室】
れいあん‐しょ【冷暗所】
れい‐あんぽう【冷罨法】
レイアール‐ひろば【レイアール広場】
れい‐い【礼意】
れい‐い【霊位】
れい‐い【霊威】
れい‐い【霊異】
れい‐いき【霊域】
れいいき【霊異記】
れい‐いんきょく【冷陰極】
れいいんきょく‐かん【冷陰極管】
れいいんきょく‐けいこうかん【冷陰極蛍光管】
れいいんきょく‐けいこうランプ【冷陰極蛍光ランプ】
れいいんきょく‐ほうしゅつ【冷陰極放出】
れい‐う【冷雨】
れい‐う【零雨】
れい‐う【霊雨】
れい‐うん【霊雲】
れい‐えき【霊液】
れい‐えん【冷炎】
れい‐えん【冷艶】
れい‐えん【霊園】
れい‐えん【麗艶】
れい‐おう【霊応】
れい‐おうぎ【礼扇】
れい‐おく【霊屋】
レイオフ
れい‐おん【冷温】
れい‐おんたい【冷温帯】
れいおん‐ていし【冷温停止】
れいおんていし‐じょうたい【冷温停止状態】
れい‐か【冷夏】
れい‐か【冷菓】
れい‐か【零下】
れい‐か【霊化】
