ほ
ほ【ホ】
ほ【火】
ほ【帆】
ほ【秀】
ほ【歩】
ほ【保】
ほ【哺】
ほ【畝】
ほ【舗／鋪】
ほ【穂】
ホ
ほ【百】
ほ【布】
ほ【甫】
ほ【歩】
ほ【保】
ほ【哺】
ほ【圃】
ほ【捕】
ほ【浦】
ほ【畝】
ほ【補】
ほ【葡】
ほ【蒲】
ほ【輔】
ほ【舗】
ホランディア
ほ‐あし【帆足／帆脚】
ほあし‐ばんり【帆足万里】
ホワチヤオ【花椒】
ホア‐ヒン
ホア‐ライ
ホア‐ルー
ホアロー‐しゅうようじょ【ホアロー収容所】
ほ‐あん【保安】
ほあん‐かん【保安官】
ほあん‐かんさ【保安監査】
ホアンキエム‐こ【ホアンキエム湖】
ほあん‐けいさつ【保安警察】
ほあん‐しょぶん【保安処分】
ホアン‐シン【黄興】
ほあん‐じょうれい【保安条例】
ほあん‐たい【保安隊】
ほあん‐ちょう【保安庁】
ほあん‐よういん【保安要員】
ほあん‐りん【保安林】
ほ‐い【布衣】
ほ‐い【本意】
ほ‐い【補遺】
ほい
ホイ‐アン
ほい‐かご【ほい駕籠】
ほ‐いく【保育】
ほ‐いく【哺育／保育】
ほいく‐アプリ【保育アプリ】
ほいく‐えん【保育園】
ほいく‐き【保育器】
ほいく‐し【保育士】
ほいく‐しょ【保育所】
ほいく‐ママ【保育ママ】
ホイコーロー【回鍋肉】
ホイジンガ
ホイスト
ホイスト
ホイスト‐クレーン
ホイスパーリング‐シーエム
ホイッスラー
ホイッグ‐とう【ホイッグ党】
ホイッスル
ホイッスル‐ブロワー
ホイットニー
ホイットニー
ホイットニー
ホイットニー‐さん【ホイットニー山】
ホイットビー
ホイットビー‐しゅうどういん【ホイットビー修道院】
ホイットマン
ホイットリー‐ベイ
ホイップ
ホイップ‐アンテナ
ホイップ‐クリーム
ほ‐いっぽ【歩一歩】
ほ‐いつ【捕逸】
ほい‐と【陪堂／乞食／乞児】
ほい‐とう【陪堂】
ほい‐な・い【本意無い】
ホイヘンス
ホイヘンス
ホイヘンス‐の‐げんり【ホイヘンスの原理】
ほい‐ほい
ほいやり
ホイリゲ
ホイル
ホイル‐やき【ホイル焼（き）】
ほい‐ろ【焙炉】
ほ‐いん【保因】
ほいん‐しゃ【保因者】
ホイール
ホイールがた‐きょりけい【ホイール型距離計】
ホイール‐キャップ
ホイール‐クレーン
ホイール‐ピッチ
ホイールベース
ホイール‐ボタン
ホイール‐マウス
ホイール‐モーター
ホイール‐ロック
ほう【方】
ほう【法】
ほう【保】
ほう【封】
ほう【苞】
ほう【砲】
ほう【袍】
ほう【報】
ほう【鋒】
ほう【鵬】
ほう
ほう【方】
ほう【包】
ほう【呆】
ほう【彷】
ほう【抛】
ほう【芳】
ほう【邦】
ほう【奉】
ほう【宝〔寶〕】
ほう【庖】
ほう【抱】
ほう【放】
ほう【朋】
ほう【法】
ほう【泡】
ほう【封】
ほう【胞】
ほう【倣】
ほう【俸】
ほう【峰】
ほう【疱】
ほう【砲】
ほう【袍】
ほう【逢】
ほう【崩】
ほう【捧】
ほう【烹】
ほう【烽】
ほう【訪】
ほう【傍】
ほう【報】
ほう【堡】
ほう【幇】
ほう【萌】
ほう【硼】
ほう【蜂】
ほう【豊〔豐〕】
ほう【飽】
ほう【蓬】
ほう【鳳】
ほう【褒〔襃〕】
ほう【鋒】
ほう【縫】
ほう【鵬】
ほう‐あん【方案】
ほう‐あん【奉安】
ほう‐あん【法案】
ほうあん【保安】
ほうあん‐ていしゅつけん【法案提出権】
ほうあん‐でん【奉安殿】
ほう‐い【方位】
ほう‐い【包囲】
ほう‐い【布衣】
ほう‐い【芳意】
ほう‐い【宝位】
ほう‐い【法衣】
ほう‐い【法位】
ほう‐い【法威】
ほう‐い【胞衣】
ほうい
ほうい‐かいぼう【法医解剖】
ほうい‐かく【方位角】
ほう‐いがく【法医学】
ほう‐いき【邦域】
ほう‐いき【法域】
ほう‐いき【封域】
ほうい‐けん【放医研】
ほうい‐こんちゅうがく【法医昆虫学】
ほうい‐じしゃく【方位磁石】
ほうい‐じしん【方位磁針】
ほうい‐ずほう【方位図法】
ほう‐いつ【放逸／放佚】
ほうい‐はじめ【布衣始め】
ほう‐いみ【方忌（み）】
ほうい‐もう【包囲網】
ほうい‐りょうしすう【方位量子数】
ほう‐いん【芳韻】
ほう‐いん【宝印】
ほう‐いん【法印】
ホー‐インチン【何応欽】
ほう‐う【法宇】
ほう‐う【法雨】
ほう‐うん【宝運】
ほう‐え【法会】
ほう‐え【法衣】
ほう‐え【胞衣】
ほう‐えい【芳詠】
ほうえい【宝永】
ほう‐えい【放映】
ほう‐えい【泡影】
ほうえい‐きんぎん【宝永金銀】
ほうえい‐けん【放映権】
ほう‐えい‐けん【放影研】
ほうえい‐ざん【宝永山】
ほうえい‐じしん【宝永地震】
ほうえい‐つうほう【宝永通宝】
ほう‐えき【法益】
ほう‐えき【縫腋】
ほうえき‐の‐ほう【縫腋の袍】
ほう‐えつ【法悦】
ほうえつのマグダラのマリア【法悦のマグダラのマリア】
ほう‐えん【方円】
ほう‐えん【芳縁】
ほう‐えん【法筵】
ほう‐えん【法縁】
ほうえん【保延】
ほう‐えん【砲煙／砲烟】
ほう‐えん【烽煙／烽烟】
ほう‐えん【豊艶】
ほうえん‐こう【方鉛鉱】
ほうえん‐だんう【砲煙弾雨】
ほう‐おう【法王】
ほう‐おう【法皇】
ほう‐おう【訪欧】
ほう‐おう【鳳凰】
ほうおう‐ざん【鳳凰山】
ほうおう‐さんざん【鳳凰三山】
ほうおう‐ざ【鳳凰座】
ほうおう‐ちく【鳳凰竹】
ほうおう‐ちょう【法王庁】
ほうおうていせつ【法王帝説】
ほうおう‐どう【鳳凰堂】
ほうおうパウルスさんせい【法王パウルス三世】
ほうおう‐ぼく【鳳凰木】
ほうおう‐まる【鳳凰丸】
ほうおう‐もん【鳳凰文】
ほうおう‐りょう【法王領】
ほう‐おく【蓬屋】
ほう‐おん【方音】
ほう‐おん【芳恩】
ほう‐おん【法音】
ほう‐おん【法恩】
ほう‐おん【報恩】
ほうおん‐こう【報恩講】
ほうおん‐じ【報恩寺】
ほう‐か【包裹】
ほう‐か【半靴】
ほう‐か【邦家】
ほう‐か【邦貨】
ほう‐か【放下】
ほう‐か【放火】
ほう‐か【放過】
ほう‐か【放歌】
ほう‐か【放課】
ほう‐か【法科】
ほう‐か【法家】
ほう‐か【法貨】
ほう‐か【砲火】
ほうか【砲火】
ほう‐か【砲架】
ほう‐か【烽火】
ほう‐か【蜂窩】
ほう‐かい【彷徊】
ほう‐かい【抱懐】
ほう‐かい【法海】
ほう‐かい【法界】
ほう‐かい【崩壊／崩潰】
ほうかい【崩壊】
ほう‐がい【宝蓋】
ほうかい‐けいれつ【崩壊系列】
ほうかいしゃく‐がく【法解釈学】
ほうかい‐じ【宝戒寺】
ほうかい‐じ【法界寺】
ほうかい‐ずしき【崩壊図式】
ほうかい‐せいせいぶつ【崩壊生成物】
ほうかい‐せき【方解石】
ほうかい‐ていすう【崩壊定数】
ほうかい‐ねつ【崩壊熱】
ほうかい‐ぶし【法界節】
ほうかいぼう【法界坊】
ほうかい‐むえん【法界無縁】
ほうかい‐や【法界屋】
ほうかい‐りんき【法界悋気】
ほう‐かく【訪客】
ほう‐かく【蓬客】
ほう‐かく【鳳閣】
ほうかくきく‐きょう【方格規矩鏡】
ほうかく‐じ【鳳閣寺】
ほうか‐こうぎん【放歌高吟】
ほうか‐ご【放課後】
ほうかご【放課後】
ほうかご‐がくしゅう【放課後学習】
ほうかご‐こどもきょうしつ【放課後子ども教室】
ほうかご‐じどうクラブ【放課後児童クラブ】
ほうか‐ざい【放火罪】
ほうか‐し【放下師】
ほうかしき‐えん【蜂窩織炎】
ほうか‐そう【放下僧】
ほうかぞう【放下僧】
ほうか‐だいがくいん【法科大学院】
ほうかだて‐そうば【邦貨建相場】
ほう‐かつ【包括】
ほうかつ‐いぞう【包括遺贈】
ほうかつ‐ざいさん【包括財産】
ほうかつ‐しょうけい【包括承継】
ほうかつ‐しんようこうにゅうあっせん【包括信用購入斡旋】
ほうかつ‐せいとう【包括政党】
ほうかつ‐せきにんしゅぎ【包括責任主義】
ほうかつ‐てき【包括的】
ほうかつてき‐かくじっけんきんしじょうやく【包括的核実験禁止条約】
