か【処】
が
が【我】
が【画】
が【賀】
が【蛾】
が【雅】
が【駕】
が
が
が【牙】
が【瓦】
が【伽】
が【我】
が【画〔畫〕】
が【臥】
が【芽】
が【俄】
が【峨】
が【賀】
が【蛾】
が【雅】
が【餓】
が【駕】
が…だから
が…なら…も
があ‐があ
があん
ガアン‐ポイント
が‐い【我意】
が‐い【画意】
が‐い【臥位】
がい【垓】
がい【害】
が‐い【賀意】
がい【概】
がい【蓋】
ガイ
がい【該】
がい【甲斐】
がい【外】
がい【亥】
がい【劾】
がい【咳】
がい【孩】
がい【害】
がい【崖】
がい【涯】
がい【凱】
がい【街】
がい【慨】
がい【碍】
がい【該】
がい【概】
がい【蓋】
がい【骸】
がい【鎧】
がい【礙】
ガイア
ガイア‐かせつ【ガイア仮説】
がい‐あく【害悪】
がい‐あつ【外圧】
ガイアナ
ガイア‐りろん【ガイア理論】
かい‐あん【艾安／乂安】
がい‐い【外夷】
がい‐い【外衣】
がい‐い【外位】
がい‐い【外囲】
がい‐い【害意】
がい‐いちがい【咳一咳】
がい‐いん【外印】
がい‐いん【外因】
がい‐いん【外陰】
がいいん‐し【外因死】
がいいんせい‐はんどうたい【外因性半導体】
がい‐いんぶ【外陰部】
ガイウェイ【怪味】
ガイウス
ディオクレチアヌス
カトゥルス
オクタビアヌス
スエトニウス
グラックス
カエサル
がい‐えい【孩嬰】
がい‐えき【外役】
がい‐えふ【外衛府】
がい‐えん【外延】
がい‐えん【外炎／外焔】
がい‐えん【外苑】
がい‐えん【外援】
がい‐えん【外縁】
がいえんにし‐どおり【外苑西通り】
がいえんひがし‐どおり【外苑東通り】
がいえん‐りょう【外延量】
がい‐おんせい【外温性】
がい‐か【外貨】
がいか【垓下】
がい‐か【崖下】
がい‐か【凱歌】
がい‐か【蓋果】
がい‐かい【外海】
がい‐かい【外界】
がいか‐エムエムエフ【外貨MMF】
がいか‐きんゆう【外貨金融】
がい‐かく【外角】
がい‐かく【外客】
がい‐かく【外核】
がい‐かく【外殻】
がい‐かく【外郭／外廓】
がいかく‐だんたい【外郭団体】
がいかく‐もん【外郭門】
がいか‐さい【外貨債】
がいか‐しさん【外貨資産】
がいかしゅうちゅう‐せいど【外貨集中制度】
がいか‐しょうけん【外貨証券】
がいか‐じゅんびだか【外貨準備高】
がいか‐だて【外貨建て】
がいかだて‐さい【外貨建（て）債】
がいかだて‐さいけん【外貨建（て）債券】
がいかだて‐しさん【外貨建（て）資産】
がいかだて‐しゃさい【外貨建（て）社債】
がいかだて‐そうば【外貨建（て）相場】
がい‐かつ【概括】
がいか‐てがた【外貨手形】
がいか‐てどりりつ【外貨手取率】
がい‐かひ【外果皮】
がいか‐よきん【外貨預金】
がいか‐よたく【外貨預託】
凱歌(がいか)を揚(あ)・げる
凱歌(がいか)を奏(そう)・する
がい‐かん【外患】
がい‐かん【外間】
がい‐かん【外観】
がい‐かん【碍管】
がい‐かん【概観】
がい‐かん【蓋棺】
がいかんえんじょ‐ざい【外患援助罪】
がいかん‐ざい【外患罪】
がいかん‐じてい【蓋棺事定】
がいかん‐どう【外環道】
がいかんゆうち‐ざい【外患誘致罪】
がい‐がい【皚皚】
がい‐がんきん【外眼筋】
ガイガー
ガイガー‐カウンター
ガイガー‐けいすうかん【ガイガー計数管】
ガイガーミュラー‐カウンター
ガイガーミュラー‐けいすうかん【ガイガーミュラー計数管】
がい‐き【外気】
がい‐き【咳気】
がいき‐けん【外気圏】
がい‐きせい【外寄生】
がい‐きゃく【外客】
がい‐きゅう【外舅】
がい‐きゅう【鎧球】
がい‐きょ【街渠】
がい‐きょう【外教】
がい‐きょう【概況】
がい‐きょく【外曲】
がい‐きょく【外局】
がいき‐よく【外気浴】
がい‐きん【外勤】
がい‐ぎ【外議】
がい‐く【外懼】
がい‐く【街区】
がい‐く【街衢】
かい‐げ【改悔】
がい‐け【外家】
がい‐け【咳気】
がい‐けい【外形】
がい‐けい【外径】
がい‐けい【概形】
がい‐けい【概計】
がい‐けいじょうみゃく【外頸静脈】
がい‐けいどうみゃく【外頸動脈】
がいけい‐ひょうじゅんかぜい【外形標準課税】
がいけい‐りっしょう【外形立証】
がいけもん【改悔文】
がい‐けん【外見】
がい‐けん【外圏】
がい‐けん【概見】
がい‐げん【概言】
がい‐こ【外姑】
がい‐こう【外交】
がい‐こう【外光】
がい‐こう【外向】
がい‐こう【外航】
がい‐こう【外寇】
がい‐こう【外港】
がい‐こう【外項】
がい‐こう【外構】
がいこう‐いん【外交員】
がいこう‐か【外交家】
がいこう‐かいうん【外航海運】
がいこう‐かいうんぎょう【外航海運業】
がいこう‐かもつかいうんぎょう【外航貨物海運業】
がいこう‐かん【外交官】
がいこうかんけいウィーンじょうやく【外交関係ウィーン条約】
がいこう‐きかん【外交機関】
がいこう‐きみつひ【外交機密費】
がいこう‐こうでん【外交公電】
がいこう‐しせつ【外交使節】
がいこうしせつ‐だん【外交使節団】
がいこう‐しょくいん【外交職員】
がいこう‐じゃくせい【外交弱勢】
がいこう‐じれい【外交辞令】
がいこう‐せい【外向性】
がいこう‐せいしょ【外交青書】
がい‐こうせん【外光線】
がいこう‐せん【外航船】
