せ
せ【兄／夫／背】
せ【石花／石蜐】
せ【施】
せ【狭】
せ【背／脊】
せ【畝】
せ【瀬】
セ
せ【諾】
せ【世】
せ【施】
せあか‐ごけぐも【背赤後家蜘蛛】
セアラー
せい【井】
せい【正】
せい【生】
せい【生】
せい【制】
せい【姓】
せい【性】
せ‐い【所為】
せい【青】
せい【斉】
せい【星】
せい【背／脊】
せい【旌】
せい【勢】
せい【聖】
せい【精】
せい【製】
せい【静】
セイ
せい【世】
せい【井】
せい【世】
せい【正】
せい【生】
せい【成】
せい【西】
せい【声〔聲〕】
せい【制】
せい【姓】
せい【征】
せい【性】
せい【青】
せい【斉〔齊〕】
せい【城／情】
せい【政】
せい【星】
せい【牲】
せい【省】
せい【凄】
せい【栖】
せい【逝】
せい【悽】
せい【清】
せい【済／歳】
せい【盛】
せい【婿】
せい【掣】
せい【晴】
せい【棲】
せい【勢】
せい【睛】
せい【靖】
せい【聖】
せい【誠】
せい【精】
せい【製】
せい【誓】
せい【静〔靜〕】
せい【請】
せい【整】
せい【醒】
セー
せい‐あ【井蛙】
せい‐あい【性愛】
性(せい)相近(あいちか)く習(なら)い相遠(あいとお)し
せいあいとぞくあい【聖愛と俗愛】
せいアウグスティヌス‐しゅうどういん【聖アウグスティヌス修道院】
せいアエギディウス‐きょうかい【聖アエギディウス教会】
せい‐あく【性悪】
せいあく‐せつ【性悪説】
せいあしょう【井蛙抄】
井蛙(せいあ)大海を知らず
せい‐あつ【制圧】
せい‐あつ【征圧】
せい‐あつ【静圧】
せいあつ‐しゃげき【制圧射撃】
せいアナニア‐きょうかい【聖アナニア教会】
せいアネシュカ‐しゅうどういん【聖アネシュカ修道院】
井蛙(せいあ)の見(けん)
せいアルジュベティ‐きょうかい【聖アルジュベティ教会】
せいアルジュベティ‐だいせいどう【聖アルジュベティ大聖堂】
生(せい)ある者(もの)は必(かなら)ず死(し)あり
せい‐あん【成案】
せいあん【西安】
せいアン‐きょうかい【聖アン教会】
せいあん‐じけん【西安事件】
せいあん‐ぞうけいだいがく【成安造形大学】
せいアン‐だいせいどう【聖アン大聖堂】
せいアンデレ‐とう【聖アンデレ島】
せいアントニウス‐しゅうどういん【聖アントニウス修道院】
せいアントニウスのコラールによるへんそうきょく【聖アントニウスのコラールによる変奏曲】
せいアントニウスのゆうわく【聖アントニウスの誘惑】
せいアントワーヌのゆうわく【聖アントワーヌの誘惑】
せいアンドルーズ‐だいせいどう【聖アンドルーズ大聖堂】
せいアンナ‐きょうかい【聖アンナ教会】
せいアンナとせいぼし【聖アンナと聖母子】
せい‐い【正位】
せい‐い【生意】
せい‐い【西夷】
せい‐い【声威】
せい‐い【征夷】
せい‐い【征衣】
せい‐い【星位】
せい‐い【勢位】
せい‐い【勢威】
せい‐い【聖意】
せい‐い【誠意】
せいイェーカバ‐だいせいどう【聖イェーカバ大聖堂】
せい‐イオン【正イオン】
せい‐いき【西域】
せい‐いき【声域】
せい‐いき【聖域】
せいいきすいどうき【西域水道記】
せいいきでん【西域伝】
せいいき‐とごふ【西域都護府】
せいいき‐とし【聖域都市】
せいいきなき‐かんぜいてっぱい【聖域なき関税撤廃】
せい‐いく【生育】
せい‐いく【成育】
せいいく‐いりょう【成育医療】
せいイサク‐じいん【聖イサク寺院】
せいい‐し【征夷使】
せいイシュトバーン‐だいせいどう【聖イシュトバーン大聖堂】
せいイジー‐きょうかい【聖イジー教会】
せいイジー‐せいどう【聖イジー聖堂】
せい‐いそんしょう【性依存症】
