げ
げ【下】
げ【牙】
げ【夏】
げ【偈】
げ【解】
げ【気】
げ【下／夏／華】
げ【外】
げ【牙】
げ【解】
げ【戯】
げ‐あき【夏解／夏明き】
シュレーダー
ハウプトマン
げ‐あんご【夏安居】
げ‐い【外位】
げい【芸】
げい【羿】
げい【黥】
ゲイ
げい【芸〔藝〕】
げい【迎】
げい【睨】
げい【鯨】
げい【鯢】
ゲイ‐リュサック
げいあみ【芸阿弥】
げい‐いき【芸域】
げい‐いん【鯨飲】
げいいん‐ばしょく【鯨飲馬食】
げい‐うら【芸裏】
げい‐うんりん【倪雲林】
げい‐えつ【迎謁】
げい‐えん【芸苑】
げい‐おもて【芸表】
げい‐おん【鯨音】
げい‐か【猊下】
げい‐かい【芸界】
げい‐かく【迎角】
げい‐かん【迎寒】
げいかん‐ず【鯨瞰図】
芸(げい)が細か・い
芸(げい)が立・つ
芸(げい)がな・い
芸(げい)が身(み)を助(たす)けるほどの不仕合(ふしあ)わせ
げい‐ぎ【芸気】
ゲイキけいこく‐こくりつこうえん【ゲイキ渓谷国立公園】
げい‐ぎ【芸妓】
げい‐げい【鯨鯢】
げい‐げき【迎撃】
げいげき‐ミサイル【迎撃ミサイル】
げい‐こ【芸子】
げいこつせいぶつ‐ぐんしゅう【鯨骨生物群集】
げい‐ご【囈語】
げい‐ごう【迎合】
げい‐ごと【芸事】
げい‐さい【芸才】
げい‐さい【迎歳】
げい‐さん【倪瓚】
げい‐ざ【猊座】
げいし【鯨志】
げいしこう【鯨史稿】
げい‐しゃ【芸者】
げい‐しゃ【迎車】
げい‐しゅ【黥首】
げい‐しゅう【芸州】
げい‐しゅん【迎春】
げいしゅん‐か【迎春花】
げい‐しょう【霓裳】
げいしょう‐うい【霓裳羽衣】
げいしょう‐ぎ【芸娼妓】
げいしょうぎかいほう‐れい【芸娼妓解放令】
ゲイシール
げい‐じゅつ【芸術】
げいじゅつ‐いん【芸術院】
げいじゅついん‐しょう【芸術院賞】
げいじゅつ‐か【芸術家】
げいじゅつかのしょうがい【芸術家の生涯】
げいじゅつかのせいかつ【芸術家の生活】
げいじゅつ‐がく【芸術学】
げいじゅつ‐さい【芸術祭】
げいじゅつ‐ざ【芸術座】
