ぢ
ぢ【箇／個】
じ‐かく【痔核】
ち‐き【地気】
じ‐けつ【痔血】
じ‐しつ【痔疾】
ち‐じん【地神】
ち‐す【帙簀】
ち‐ふ【地府】
ち‐み【地味】
ちゃく‐しん【着心】
ちゃく・する【着する／著する】
ちゃく‐そう【着相】
ち‐ゆ【地楡】
ちょう‐こう【長講】
ちょう‐し【鑷子】
ちょう‐じゃく【朝夕】
ちょう‐ど【調度】
ちょう‐ぶく【調伏】
ちょう‐や【長夜】
ち‐りゃく【治略】
ち‐りょう【治療】
ち‐るい【地類】
ち‐ろ【地炉】
じ‐ろう【痔瘻】
ぢんぢんぢん【ぢん・ぢん・ぢん】
