ざ
ざ【座】
ザ
ざ【坐】
ざ【座】
ざ【挫】
ざあ
ザーサイ【搾菜／榨菜】
ざあ‐ざあ
ざあざあ‐ぶり【ざあざあ降り】
ざあっ‐と
ざあま・す
ざあます
ざあます‐ことば【ざあます言葉】
さい【才】
ざい【在】
ざい【材】
ざ‐い【座位】
ざい【財】
ざい【際】
ざい【剤】
ざい【在】
ざい【材】
ざい【剤〔劑〕】
ざい【財】
ざい【罪】
ざい‐あく【罪悪】
ざいあく‐かん【罪悪感】
ざい‐あん【罪案】
ざい‐い【在位】
ざい‐いん【在院】
ざい‐いん【罪因】
ザイェチャル
ざい‐えい【在営】
ざい‐えき【在役】
ざい‐えん【在園】
ざい‐おう【在欧】
ザイオン
ザイオン‐こくりつこうえん【ザイオン国立公園】
ざい‐か【在家】
ざい‐か【在荷】
ざい‐か【財貨】
ざい‐か【罪科】
ざい‐か【罪過】
ざい‐かい【財界】
ざい‐かい【罪魁】
ざいかい‐そうり【財界総理】
ざいかいたいへいき【財界太平記】
ざい‐かた【在方】
ざい‐かん【在官】
ざい‐かん【在監】
ざい‐がい【在外】
ざいがい‐きょういくしせつ【在外教育施設】
ざいがい‐こうかん【在外公館】
ざいがい‐しさん【在外資産】
ざいがい‐せいか【在外正貨】
ざいがい‐せんきょ【在外選挙】
ざいがい‐せんきょにんしょう【在外選挙人証】
ざいがい‐せんきょにんめいぼ【在外選挙人名簿】
ざいがい‐とうひょう【在外投票】
ざいがいとうひょうにん‐めいぼ【在外投票人名簿】
ざい‐がく【在学】
ざいがく‐ひよう【在学費用】
ざい‐きゅう【罪咎】
ざい‐きょう【在京】
ざい‐きょう【在郷】
ざいきょう‐キーきょく【在京キー局】
ざいきょう‐にん【在京人】
ざい‐きん【在勤】
ざいきん‐てあて【在勤手当】
ざいきん‐ぶんり【財金分離】
ざいきん‐もの【在勤者】
ざい‐く【罪垢】
ざい‐ぐち【在口】
ざい‐け【在家】
ざい‐け【済家】
ざい‐けい【剤形】
ざい‐けい【財形】
ざいけいききん‐ほけん【財形基金保険】
ざいけいきゅうふきん‐ほけん【財形給付金保険】
ざいけいじゅうたくちょちく‐つみたてほけん【財形住宅貯蓄積立保険】
ざいけいちょちく‐つみたてほけん【財形貯蓄積立保険】
ざいけいねんきん‐つみたてほけん【財形年金積立保険】
ざいけいねんきん‐ほけん【財形年金保険】
ざいけい‐ほうていしゅぎ【罪刑法定主義】
ざいけい‐ほけん【財形保険】
