ざ【座】
ざあざあ
ざい【在】
ざい【材】
ざい【財】
ざいあく【罪悪】
ざいい【在位】
ざいか【在荷】
ざいか【罪科】
ざいか【罪過】
ざいか【財貨】
ざいかい【財界】
ざいがい【在外】
ざいがく【在学】
ざいきょう【在京】
ざいきょう【在郷】
ざいきん【在勤】
ざいけ【在家】
ざいけい【財形】
ざいけいちょちく【財形貯蓄】
ざいげん【財源】
ざいげんのうらづけ【財源の裏付け】
ざいげんのうらづけがある【財源の裏付けがある】
ざいげんぶそく【財源不足】
ざいげんぶそくをかいしょう【財源不足を解消する】
ざいこ【在庫】
ざいこう【在校】
ざいごう【在郷】
ざいごう【罪業】
ざいさん【財産】
ざいさん【財産】
ざいさんかんり【財産管理】
ざいさんかんりにん【財産管理人】
ざいさんのしょうけんか【(国有)財産の証券化】
ざいさんばいきゃく【(国有)財産売却】
ざいさんをおんぞんする【財産を温存する】
ざいさんをちくせきする【財産を蓄積する】
ざいさんをまもる【財産を守る】
ざいしつ【材質】
ざいしょ【在所】
ざいしょく【在職】
ざいじゅう【在住】
ざいじょう【罪状】
ざいす【座椅子】
ざいせい【在世】
ざいせい【財政】
ざいせい【財政】
ざいせいあかじ【財政赤字】
ざいせいあっかのいちいん【財政悪化の一因】
ざいせいあなりすと【財政アナリスト】
ざいせいうんえい【財政運営】
ざいせいえんじょ【財政[資金]援助】
ざいせいかくだい【財政拡大】
ざいせいきき【財政危機[逼迫]】
ざいせいきばん【財政基盤】
ざいせいきりつ【財政規律】
ざいせいきりつ【財政規律】
ざいせいけんぜんか【財政健全化】
ざいせいけんぜんかけいかく【(政府の)財政健全化計画】
ざいせいこうか【財政効果】
ざいせいさいけんのあおじゃしん【財政再建の(ための)青写真】
ざいせいししゅつ【財政支出】
ざいせいししゅつ【財政支出】
ざいせいしゅうし【財政収支】
ざいせいしゅつどう【財政出動】
ざいせいしゅつどうにいぞんするけいざいうんえい【財政出動に依存する経済運営】
ざいせいじじょう【(厳しい)財政事情】
ざいせいじょうたい【財政状態】
ざいせいじょうたいのあっか【財政状態の悪化】
ざいせいせいさく【財政政策】
ざいせいてきおもに【財政的重荷】
ざいせいてきこんなん【財政的困難】
ざいせいてきせいやく【財政的制約】
ざいせいとうごう【財政統合】
ざいせいのけんぜん【財政の健全(性)】
ざいせいはたん【財政破綻[崩壊]】
ざいせいはたんする【財政破綻する】
ざいせいふたん【財政負担】
ざいせいをあっかさせる【財政を悪化させる】
ざいせいをかくだいする【財政を拡大する】
ざいせいをけんぜんにする【財政を健全にする】
ざいせいをさいけんする【財政を再建する】
ざいせいをたてなおす【財政を立て直す】
ざいせき【在席】
ざいせき【在籍】
ざいたく【在宅】
ざいたくかいご【在宅介護】
ざいたくきんむ【(インターネットなどを利用しての)在宅[遠隔]勤務】
ざいだん【財団】
ざいだんほうじん【財団法人】
ざいちゅう【在中】
ざいてく【財テク】
ざいにち【在日】
ざいにん【在任】
ざいにん【罪人】
ざいばつ【財閥】
ざいべい【在米】
ざいほう【財宝】
ざいむ【財務】
ざいむかんりょう【財務官僚】
