ほ【帆】
ほ【歩】
ほ【穂】
ほあん【保安】
ほあんけんさ【保安検査[セキュリティーチェック]】
ほい【補遺】
ほいく【保育】
ほいく【哺育】
ほいくし【保育士】
ほいっぽ【歩一歩】
ほいつ【捕逸】
ほいほい
ほう
ほう【報】
ほう【方】
ほう【法】
ほう【砲】
ほう【苞】
ほうあん【法案】
ほうあんしんぎ【法案審議】
ほうあんしんぎへのだんどりをつける【法案審議への段取りをつける】
ほうあんのしゅうせい【法案の修正】
ほうあんをきそうする【法案を起草する】
ほうあんをていしゅつする【法案を提出する】
ほうい【包囲】
ほうい【方位】
ほういかく【方位角】
ほういがく【法医学】
ほういがく【法医学】
ほうえ【法会】
ほうえ【法衣】
ほうえい【放映】
ほうえつ【法悦】
ほうえん【方円】
ほうえん【砲煙】
ほうえん【豊艶】
ほうおう【法王】
ほうおう【法皇】
ほうおう【訪欧】
ほうおう【鳳凰】
ほうおん【報恩】
ほうか【放歌】
ほうか【放火】
ほうか【法科】
ほうか【法貨】
ほうか【砲火】
ほうか【邦貨】
ほうかい【崩壊】
ほうかい【崩壊】
ほうかいしたたてもの【崩壊した建物】
ほうかいしたたてもの【崩壊した建物】
ほうかいしているそしき【崩壊している組織】
ほうかいせき【方解石】
ほうかいのせとぎわ【崩壊の瀬戸ぎわ】
ほうかご【放課後】
ほうかごじどうくらぶ【放課後児童クラブ[学童保育]】
ほうかさつじん【放火殺人】
ほうかだいがくいん【法科大学院】
ほうかだいがくいんはらんりつぎみだといわれる【法科大学院は乱立気味だと言われる】
ほうかつ【包括】
ほうかつてきかいけつ【包括的解決】
ほうかん【宝冠】
ほうかん【幇間】
ほうかん【砲艦】
ほうが【奉加】
ほうが【萌芽】
ほうが【邦画】
ほうがい【法外】
ほうがいなぜいきん【法外な税金】
ほうがく【方角】
ほうがく【法学】
ほうがく【邦楽】
ほうがん【包含】
ほうがん【砲丸】
ほうがんし【方眼紙】
ほうがんびいき【判官贔屓】
ほうき【放棄】
ほうき【法規】
ほうき【箒】
ほうき【芳紀】
ほうき【蜂起】
ほうきぐさ【箒草】
ほうきぼし【箒星】
ほうきゅう【俸給】
ほうきょう【豊胸】
ほうぎょ【崩御】
ほうぎん【放吟】
ほうけい【包茎】
ほうけい【方形】
ほうける【呆ける惚ける】
ほうけん【奉献】
ほうけん【封建】
ほうげい【奉迎】
ほうげき【砲撃】
ほうげん【放言】
ほうげん【方言】
ほうこ【宝庫】
ほうこう【咆哮】
ほうこう【奉公】
ほうこう【彷徨】
ほうこう【放校】
ほうこう【方向】
ほうこう【方向】
ほうこう【芳香】
ほうこうづける【方向付ける】
ほうこうりょうほう【芳香療法】
ほうこうをかえる【方向を変える】
ほうこく【報告】
ほうこく【報告】
ほうこく【報国】
ほうこくぎむ【(差別待遇の)報告義務】
ほうこくしょ【報告書】
ほうこくしょ【報告書】
ほうこくしょのしんらいせい【報告書の信頼性】
ほうこくしょのそあん【(…の)報告書の素案】
ほうこくしょのそあんをまとめる【報告書の素案をまとめる】
ほうこくしょをうけとる【報告書を受け取る】
ほうこくしょをこうかいする【報告書を公開する】
ほうこくしょをこうひょうする【報告書を公表[発表]する】
ほうこくしょをさいていしゅつする【報告書を再提出する】
ほうこくしょをさくせいする【報告書を作成する】
ほうこくしょをていしゅつする【(…に)報告書を提出する】
ほうこくしょをていせいする【報告書を訂正する】
ほうこくしょをていせいする【報告書を訂正する】
ほうこくしょをぶんせきする【報告書を分析する】
ほうこくしょをまとめる【報告書をまとめる】
ほうこくしょをみる【報告書を見る】
ほうこくしょをよむ【報告書を読む】
ほうこくをうける【報告を受ける】
ほうこれっとう【ほうこ(澎湖)列島】
ほうごう【縫合】
ほうさく【方策】
ほうさく【方策】
ほうさく【豊作】
ほうさくをうちだす【(…についての)方策を打ち出す】
ほうさくをこうじる【方策を講じる】
ほうさん【放散】
ほうさん【硼酸】
ほうし【奉仕】
ほうし【奉祀】
ほうし【放恣放肆】
ほうし【法師】
ほうし【胞子】
ほうし【芳志】
ほうしき【方式】
ほうしゃ【放射】
ほうしゃ【硼砂】
ほうしゃじょう【放射状】
ほうしゃせい【放射性】
ほうしゃせいはいきぶつ【放射性廃棄物】
ほうしゃせいはいきぶつのかんり【放射性廃棄物の管理】
ほうしゃせいはいきぶつをしょぶんするばしょ【放射性廃棄物を処分する場所】
ほうしゃせいぶっしつ【放射性物質】
ほうしゃせいぶっしつのもれ【放射性物質の漏れ】
ほうしゃせん【放射線】
ほうしゃせんひばくをていげんさせる【放射線被爆を低減させる】
ほうしゃせんりょうのけいさん【放射線量の計算】
ほうしゃせんりょうをかんしする【放射線量を監視する】
ほうしゃせんれべるのたかいばしょ【放射線レベルの高い場所】
ほうしゃのう【放射能】
ほうしゃのうおせん【放射能汚染】
ほうしゃのうおせんすい【放射能汚染水】
ほうしゃのうおせんど【放射能汚染土】
ほうしゃのうにおせんされたどじょう【放射能に汚染された土壌】
ほうしゃのうのれべるがていげんする【放射能のレベルが低減する】
ほうしゃのうもれ【放射能漏れ】
ほうしゃのうもれじこ【放射能漏れ事故】
ほうしゃのうもれのきけん【放射能漏れの危険】
ほうしゃれいきゃく【放射冷却《気象》】
ほうしゅ【法主】
ほうしゅ【砲手】
ほうしゅう【報酬】
ほうしゅく【奉祝】
ほうしゅつ【放出】
ほうしょ【奉書】
ほうしょう【報償】
ほうしょう【報奨】
ほうしょう【褒章】
ほうしょう【褒賞】
ほうしょうきんのしきゅう【報奨金の支給】
ほうしょく【奉職】
