み【実】
み【巳】
み【箕】
み【身】
みあい【見合い】
みあいけっこん【見合い結婚】
みあいじぎょう【(お)見合い事業】
みあう【見合う】
みあきる【見飽きる】
みあげる【見上げる】
みあたる【見当たる】
みあやまる【見誤る】
みあわせる【見合わせる】
みいだす【見出す】
みいらかしたいたい【ミイラ化した遺体】
みいり【実入り】
みいりのよいうりあげ【実入りのよい売り上げ】
みいる【見入る】
みいる【魅入る】
みうけ【身請け】
みうける【見受ける】
みうごき【身動き】
みうごきができない【身動きができない】
みうしなう【見失う】
みうち【身内】
みうり【身売り】
みえ【見得】
みえ【見栄】
みえかくれ【見え隠れ】
みえすく【見え透く】
みえっぱり【見栄っぱり】
みえみえ【見え見え】
みえる【見える】
みおくり【見送り】
みおくる【見送る】
みおさめ【見納め】
みおとし【見落とし】
みおとす【見落とす】
みおとり【見劣り】
みおぼえ【見覚え】
みおも【身重】
みおろす【見下ろす】
みかい【未開】
みかいきん【未解禁】
みかいけつ【未解決】
みかいたく【未開拓】
みかいはつ【未開発】
みかえし【見返し】
みかえす【見返す】
みかえり【見返り】
みかえりをようきゅうするこえ【見返りを要求する声】
みかえる【見返る】
みかぎる【見限る】
みかく【味覚】
みかくにん【未確認】
みかくにんせいぶつ【未確認生物】
みかくにんひこうぶったい【未確認飛行物体】
みかけ【見掛け】
みかける【見掛ける】
みかげいし【御影石】
みかじめりょう【みかじめ料】
みかた【味方】
みかた【見方】
みかづき【三日月】
みかど【帝】
みかねる【見兼ねる】
みかわす【見交わす】
みかん【未刊】
みかん【未完】
みかん【蜜柑】
みかんさんちののうか【ミカン産地の農家】
みかんせい【未完成】
みがき【磨き研き】
みがきあげる【磨き上げる研き上げる】
みがきたてる【磨き立てる研き立てる】
みがきにしん【身欠き鰊】
みがく【磨く研く】
みがって【身勝手】
みがってないいぶん【身勝手な言い分】
みがってないいわけ【身勝手な言い訳】
みがってなはんのう【身勝手な反応】
みがってなりくつ【身勝手な理屈】
みがまえ【身構え】
みがまえる【身構える】
みがら【身柄】
みがらひきわたしせいきゅう【身柄引き渡し請求】
みがらひきわたしせいきゅうをきょひする【身柄引き渡し請求を拒否する】
みがる【身軽】
みがわり【身代わり】
みき【幹】
みきき【見聞き】
みきり【見切り】
みきる【見切る】
