(ビデオ)ゲームソフト
げ【下】
げい【芸】
げいいき【芸域】
げいいん【鯨飲】
げいか【猊下】
げいげき【迎撃】
げいこ【芸子】
げいごう【迎合】
げいごと【芸事】
げいしゃ【芸者】
げいしゅん【迎春】
げいじゅつ【芸術】
げいじゅつ【芸術】
げいじゅつか【芸術家】
げいじゅつかつどう【芸術活動】
げいじゅつかつどうのじゆう【芸術活動の自由】
げいじゅつさい【芸術祭】
げいじゅつしんこう【芸術振興】
げいじゅつしんこう【芸術振興】
げいじゅつせい【芸術性】
げいじゅつだんたい【芸術団体】
げいじゅつてきえんぎ【芸術的演技】
げいじゅつてきかんせい【芸術的感性】
げいじゅつてきかんせい【芸術的感性】
げいじゅつてきぎのう【芸術的技能[技量]】
げいじゅつてきなはつめい【芸術的な発明】
げいじゅつのあき【芸術の秋】
げいじゅつのみなもと【芸術の源】
げいじゅつをかんしょうする【芸術を鑑賞する】
げいじゅつをしんこうする【芸術を振興する】
げいだん【芸談】
げいとう【芸当】
げいどう【芸道】
げいにく【鯨肉】
げいにん【芸人】
げいのう【芸能】
げいのう【芸能】
げいのうかい【芸能界】
げいのうかいしんしゅつ【芸能界進出】
げいのうかいのうらめん【芸能界の裏面[内面]】
げいのうかんけいしゃ【芸能関係者】
げいのうじん【芸能人】
げいのうにゅーす【芸能ニュース】
げいのむし【芸の虫】
げいひんかん【迎賓館】
げいふう【芸風】
げいめい【芸名】
げいゆ【鯨油】
げいゆ【鯨油】
げか【外科】
げかい【下界】
げかいいん【外科医院】
げかちりょう【外科治療】
げき【劇】
げき【檄】
げきえいが【劇映画】
げきえつ【激越】
げきか【劇化】
げきが【劇画】
げきげん【激減】
げきこみ【激混み】
げきこみをさける【激混みを避ける】
げきさく【劇作】
げきし【劇詩】
げきしょう【劇症】
げきしょう【激賞】
げきしょうがたようけつせいれんさきゅうきんかんせんしょう【劇症型溶血性レンサ球菌感染症】
げきしょうがたようけつせいれんさきゅうきんかんせんしょうかんじゃ【劇症型溶血性レンサ球菌感染症(に感染した)患者】
げきしょく【激職劇職】
げきしん【激震】
げきじょう【劇場】
げきじょう【激情】
げきじょうのかんきゃく【劇場の観客】
げきじん【激甚】
げきする【激する】
げきせん【激戦】
げきぞう【激増】
げきたい【撃退】
げきだん【劇団】
げきだん【劇壇】
げきちゅう【劇中】
げきちん【撃沈】
げきつい【撃墜】
げきつう【激痛劇痛】
げきてき【劇的】
げきてきなはったつのしょうちょう【劇的な発達の象徴】
げきてきなへんか【劇的な変化】
げきてきなへんかく【劇的な変革】
げきとう【激闘】
げきとつ【激突】
げきど【激怒】
げきどう【激動】
げきは【撃破】
げきはつ【激発】
げきひょう【劇評】
げきへん【激変劇変】
げきむ【激務劇務】
げきめつ【撃滅】
げきやく【劇薬】
げきやす【激安】
げきやすで【激安価格で】
げきりゅう【激流】
げきりん【逆鱗】
げきれい【激励】
げきれい【激励】
げきれいえんぜつ【激励演説】
げきれいかい【激励(集)会】
げきれいのことば【激励の言葉】
げきれつ【激烈】
げきろう【激浪】
げきろん【激論】
げけつ【下血】
げこ【下戸】
げこう【下校】
げこくじょう【下剋上】
げさく【戯作】
げざ【下座】
げざい【下剤】
げざん【下山】
げし【夏至】
げしゃ【下車】
げしゅく【下宿】
げしゅにん【下手人】
げじ【下知】
げじげじ【蚰蜒】
げじゅん【下旬】
げす【下種下衆】
げすい【下水】
げすいどうのおすいをしょりしさいりようする【下水道の汚水を処理し(農業に)再利用する】
げせない【解せない】
げせわ【下世話】
げせん【下船】
げせん【下賤】
げそく【下足】
げた【下駄】
げたげた
げたばこ【下駄箱】
げだい【外題】
げだつ【解脱】
げだん【下段】
げっか【月下】
げっか【激化】
げっかん【月刊】
げっかん【月間】
げっきゅう【月給】
げっきゅうぎ【月球儀】
げっけい【月経】
げっけいかん【月桂冠】
げっけいじゅ【月桂樹】
げっこう【月光】
げっこう【激高激昂】
げっさん【月産】
げっしゃ【月謝】
げっしゅう【月収】
げっしょく【月食月蝕】
げっしるい【齧歯類】
げっせかい【月世界】
げっそり
げっぴょう【月評】
げっぷ
げっぷ【月賦】
げっぽう【月報】
げつがく1まんのいりょうてあて【月額１万円の医療手当】
げつがく【月額】
げつまつ【月末】
げつめん【月面】
げつよう【月曜】
げつり【月利】
げつれい【月例】
げつれい【月齢】
げてもの【下手物】
げどう【外道】
げどく【解毒】
げなん【下男】
げねつ【解熱】
げば【下馬】
げばひょう【下馬評】
げひん【下品】
げひんなことば【下品な言葉】
げびた【下卑た】
げぼく【下僕】
げや【下野】
げらく【下落】
げらくあつりょく【(物価への)下落圧力】
げらくをあっしゅくする【下落(率)を圧縮する】
げらげら
げり【下痢】
げりゃく【下略】
げりらこうげき【ゲリラ攻撃】
げりらごうう【ゲリラ豪雨】
げれつ【下劣】
げろ
げろう【下郎】
げろげろ
げん【元】
げん【厳】
げん【弦】
げん【現】
げん【舷】
げん【言】
げん【験】
げんあつ【減圧】
げんあん【原案】
げんあん【原案】
げんいん【原因】
げんいん【原因】
げんいん【減員】
げんいんいでんし【(緑内障)原因遺伝子】
げんいんとけっか【原因と結果】
げんいんとけっか【原因と結果】
げんいんぶっしつ【(光過敏症)原因物質】
げんいんをかいめいする【(…の)原因を解明する】
げんえい【幻影】
げんえき【原液】
げんえき【減益】
げんえき【現役】
げんえん【減塩】
げんおん【原音】
げんか【原価】
げんか【減価】
げんか【現下】
げんか【言下】
げんかい【厳戒】
げんかい【限界】
げんかい【限界】
げんかいにいどむ【(自分の)限界に挑む】
げんかいにたっする【限界に達する】
げんかいにちかづく【(能力の)限界に近づく】
げんかいをかんじる【(自分の)限界を感じ(と)る】
げんかいをこえてはたらく【限界を超えて働く】
げんかいをさとる【(自分の能力の)限界を悟る】
げんかいをためす【(自分の)限界を試す】
げんかいをのばす【(自分の)限界を伸ばす[広げる]】
げんかいをみとめる【(その取り組みの)限界を認める】
げんかく【厳格】
げんかく【幻覚】
げんかくせいぶつ【原核生物】
げんかくなきまり【厳格な決まり】
げんかくなりこう【厳格な履行】
げんかしょうきゃく【減価償却】
げんかん【厳寒】
げんかん【玄関】
げんかん【玄関】
げんかんにかのじょがあらわれた【玄関に彼女が現れた】
げんかんのどあ【玄関のドア】
げんかんのどあ【玄関のドア】
げんが【原画】
げんがい【言外】
げんがく【弦楽】
げんがく【減額】
げんがく【衒学】
げんがっき【弦楽器】
げんき【元気】
げんき【元気】
げんき【原器】
げんき【衒気】
げんきだして！【元気出して！】
げんきづけられるにゅーす【元気づけられるニュース】
げんきでいきる【元気で生きる[暮らす]】
げんきでいる【(その日まで)元気でいる】
げんきなきぎょう【元気な企業】
げんきなせいちょう【元気な成長】
げんきにみえる【元気に見える】
げんきゅう【原級】
げんきゅう【減給】
げんきゅう【言及】
げんきゅう【言及】
げんきゅうしょぶん【減給処分】
げんきゅうのとりしまりやく【(会社の)現旧の取締役】
げんきょう【元凶】
げんきょう【現況】
げんきょく【原曲】
げんきをとりもどす【元気を取り戻す】
げんきん【厳禁】
げんきん【現金】
げんきん【現金】
げんきんいしつ【現金(の)遺失】
げんきんじどうあずけばらいき【現金自動預払機】
げんきんじどうあずけばらいきでとられたえいぞう【現金自動預払機で撮られた映像】
げんきんつうか【現金通貨】
げんきんではらう【現金で払う】
げんきんによるきふ【現金による寄付】
げんきんのやりとり【現金のやり取り】
げんきんはいとう【現金配当】
げんきんはいとう【現金配当】
げんきんはんばい【現金販売】
げんきんはんばい【現金販売】
げんきんばらい【現金(支)払い[支給]】
げんきんをあずけいれる【(ATMで)現金を預け入れる】
げんきんをうけとる【現金を受け取る】
げんきんをおとす【現金を落とす[失う]】
