で
で【出】
であい【出会い】
であい【出会い出合い】
であいけいさいと【出会い系サイト】
であう【出会う出合う】
であし【出足】
であし【出足】
であしからつまずく【出足からつまずく】
であしがよい【出足が良い】
であしがわるい【出足が悪い】
であしのはやさ【出足の速さ】
であるく【出歩く】
でぃすくどらいぶ【ディスクドライブ《コンピューター》】
でぃすぷれーこうこく【(魅力的画像を用いた)ディスプレー広告】
でぃーえぬえーかんてい【(体毛の)DNA鑑定】
でぃーぜるきかんしゃ【ディーゼル機関車】
でぃーぜるしゃ【ディーゼル車】
でぃーぜるでんききかんしゃ【ディーゼル電気機関車】
でぃーぜるねんりょう【ディーゼル(用)燃料［油］】
でぃーどすこうげき【DDoS攻撃】
でい【泥】
でいかざん【泥火山】
でいじょう【泥状】
でいすい【泥酔】
でいたん【泥炭】
でいちゅう【泥中】
でいど【泥土】
でいばんがん【泥板岩】
でいり【出入り】
でいりぐち【出入り口】
でいりぐち【出入り口】
でいりゅう【泥流】
でか
でかい
でかける【出掛ける】
でかす
でかせぎ【出稼ぎ】
でかた【出方】
でかでか
でがけ【出掛け】
でがらし【出涸し】
でき【出来】
できあい【出来合い】
できあい【溺愛】
できあがり【出来上がり】
できあがる【出来上がる】
できぐあい【出来具合】
できごころ【出来心】
できごと【出来事】
できし【溺死】
できすぎる【出来過ぎる】
できず【出来ず】
できそこない【出来損ない】
できた【出来た】
できたて【出来立て】
できだか【出来高】
できちゃったけっこん【できちゃった結婚】
できちゃったこん【出来ちゃった婚】
できね【出来値】
できばえ【出来栄え出来映え】
できふでき【出来不出来】
できぶつ【出来物】
できもの【出来物】
できる【出来る】
できるかぎり【出来る限り】
できるだけ【出来るだけ】
できるだけおおくのじょうきゃくをゆそうする【できるだけ多くの乗客を輸送する】
できるだけおおくのとうのさんどう【できるだけ多くの党の賛同】
でくのぼう【でくの坊】
でくわす【出くわす】
でぐち【出口】
でぐち【出口】
でぐちせんりゃく【出口戦略】
でぐちちょうさ【(投票の)出口調査】
でぐちちょうさ【(選挙の)出口調査】
でぐちではありません【出口ではありません《掲示》】
でげいこ【出稽古】
でこぼこ【凸凹】
でさかり【出盛り】
でさかる【出盛る】
でさき【出先】
