「しゅんせつ」のおおがたれんきゅう【(旧正月に当たる)「春節」の大型連休】
かぶぬしそうかいしーずん【株主総会シーズン】
かぶぬしそうかいしーずん【株主総会シーズン】
きゅうかしーずん【休暇(の)シーズン】
きゅうかしーずん【休暇(の)シーズン】
さくしーずん【昨シーズン】
し【史】
し【四】
し【士】
し【子】
し【市】
し【師】
し【死】
し【死】
し【氏】
し【詩】
し【資】
しあい【試合】
しあい【試合】
しあいかんせん【試合観戦】
しあいしゅうりょう【試合終了《ラグビーの》】
しあいしゅうりょうごに【試合終了後に】
しあいじかん【試合時間】
しあいにかつ【試合に勝つ】
しあいにまける【試合に負ける】
しあいのこうせいさ【試合の公正さ】
しあいのやまば【試合の山場】
しあいをおこなう【試合を行う】
しあいをけつじょうする【試合を欠場する】
しあいをけんぶつする【(テニスの)試合を見物する】
しあがり【仕上がり】
しあがる【仕上がる】
しあげ【仕上げ】
しあげる【仕上げる】
しあさって【明明後日】
しあつ【指圧】
しあわせ【幸せ仕合せ】
しあわせないきかた【幸せな生き方】
しあわせなけっこん【幸せな結婚】
しあわせなじんせい【幸せな人生】
しあわせなせかんどらいふ【幸せなセカンドライフを送る［過ごす］】
しあわせなであい【幸せな出会い】
しあわせなひととふこうなひととのらくさ【幸せな人と不幸な人との落差】
しあわせになるちゃんす【幸せになるチャンス】
しあわせをじっかんする【幸せを実感する】
しあん【思案】
しあん【私案】
しあん【試案】
しい【四囲】
しい【恣意】
しい【椎】
しい【私意】
しいか【詩歌】
しいく【飼育】
しいたけ【椎茸】
しいたげる【虐げる】
しいて【強いて】
しいる【強いる】
しいれ【仕入れ】
しいれる【仕入れる】
しいん【子音】
しいん【死因】
しいん【試飲】
しうち【仕打ち】
しうんてん【試運転】
しえい【市営】
しえい【私営】
しえき【使役】
しえき【私益】
しえん【支援】
しえん【支援】
しえん【私怨】
しえん【紫煙】
しえん【試演】
しえんさく【(…の)支援策】
しえんすたっふ【支援スタッフ】
しえんせいど【支援制度】
しえんだんたい【支援[支持]団体】
しえんにたいしおんがえしする【支援に対し恩返しする】
しえんのかべ【支援の壁】
しえんのわくぐみ【支援の枠組み】
しえんようせい【支援要請】
しえんをきたいする【(…への)支援を期待する】
しお【塩】
しお【潮】
しおあし【潮足】
しおあじ【塩味】
しおいり【潮入り】
しおいれ【塩入れ】
しおかげん【塩加減】
しおかぜのかんじ【潮風の感じ】
しおから【塩辛】
しおからい【塩辛い】
しおからとんぼ【塩辛蜻蛉】
しおき【仕置き】
しおくり【仕送り】
しおけ【塩気】
しおけむり【潮煙】
しおこしょう【塩胡椒】
しおさい【潮騒】
しおさめ【仕納め】
しおざかい【潮境】
しおざけ【塩鮭】
しおしお【萎萎悄悄】
しおじ【潮路】
しおせんべい【塩煎餅】
しおたいおう【塩対応】
しおだし【塩出し】
しおだち【塩断ち】
しおづけ【塩漬け】
しおどき【潮時】
しおひがり【潮干狩り】
しおふき【潮吹き】
しおみず【塩水】
しおもの【塩物】
しおもみ【塩揉み】
しおやき【塩焼き】
しおやけ【潮焼け】
しおらしい
しおり【栞】
しおりど【枝折り戸】
しおれる【萎れる】
しおん【歯音】
しおん【紫苑】
しか【史家】
しか【市価】
しか【歯科】
しか【歯科】
しか【鹿】
しかい【司会】
しかい【四海】
しかい【斯界】
しかい【死海】
しかい【視界】
しかいいん【歯科医院】
しかいしかい【歯科医師会】
しかいぜろ【視界ゼロ】
しかいのぞうか【歯科医の増加】
しかいりょう【歯科医療】
しかえし【仕返し】
しかかんけいしゃ【歯科関係者】
しかく【刺客】
しかく【四角】
しかく【死角】
しかく【視覚】
しかく【視角】
しかく【資格】
しかく【資格】
しかくしめん【四角四面】
しかくじょうほう【視覚情報】
しかくのあるかんごし【資格のある看護師】
