よ
よ【世】
よ【余】
よ【夜】
よあかし【夜明かし】
よあけ【夜明け】
よあそび【夜遊び】
よあつ【与圧】
よあるき【夜歩き】
よい【善い】
よい【宵】
よい【良い好い】
よい【酔い】
よいいんしょうをのこす【よい印象を残す】
よいきかいをほうきする【よい機会を放棄する】
よいこうい【よい行為[行い]】
よいごこち【酔い心地】
よいごし【宵越し】
よいざまし【酔い醒まし】
よいざめ【酔い覚め】
よいしょ
よいしれる【酔い痴れる】
よいすたいる【よいスタイル[姿]】
よいせんれい【よい先例】
よいせんれいをみならう【よい先例を見習う】
よいちえ【良い知恵】
よいちゅうこく【良い忠告】
よいっぱり【宵っ張り】
よいつぶす【酔い潰す】
よいつぶれる【酔い潰れる】
よいてほん【良い手本】
よいてほんをしめす【良い手本を示す】
よいてんき【良い天気】
よいどめ【酔い止め】
よいどれ【酔いどれ】
よいね【宵寝】
よいのくち【宵の口】
よいのみょうじょう【宵の明星】
よいばらんす【良いバランス】
よいひょうばん【(患者らの間での)よい評判】
よいほうこう【良い方向】
よいまちぐさ【宵待ち草】
よいまつり【宵祭り】
よいみほん【良い見本】
よいやみ【宵闇】
よいりっちじょうけん【良い立地条件】
よいん【余韻】
よう
よう【様】
よう【洋】
よう【用】
よう【癰】
よう【要】
よう【酔う】
よう【陽】
ようありがお【用有り顔】
ようあん【溶暗】
ようい【容易】
ようい【用意】
ようい【用意】
よういがある【(…の)用意がある】
よういがない【(…の)用意がない[できていない]】
よういく【養育】
よういくひのしはらい【養育費の支払い】
よういされたへや【用意された部屋】
よういしたかみぶくろ【用意した紙袋】
よういにやぶることのできないきろく【容易に破ることのできない記録】
よういん【要員】
よういん【要員】
よういん【要因】
よういん【要因】
よういんごうりか【要員合理化】
よういんのひとつ【要因の一つ】
よういんのぶんせき【要因の分析】
よういんぶそく【要員不足】
よういんをかいしょうする【要因を解消する】
よういんをかくほする【要員を確保する】
よういんをはけんする【要員を派遣する】
ようえき【溶液】
ようえき【用益】
ようえき【葉腋】
ようえん【妖艶】
ようおん【拗音】
ようか【八日】
ようか【沃化】
ようか【養家】
ようかい【妖怪】
ようかい【容喙】
ようかい【溶解】
ようかいご【要介護】
ようかいごしゃのじんかく【要介護者の人格】
ようかいごじょうたい【要介護状態《介護保険法で》】
ようかいごど【要介護度】
ようかいごにんてい【要介護認定】
ようかいごろうじん【要介護老人】
ようかいごろうじん【要介護老人】
ようかぎん【沃化銀】
ようかん【洋館】
ようかん【羊羹】
ようかカリウム【沃化カリウム】
ようが【洋画】
ようが【陽画】
ようがい【要害】
ようがく【洋学】
ようがく【洋楽】
ようがし【洋菓子】
ようがん【溶岩熔岩】
ようき【妖気】
ようき【容器】
ようき【陽気】
ようきなせいかく【陽気な性格】
ようきゅう【洋弓】
ようきゅう【要求】
ようきゅう【要求】
ようきゅうがきびしいもくひょう【要求が厳しい目標】
ようきゅうがく【要求額】
ようきゅうされたしょしき【(法律で)要求された書式】
ようきゅうするやとう【(…を)要求する野党】
ようきゅうそうがく【要求総額】
ようきゅうだんかいで【要求段階で】
ようきゅうのしぼりこみ【要求の絞り込み】
ようきゅうりゆう【要求理由】
ようきゅうをていしゅつする【(…の)要求を提出する】
ようきょう【容共】
ようきょく【謡曲】
ようきょく【陽極】
ようぎ【容疑】
ようぎ【容疑】
ようぎがかかっている【容疑がかかっている】
ようぎがかかる【容疑がかかる】
ようぎがはれる【容疑が晴れる】
ようぎょ【幼魚】
ようぎょ【養魚】
ようぎょう【窯業】
ようぎをきりかえる【(…から…に)容疑を切り替える】
