ぐ【具】
ぐ【愚】
ぐあい【具合】
ぐあん【愚案】
ぐい
ぐいぐい
ぐいのみ【ぐい飲み】
ぐう
ぐうい【寓意】
ぐういん【偶因】
ぐうきょ【寓居】
ぐうさく【偶作】
ぐうじ【宮司】
ぐうすう【偶数】
ぐうする【遇する】
ぐうぜん【偶然】
ぐうぜんのりあわせたじょうきゃく【(同じバスに)偶然乗り合わせた乗客】
ぐうぞう【偶像】
ぐうたら
ぐうているい【偶蹄類】
ぐうのね【ぐうの音】
ぐうはつ【偶発】
ぐうわ【寓話】
ぐきょ【愚挙】
ぐぐっ
ぐげん【具現】
ぐこう【愚行】
ぐさく【愚作】
ぐさく【愚策】
ぐさり
ぐしゃぐしゃ
ぐしゃり
ぐしょう【具象】
ぐしょぬれ【ぐしょ濡れ】
ぐしん【具申】
ぐすぐす
ぐず【愚図】
ぐずぐず【愚図愚図】
ぐずつく【愚図つく】
ぐずる【愚図る】
ぐそく【具足】
ぐたい【具体】
ぐたいあん【具体案】
ぐたいてきあおじゃしん【(…のための)具体的青写真】
ぐたいてきけんとう【具体的検討】
ぐたいてきこうどう【具体的行動】
ぐたいてきこんきょ【具体的根拠[証拠]】
ぐたいてきそちをこうじる【具体的措置を講じる】
ぐたいてきなあんをていじする【具体的な案を提示する】
ぐたいてきなじれい【具体的な事例】
ぐたいてきなすけじゅーる【具体的なスケジュール】
ぐたいてきなせいか【具体的な成果】
ぐたいてきなたいあん【具体的な対案】
ぐたいてきなてんぼうにかける【具体的な展望に欠ける】
ぐたいてきなとうべんをする【具体的な答弁をする】
ぐたいてきなにってい【具体的な日程】
ぐたいてきなびじょんをていきょうする【具体的なビジョンを提供する】
ぐたいてきなほうこう【具体的な方向】
ぐたいてきなほうさく【具体的な方策】
ぐたいてきなみちすじ【具体的な道筋】
ぐたいてきなもくひょう【具体的な目標】
ぐたいてきにけんとうする【(…を)具体的に検討する】
ぐたり
ぐだぐだ
ぐち
ぐち【愚痴】
ぐちゃぐちゃ
ぐちょく【愚直】
ぐちる【愚痴る】
ぐっぐっ
ぐっしょり
ぐっすり
ぐったり
ぐっと
ぐつぐつ
ぐでんぐでん
ぐどん【愚鈍】
ぐにゃぐにゃ
ぐにゃっぐにゃり
ぐび【具備】
ぐびぐび
ぐびじんそう【虞美人草】
ぐびりぐびりと
ぐまい【愚昧】
ぐみ【茱萸】
ぐみん【愚民】
ぐもん【愚問】
ぐらぐら
ぐらっ
ぐらつく
ぐらまーすくーる【グラマースクール《英国の中等学校》】
ぐらりぐらり
ぐりぐり
ぐりっ
ぐる
ぐるぐる
ぐるぐるっ
ぐるっぐるっ
ぐるり
ぐるんぐるん
ぐるーぷからのりはん【グループからの離反】
ぐるーぷぜんたいのとうちをきょうかする【グループ全体の統治を強化する】
ぐれつ【愚劣】
ぐれる
ぐれん【紅蓮】
ぐれんたい【愚連隊】
ぐれーぞーんじたい【グレーゾーン事態】
ぐれーぞーんじたい【グレーゾーン事態】
ぐれーぞーんじたいにたいしょする【グレーゾーン事態に対処する】
ぐろう【愚弄】
ぐろん【愚論】
ぐろーばるかのなみ【グローバル化の波】
ぐろーばるがいこう【グローバル外交】
ぐろーばるけいざい【グローバル経済】
ぐろーばるじんざい【グローバル人材】
ぐろーばるじんざいをそだてる【グローバル人材を育てる】
ぐろーばるせかいのみにちゅあばん【グローバル世界のミニチュア版】
ぐろーばるなしてんにたって【グローバルな視点に立って】
ぐろーばるなぼうえきるーる【グローバルな貿易ルール】
ぐん【群】
ぐん【軍】
ぐん【郡】
ぐんい【軍医】
ぐんえい【軍営】
ぐんえき【軍役】
ぐんか【軍歌】
ぐんか【軍靴】
ぐんかく【軍拡】
ぐんかん【軍艦】
ぐんがおこなうだんあつ【軍が行う弾圧】
ぐんがく【軍楽】
ぐんき【軍旗】
ぐんき【軍機】
ぐんき【軍紀】
ぐんき【軍規】
ぐんき【軍記】
ぐんきゃんぷのへんかん【軍キャンプの返還】
ぐんきょ【群居】
ぐんぐん
ぐんこう【軍功】
ぐんこう【軍港】
ぐんこく【軍国】
ぐんさんふくごうたい【軍産複合体】
ぐんし【軍使】
ぐんし【軍師】
ぐんしきん【軍資金】
ぐんしゅう【群衆群集】
ぐんしゅく【軍縮】
ぐんしゅくこうしょうのしれいとう【軍縮交渉の司令塔】
ぐんしょ【軍書】
ぐんしょう【群小】
ぐんしょく【軍職】
ぐんしれいかん【軍司令官】
ぐんしれいぶ【軍司令部】
ぐんしん【軍神】
ぐんじ【軍事】
ぐんじ【軍事】
ぐんじあなりすと【軍事アナリスト】
ぐんじいったいか【(両国間の)軍事一体化】
ぐんじえいせい【軍事衛星】
ぐんじえいせい【軍事衛星】
ぐんじえんしゅう【軍事演習】
ぐんじえんしゅう【軍事演習】
ぐんじえんじょ【軍事援助】
ぐんじかいにゅう【軍事[武力]介入】
ぐんじかいにゅう【軍事介入】
ぐんじがく【軍事学】
ぐんじきち【軍事基地】
ぐんじきちのせいりとうごう【軍事基地の整理統合】
ぐんじきみつ【軍事機密】
ぐんじきょうかいせん【(その二国間の)軍事境界線】
ぐんじきょうりょく【軍事協力】
ぐんじきょてん【軍事拠点】
ぐんじきょてん【軍事拠点】
ぐんじぎじゅつ【軍事技術】
ぐんじくーでたー【軍事クーデター】
ぐんじこうげきをかいしする【軍事攻撃を開始する】
ぐんじこうどう【軍事行動】
ぐんじこうどう【軍事行動】
ぐんじこうどうのきけんせいをかしかする【軍事行動の危険性を可視化する】
ぐんじこうどうのよこく【軍事行動の予告】
ぐんじこうりゅう【軍事交流】
