「どういつろうどうどういつちんぎん」【「同一労働同一賃金」】
ど【度】
どあい【度合い】
どあのかいへい【ドアの開閉】
どあのわく【ドアの枠】
どあをしめる【ドアを閉める】
どあをたたきこわす【ドアをたたき壊す】
どあをたたく【ドアをたたく】
どあをひらく【ドアを開く】
どいつ【何奴】
どう
どう【堂】
どう【如何】
どう【胴】
どう【銅】
どうあげ【胴上げ】
どうい【同意】
どうい【同意】
どうい【胴衣】
どういう【如何いう】
どういうわけか【どういう訳か】
どういかく【同位角】
どういげんそ【同位元素】
どういご【同意語】
どういする【(ものことに)同意する】
どういする【(人に)同意する】
どういたしまして
どういつ【同一】
どういん【動員】
どういん【動因】
どうおん【同音】
どうか
どうか【同化】
どうか【銅貨】
どうかく【同格】
どうかする
どうかすると
どうかせん【導火線】
どうかっしゃ【動滑車】
どうかつ【恫喝】
どうかん【動感】
どうかん【同感】
どうかん【導管】
どうかんすう【導関数】
どうが【動画】
どうが【童画】
どうがく【同学】
どうがく【同額】
どうがく【道学】
どうがさいと【動画サイト】
どうがさいとにえいぞうをとうこうする【動画サイトに映像を投稿する】
どうがさいとをえつらんする【動画サイトを閲覧する】
どうがはいしん【動画配信】
どうがはいしんがいしゃ【動画配信会社】
どうがをうつすきき【動画を映す機器】
どうがをさいせいする【動画を再生する】
どうがをさつえいする【(…の)動画を撮影する[撮る]】
どうがん【童顔】
どうき【動悸】
どうき【動機】
どうき【動機】
どうき【同期】
どうき【銅器】
どうきづけ【動機づけ】
どうきぼのじしん【同規模の地震】
どうきゅう【同級】
どうきょ【同居】
どうきょう【同郷】
どうきょう【道教】
どうきをせつめいする【動機を説明する】
どうぎ【動議】
どうぎ【動議】
どうぎ【胴着】
どうぎ【道義】
どうぎご【同義語】
どうぎょう【同業】
どうぎをさいたくする【動議を採択する】
どうぎをしじする【動議を支持する】
どうぎをていしゅつする【動議を提出する】
どうぎをひけつする【動議を否決する】
どうくつ【洞窟】
どうぐ【道具】
どうぐ【道具】
どうぐばこ【道具箱】
どうぐばこ【道具箱】
どうぐをつかう【道具を使う】
どうけ【道化】
どうけい【同型】
どうけい【同形】
どうけい【同慶】
どうけい【同系】
