あるきたばこ【歩きたばこ】
ろ【櫓】
ろ【炉】
ろ【絽】
ろあく【露悪】
ろう【労】
ろう【楼】
ろう【牢】
ろう【蝋】
ろうあ【聾唖】
ろうえい【朗詠】
ろうえい【漏洩】
ろうえい【漏洩】
ろうえいけんすう【漏洩件数】
ろうえいしたぶんしょ【漏えいした文書】
ろうえいのかのうせい【(…の)漏洩の可能性】
ろうえいのきけん【漏洩の危険】
ろうえいぼうし【漏洩防止】
ろうえき【労役】
ろうか【廊下】
ろうか【老化】
ろうかい【老獪】
ろうかく【楼閣】
ろうがい【老害】
ろうがっこう【聾学校】
ろうがん【老眼】
ろうきゅう【老朽】
ろうきゅうかしたいんふら【老朽化したインフラ】
ろうきゅうかしたげんしろをはいろにする【老朽化した原子炉を廃炉にする】
ろうきゅうかしたそうび【老朽化した装備】
ろうきゅうかしたどうろ【老朽化した道路】
ろうきゅうかしたはし【老朽化した橋】
ろうきゅうかしたみち【老朽化した道】
ろうきょう【老境】
ろうきょく【浪曲】
ろうく【老躯】
ろうけつ【臈纈蝋纈】
ろうこう【老巧】
ろうこつ【老骨】
ろうご【老後】
ろうご【老後】
ろうごく【牢獄】
ろうごについてのふあん【老後についての不安】
ろうごのいきかた【老後の生き方】
ろうごはさん【老後破産】
ろうごはさんにおいやられる【老後破産に追いやられる】
ろうさい【労災】
ろうさく【労作】
ろうざん【老残】
ろうし【労使】
ろうし【労資】
ろうし【牢死】
ろうしこうしょうのないよう【労使交渉の内容】
ろうしゅう【老醜】
ろうしゅう【陋習】
ろうしゅつ【漏出】
ろうしょう【朗唱朗誦】
ろうじゅく【老熟】
ろうじょう【籠城】
ろうじん【老人】
ろうじん【老人】
ろうじんあつかいする【老人扱いする】
ろうじんいりょう【老人医療】
ろうじんかいのもよおし【老人会の催し】
ろうじんくらぶ【老人クラブ】
ろうじんけんこうほけんせいど【老人健康保険制度】
ろうじんになる【老人になる】
ろうじんぱわー【老人パワー】
ろうじんふくしけいかく【老人福祉計画】
ろうじんふくししせつ【老人福祉施設】
ろうじんほーむ【老人ホーム】
ろうじんほーむ【老人ホーム】
ろうじんほーむのにゅうしょしゃ【老人ホームの入所者】
ろうじんほーむへのいもん【老人ホームへの慰問】
ろうじんほーむをうんえいする【老人ホームを運営する】
ろうじんようしゃくやへのほじょきん【老人用借家への補助金】
ろうすい【漏水】
ろうすい【老衰】
ろうする【労する】
ろうする【弄する】
ろうする【聾する】
ろうせい【老成】
ろうせき【蝋石】
ろうぜき【狼藉】
ろうぜんせいり【老前整理】
ろうそ【労組】
ろうそう【老荘】
ろうそく【蝋燭】
ろうそくのひかり【ろうそくの光】
ろうそくのほのお【ろうそくの炎】
ろうそにいぞんする【(選挙のために)労組に依存する】
ろうたい【老体】
ろうたいか【老大家】
ろうたいこく【老大国】
ろうたけた【臈たけた】
ろうづけ【鑞付け】
ろうでん【漏電】
ろうと【漏斗】
ろうどう【労働】
ろうどう【労働】
ろうどういどうせい【労働移動性[流動性]】
ろうどういどうせい【労働移動性】
ろうどうかい【労働界】
ろうどうかんきょう【労働環境】
ろうどうかんきょう【労働環境】
ろうどうかんきょうをせいびする【(高齢者の)労働環境を整備する】
ろうどうかんりせいど【労働管理制度】
ろうどうきじゅんかんとくしょ【労働基準監督署】
ろうどうきじゅんほうのきてい【労働基準法の規定】
ろうどうきじゅんほうは、きぎょうにたいしてざんぎょうやきゅうじつきんむにはわりましちんぎんをしはらうことをぎむづけている【労働基準法は、企業に対して残業や休日勤務には割増し賃金を支払うことを義務づけている】
ろうどうくみあい【労働組合】
ろうどうくみあい【労働組合】
ろうどうくみあいが…をようきゅうした【労働組合が…を要求した】
ろうどうけいやく【労働契約】
ろうどうさいがい【労働災害】
