だい2だんかいにはいる【第2段階に入る】
だい…じょうにきていするしせつ【第…条に規定する施設】
だい【代】
だい【台】
だい【大】
だい【題】
だいあん【代案】
だいい【代位】
だいい【題意】
だいいし【台石】
だいいち【第一】
だいいちじさんぎょう【第一次産業】
だいいちじさんぎょうだいにじさんぎょうだいさんじさんぎょうのくみあわせ【第一次産業第二次産業第三次産業の組み合わせ】
だいいちじよせん【第１次予選】
だいいちすてーじ【第１ステージ[段階]】
だいいちにんしゃ【第一人者】
だいいちのりゆう【第一の理由】
だいいっしん【第一審】
だいいっせい【第一声】
だいいっせん【第一線】
だいいっぽ【第一歩】
だいいっぽうのはっぴょう【第一報の発表】
だいいん【代印】
だいうちゅう【大宇宙】
だいえいていこく【大英帝国】
だいえいはくぶつかん【大英博物館】
だいおう【大王】
だいおう【大黄】
だいおうじょう【大往生】
だいおうやし【大王椰子】
だいおん【大恩】
だいおんじょう【大音声】
だいか【代価】
だいかいてん【大回転】
だいかこ【大過去】
だいかぞく【大家族】
だいかつ【大喝】
だいかん【代官】
だいかん【大寒】
だいかんみんこく【大韓民国】
だいがえ【代替え】
だいがく【大学】
だいがくいがくぶ【大学医学部】
だいがくいん【大学院】
だいがくきょうじゅ【大学教授】
だいがくこうないについらくする【大学構内に墜落する】
だいがくしゃ【大学者】
だいがくじゅけん【大学受験】
だいがくそつぎょうしゃ【大学卒業者】
だいがくにごうかくする【大学(入試)に合格する】
だいがくににゅうがくがんしょをだす【大学に入学願書を出す】
だいがくににゅうがくする【大学に入学する】
だいがくにゅうがくのしかくをえる【大学入学の資格を得る】
だいがくにゅうししーずん【大学入試[受験]シーズン】
だいがくのじち【大学の自治】
だいがくのじりつせい【大学の自律性】
だいがくのでーたべーす【大学のデータベース】
だいがくびょういん【大学病院】
だいがくびょういんのいし【大学病院の医師】
だいがくへのようせい【大学への要請】
だいがくほうかだいがくいんきょうじゅ【大学法科大学院教授】
だいがくやきゅう【大学野球】
だいがわり【代替わり】
だいがん【代願】
だいきぎょう【大企業】
だいきち【大吉】
だいきぼ【大規模】
だいきぼえんしゅう【大規模演習】
だいきぼこうじ【大規模(な)[大がかりな]工事】
だいきぼしせつ【大規模施設】
だいきぼたいようこうはつでん【大規模太陽光発電】
だいきぼないかん【大規模な移管】
だいきぼなそしき【大規模な組織】
だいきぼなつうしんとらぶるのたはつ【大規模な通信トラブルの多発】
だいきぼなていでん【大規模な停電】
だいきぼなでも【大規模なデモ】
だいきぼなはかい【大規模な破壊】
だいきぼのうか【大規模農家】
だいきゅう【代休】
だいきゅう【大弓】
だいきゅう【第九】
だいきゅうし【大休止】
だいきゅうし【大臼歯】
だいきゅうのわくせい【第九の惑星】
だいきょう【大凶】
だいきらい【大嫌い】
だいきん【代金】
だいきんをおさめる【代金を納める】
だいぎ【台木】
だいぎいん【代議員】
だいぎし【代議士】
だいぎせい【代議制】
だいく【大工】
だいくんい【大勲位】
だいけい【台形】
だいけん【大検】
だいけんしょう【大憲章】
だいげいこ【代稽古】
だいげん【代言】
だいげんすい【大元帥】
だいげんそく【大原則】
だいこう【代行】
だいこう【代講】
だいこうあんれいさんみゃく【だいこうあんれい(大興安嶺)山脈】
だいこうずいがそのちいきをおそった【大洪水がその地域を襲った】
だいこうずいでさらにだげきをうける【大洪水でさらに打撃を受ける】
だいこうとうしんけいつう【大後頭神経痛】
だいこうとうしんけいつうのちりょう【大後頭神経痛の治療】
だいこくてん【大黒天】
だいこくばしら【大黒柱】
だいこん【大根】
だいご【大悟】
だいご【第五】
だいごみ【醍醐味】
だいさぎ【大鷺】
だいさく【代作】
だいさん【代参】
だいさん【第三】
だいさんしゃきかん【第三者機関】
だいさんしゃきかんによるかんし【第三者機関による監視】
だいさんしゃきかんによるかんし【第三者機関による監視】
だいさんしゃによるけんさ【第三者による検査】
だいさんじになったさいきんのかさい【大惨事になった最近の火災】
だいざ【台座】
だいざい【題材】
だいし【台紙】
だいし【大師】
だいしきょう【大司教】
だいしぜん【大自然】
だいしっこう【代執行】
だいしゃ【台車】
だいしゃくしぎ【大杓鷸】
だいしゃりん【大車輪】
だいしゅうり【大修理】
だいしゅきょう【大主教】
だいしゅつりょくのちくでんち【大出力の蓄電池】
だいしょ【代書】
だいしょう【代償】
だいしょう【大小】
だいしょう【大証】
だいしょうさまざまないきもの【大小さまざまな生き物】
だいしょうべん【大小便】
だいしん【代診】
だいしんいん【大審院】
だいしんさい【大震災】
だいしんさい【大震災】
だいしんさいのきょうくん【大震災の教訓】
だいじ【大事】
だいじ【題字】
だいじ【題辞】
だいじしん【大地震】
だいじないのち【大事な[尊い]命】
だいじゃ【大蛇】
だいじゅう【第十】
だいじゅしょう【大綬章】
だいじょう【大乗】
だいじょうだん【大上段】
だいじょうぶ【大丈夫】
だいじょうみゃく【大静脈】
だいじり【台尻】
だいじん【大尽】
だいじん【大臣】
だいじんぐう【大神宮】
だいじんのけんげん【大臣の権限】
だいじんのじにん【大臣の辞任】
だいじんぶつ【大人物】
だいす【台子】
だいすう【代数】
だいすき【大好き】
だいすきなどらま【大好きなドラマ】
だいする【題する】
だいず【大豆】
だいせいこう【大成功】
だいせんきょくせい【大選挙区制】
だいぜん【大膳】
だいぜんてい【大前提】
だいそう【代走】
だいそうじょう【大僧正】
だいそれた【大それた】
だいたい【代替】
だいたい【大体】
だいたい【大腿】
だいたい【大隊】
だいたいえねるぎー【代替エネルギー】
だいたいそざい【代替素材】
だいたいちへのいてん【代替地への移転】
だいたいつうか【代替通貨】
だいたいでんげん【代替電源】
だいたいでんげん【代替電源】
だいたすう【大多数】
だいたん【大胆】
だいたんなかいかくのめすをいれるちゃんす【大胆な改革のメスを入れるチャンス】
だいたんなざいせいしゅつどうでのはきょく【大胆な財政出動での破局】
だいたんなたいさく【大胆な対策】
だいたんなだきょう【大胆な妥協】
だいたんなだきょうへふみだす【大胆な妥協へ踏み出す】
だいたんなちゅうもん【大胆な注文】
だいたんなはっそう【大胆な発想】
だいたんなひょうげん【大胆な表現】
だいたんなびじょん【大胆なビジョン】
だいだ【代打】
だいだい【代代】
だいだい【橙】
だいだいてき【大大的】
だいだいひょう【大代表】
だいだんえん【大団円】
だいち【台地】
だいち【大地】
だいちょう【台帳】
だいちょう【大腸】
だいちょうがん【大腸ガン】
だいちょうがん【大腸ガン】
だいちょうがんのはっせい【大腸がんの発生(のリスク)】
だいてんりっちほう【大店立地法】
だいとう【大刀】
だいとうりょう【大統領】
だいとうりょういっこう【大統領一行】
だいとうりょうせんでのはいぼく【大統領選での敗北】
だいとうりょうのいちぞく【大統領の一族】
だいとうりょうのけんげん【大統領の権限】
だいとうりょうのしゅうい【大統領の周囲】
だいとうりょうのむすめ【大統領の娘】
だいとかい【大都会】
だいとかいをめざす【大都会をめざす】
だいとし【大都市】
だいとし【大都市】
だいどう【大道】
だいどうこう【だいどうこう(大同江)】
だいどうし【代動詞】
だいどうしょうい【大同小異】
だいどうだんけつ【大同団結】
だいどうみゃく【大動脈】
だいどうみゃく【大動脈】
だいどうみゃくかいり【大動脈解離】
だいどうみゃくべん【大動脈弁】
だいどうみゃくべんきょうさくしょう【大動脈弁狭窄症】
だいどく【代読】
だいどころ【台所】
だいどころのいす【台所の椅子】
だいなし【台無し】
だいなな【第七】
だいなみっくなはっそう【ダイナミックな発想】
だいなん【大難】
だいに【第二】
だいにじさんぎょう【第二次産業】
だいにじせかいたいせん【第二次世界大戦】
だいにはん【第2版】
だいにばんめのおおがたはたん【第2番目の大型破綻】
だいにゅう【代入】
だいにん【代任】
だいの【大の】
だいのう【代納】
だいのう【大脳】
だいのう【大農】
だいのじ【大の字】
だいはち【第八】
だいはちぐるま【大八車】
だいばかり【台秤】
だいばくはつをおこす【大爆発を起こす】
だいばんじゃく【大盤石】
だいひっとしている【大ヒットしている】
だいひつ【代筆】
だいひょう【代表】
だいひょう【大兵】
だいひょうせいみんしゅしゅぎ【代表制民主主義】
だいひょうせいみんしゅしゅぎのりてんふりてん【代表制民主主義の利点不利点】
だいひょうてきないけん【代表的な意見】
だいひょうとりしまりやく【代表取締役】
だいびょういん【大病院】
だいふく【大福】
だいぶ【大分】
だいぶきん【台布巾】
だいぶつ【大仏】
だいぶぶん【大部分】
だいへん【代返】
だいへんかく【大(きな)変革】
だいべん【代弁】
だいべん【大便】
だいほうえ【大法会】
だいほん【台本】
だいほんざん【大本山】
だいみょう【大名】
だいめい【題名】
だいめいし【代名詞】
だいめいどうし【代名動詞】
だいもく【題目】
だいやく【代役】
だいやくしん【大躍進】
だいよう【代用】
だいよく【大欲】
だいよん【第四】
だいよんせだいこんぴゅーた【第四世代コンピュータ】
だいり【代理】
だいり【内裏】
だいりき【大力】
だいりせき【大理石】
だいりとうひょう【代理投票】
だいりはは【代理母】
だいりははをうける【代理母を引き受ける】
だいりーぐのだいすたー【大リーグの大[スーパー]スター】
だいれいふく【大礼服】
だいれくとめーる【ダイレクトメール《通販》】
だいれんりつのあいてさき【大連立の相手先】
だいろく【第六】
だいろっかん【第六感】
だいスンダれっとう【大スンダ列島】
だいリーガー【大リーガー】
だいリーグ【大リーグ】
だい－【大－】
だい－【第－】
だうこうぎょうへいきんかぶか【ダウ工業平均株価】
だうんろーどのそくど【ダウンロードの速度《コンピューターの》】
だえき【唾液】
だえん【楕円】
だかい【打開】
だかいてんをさぐるどりょく【打開点をさぐる努力】
だかつ【蛇蝎】
だから
だかん【兌換】
だが
だがし【駄菓子】
だがっき【打楽器】
だき【唾棄】
だきあう【抱き合う】
だきあげる【抱き上げる】
だきあわせ【抱き合わせ】
だきおこす【抱き起こす】
だきかかえる【抱き抱える】
だきぐせ【抱き癖】
だきこむ【抱き込む】
だきしめる【抱き締める】
だきすくめる【抱き竦める】
だきつきすり【抱き付き掏摸】
だきつく【抱き付く】
だきとめる【抱き留める】
だきね【抱き寝】
だきゅう【打球】
だきょう【妥協】
だきょう【妥協】
だきょうあん【妥協案】
だきょうあん【妥協案】
だきょうあんをむにする【妥協案を無にする】
だきょうするかのうせい【妥協する可能性】
だきょうてん【妥協点】
だきょうてんをさぐる【妥協点を探る】
だきょうてんをみつける【妥協点を見つける】
だきょうにおうじる【妥協に応じる[する]】
だきょうにこぎつける【妥協にこぎつける】
だきょうにはしる【(…との)妥協に走る】
だきょうのぎじゅつ【妥協の技術】
だきょうのさんぶつ【妥協の産物】
だきょうのさんぶつ【妥協の産物】
だきょうのみちをさぐる【妥協の道を探る】
だきょうをうけいれる【妥協を受け入れる】
だきょうをかんがえる【妥協を考える】
だきょうをこばむ【(…との)妥協を拒む】
だきょうをはかる【妥協を図る】
だきょうをゆるさぬしせいでいどむ【(…に対して)妥協を許さぬ姿勢で臨む】
だきよせる【抱き寄せる】
だく【抱く】
だくあし【跑足】
だくおん【濁音】
だくすい【濁水】
だくせ【濁世】
だくだく
だくてん【濁点】
だくひ【諾否】
だくりゅう【濁流】
だけつ【妥結】
だけつ【妥結】
だけつする【妥結する】
だけつにむけて【(…の)妥結に向けて】
だけつをめざす【(…の)妥結を目指す】
だけん【駄犬】
だげき【打撃】
だげき【打撃】
だげきすたいる【打撃[バッティング]スタイル】
だげきをあたえる【(…に)打撃を与える】
だげきをかるくする【打撃を軽くする】
だげきをかんわする【打撃を緩和する】
だげきをのりきる【打撃を乗り切る】
だこう【蛇行】
だこく【打刻】
