－づき【－付き】
－づく【－付く】
－づくし【－尽くし】
－づくり【－作り－造り】
－づけ【－付け】
－づけ【－漬け】
－づたい【－伝い】
－づみ【－積み】
－づめ【－詰め】
－づら【－面】
－づらい【－辛い】
－づれ【－連れ】
