ひ【否】
ひ【妃】
ひ【日】
ひ【比】
ひ【火】
ひ【灯】
ひ【碑】
ひ【緋】
ひ【非】
ひあい【悲哀】
ひあがる【干上がる】
ひあし【日足日脚】
ひあし【火足火脚】
ひあそび【火遊び】
ひあたり【日当たり】
ひあぶり【火炙り】
ひあんだ【被安打】
ひいおじいさん【曽お祖父さん】
ひいおばあさん【曽お祖母さん】
ひいき【贔屓】
ひいきのちーむにせいえんをおくる【ひいきのチームに声援を送る】
ひいく【肥育】
ひいちにちと【日一日と】
ひいて【延いて】
ひいでる【秀でる】
ひいらぎ【柊】
ひいれ【火入れ】
ひいろのほのお【緋色の[真っ赤な]炎】
ひうちいし【火打ち石】
ひうん【悲運】
ひえ【冷え】
ひえ【稗】
ひえいせい【非衛生】
ひえいり【非営利】
ひえいりそしき【非営利組織】
ひえいりそしき【非営利組織】
ひえき【裨益】
ひえきる【冷えきる】
ひえこむ【冷え込む】
ひえしょう【冷え性】
ひえびえ【冷え冷え】
ひえる【冷える】
ひか【皮下】
ひか【皮下】
ひかいいん【非会員】
ひかいじ【非[不]開示】
ひかいせんぎせき【非改選議席】
ひかえ【控え】
ひかえめ【控え目】
ひかえめなひょうげん【控えめな表現】
ひかえる【控える】
ひかがくてき【非科学的】
ひかく【比較】
ひかく【皮革】
ひかく【非核】
ひかくかこうしょう【非核化交渉】
ひかくけんとう【比較検討】
ひかくけんとうする【(…を)比較検討する】
ひかくせいひん【皮革製品】
ひかくてきあんていしたつうか【比較的安定した通貨】
ひかくてきじゆうなふんいきで【比較的自由な雰囲気で】
ひかげ【日陰】
ひかげのかずら【日陰の葛日陰の蔓】
ひかげん【火加減】
ひかしぼう【皮下脂肪】
ひかしゅっけつ【皮下出血】
ひかすいそ【砒化水素】
ひかせきねんりょう【非化石燃料】
ひかぜい【非課税】
ひかそしき【皮下組織】
ひかそしき【皮下組織】
ひかちゅうしゃ【皮下注射】
ひかねつ【非加熱】
ひからす【光らす】
ひからびる【干からびる】
ひかり【光】
ひかり【光】
ひかりごけ【光蘚】
ひかりせんさー【光センサー】
ひかりちりょう【光治療】
ひかりちりょうをうける【光治療を受ける】
ひかりつうしん【光通信】
ひかりでぃすく【光ディスク】
ひかりでんち【光電池】
ひかりとやみ【光と闇】
ひかりのさんげんしょく【光の三原色】
ひかりのせいしつ【光の性質】
ひかりのはやさ【光の速さ】
ひかりふぁいばー【光ファイバー】
ひかりふぁいばーけーぶる【光ファイバーケ-ブル】
ひかりふぁいばーつうしん【光ファイバー通信】
ひかりをあてる【(…に)光をあてる】
ひかりをうみだす【光を生み出す】
