るい【塁】
るい【累】
るい【類】
るいえん【類縁】
るいか【累加】
るいかん【涙管】
るいぎご【類義語】
るいけい【累計】
るいけい【類型】
るいげん【累減】
るいご【類語】
るいしょ【類書】
るいしょう【類焼】
るいしん【塁審】
るいしん【累進】
るいじ【類似】
るいじ【類似】
るいじしたすきゃんだる【類似したスキャンダル[問題］】
るいじじぎょう【類似事業】
るいじだんたい【類似団体】
るいじのいいかた【類似の言い方】
るいじのさいばーこうげき【類似のサイバー攻撃】
るいじのじじょう【類似の事情[理由］】
るいじひん【類似品[(高価なものの)模造品］】
るいじょう【累乗】
るいじんえん【類人猿】
るいすい【類推】
るいする【類する】
るいせき【累積】
るいせきあかじ【累積赤字】
るいせきそんしつ【累積損失】
るいせん【涙腺】
るいぞう【累増】
るいだ【塁打】
るいだい【累代】
るいだい【類題】
るいねん【累年】
るいはん【累犯】
るいへき【塁壁】
るいべつ【類別】
るいるい【累累】
るいれい【類例】
るいれき【瘰癧】
るけい【流刑】
るざい【流罪】
るす【留守】
るす【留守】
るすたく【留守宅】
るすたく【留守宅】
るすちゅうに【留守中に】
