らい【癩】
らいい【来意】
らいう【雷雨】
らいう【雷雨】
らいうにあう【雷雨に遭う】
らいうによるこうつうきかんへのえいきょう【雷雨による交通機関への影響】
らいうによるこうつうきせい【雷雨による交通規制】
らいうのなかで【雷雨の中で】
らいうん【雷雲】
らいうん【雷雲】
らいえん【来援】
らいえん【来演】
らいおんのえじき【ライオンの餌食】
らいかい【来会】
らいかん【来館】
らいかん【雷管】
らいき【来期】
らいきゃく【来客】
らいきゃく【来客】
らいきゃくがある【来客がある】
らいきゃくすう【来客数】
らいきゃくちゅうにちかくでかじがあった【来客中に近くで火事があった】
らいきゃくにおうたいする【来客に応対する［を迎える］】
らいきゃくめいぼ【来客名簿】
らいきゃくようくついれ【来客用靴入れ［下駄箱］】
らいきゃくようしゅくしゃ【来客用宿舎】
らいきゃくようしんしつ【来客用寝室】
らいきゃくようのちゅうしゃじょう【来客用の駐車場】
らいきゃくをもてなす【来客をもてなす】
らいぎょ【雷魚】
らいげき【雷撃】
らいげつ【来月】
らいこう【来航】
らいごう【来迎】
らいさん【礼賛礼讃】
らいしゃ【来社】
らいしゅう【来襲】
らいしゅう【来週】
らいしゅう【来週】
らいしゅういっぱい【来週一杯】
らいしゅうじゅうに【来週中に】
らいしゅうにならないとさくらはまんかいにならない【来週にならないと桜は満開にならない】
らいしゅうのいつか【来週のいつか】
らいしゅうのかいぎ【来週の会議】
らいしゅうのきょう【来週の今日】
らいしゅうのだけつをめざす【来秋の妥結を目指す】
らいしゅうのなんようび【来週の何曜日】
らいしゅうのもくようび【来週の木曜日】
らいしゅうまつ【来週末】
らいしゅうまでにれぽーとをていしゅつしてください【来週(末)までにレポートを提出してください】
らいしゅん【来春】
らいしん【来信】
らいしん【来診】
らいじょう【来場】
らいじん【雷神】
らいすみるくはこめをげんりょうにしたみるくににたのみものだ【ライスミルクは米を原料にしたミルクに似た飲み物だ】
らいせ【来世】
らいちょう【来朝】
らいちょう【雷鳥】
らいてん【来店】
らいでん【来電】
らいとあーと【ライトアート《光の芸術》】
らいといやー【ライトイヤー[光年]】
らいとおぺら【ライトオペラ[軽歌劇]】
らいときょうだい【(初の動力飛行を成しとげた)ライト兄弟】
らいときょうだいのおとうと【ライト兄弟の弟(の方)】
らいとをけす【ライトを消す】
らいとをつけないで【ライトをつけないで】
らいとをつける【ライトをつける】
らいとをてらす【ライトを照らす】
らいにち【来日】
らいにん【来任】
らいねん【来年】
らいねんど【来年度】
らいねんどよさん【来年度予算】
らいねんのしょうがつ【来年の正月】
らいばるきぎょう【ライバル企業】
らいばるのけってん【ライバルの欠点[弱点]】
らいひん【来賓】
らいびょう【癩病】
らいふがーど【ライフガード《海水浴場などの監視人》】
らいふさいえんす【ライフサイエンス[生命科学]】
らいふりんく【ライフリンク《日本で設立された自殺防止遺族支援活動を行うNPO法人》】
らいほう【来訪】
らいめい【雷名】
らいめい【雷鳴】
らいめい【雷鳴】
らいめいがとどろいた【雷鳴がとどろいた】
らいめいきょうふしょう【雷鳴恐怖症】
らいめいのとどろき【雷鳴のとどろき】
らいめいのなかで【雷鳴の中で】
らいめいのようなはくしゅ【雷鳴のような拍手[万雷の拍手]】
らいらく【磊落】
らいりん【来臨】
らいれき【来歴】
らいんあうと【ラインアウト《ラグビーで》】
らいんかんりしょく【ライン管理職】
らいんそしき【ライン組織】
らい－【来－】
らがん【裸眼】
らく【楽】
らく【楽】
らくいん【烙印】
らくいん【落胤】
らくいんきょ【楽隠居】
らくいんきょ【楽隠居】
らくえん【楽園】
らくがき【落書き】
らくがき【落書き】
らくがきげんきん【落書き厳禁《掲示》】
らくがきだらけのかべ【落書きだらけの壁】
らくがきにみせられる【落書きに魅せられる】
らくがきのしゃしん【落書きの写真】
らくがきのじゆう【落書きの自由】
らくがきをする【落書きをする】
らくがきをするけす【(壁の)落書きを消す】
らくがん【落雁】
らくぎゅう【酪牛】
らくご【落後落伍】
らくご【落語】
らくさ【落差】
らくさ【落差】
らくさつ【落札】
らくさつ【落札】
らくさつかかく【落札価格】
らくさつしたふどうさんがいしゃ【落札した不動産会社】
らくさつしゃ【落札(業)者】
らくさん【酪酸】
らくしゅ【落手】
らくしゅ【落首】
らくしょう【楽勝】
らくしょう【楽勝】
らくじつ【落日】
らくじょう【落城】
らくせい【落成】
らくせき【落石】
らくせん【落選】
らくせん【落選】
らくせんうんどう【落選運動】
らくせんさく【落選作】
らくせんしゃ【落選者】
らくせんする【落選する】
らくせんのうきめ【落選の憂き目】
らくせんをみとめる【落選[敗北]を認める】
らくたん【落胆】
らくたん【落胆】
らくたんする【落胆する】
らくたんのひょうじょう【落胆の表情】
らくだ【駱駝】
らくだい【落第】
らくだい【落第】
らくだいしたがくせい【落第した学生】
らくだいせい【落第生】
らくだいてん【落第点】
らくちゃく【落着】
らくちゃく【落着】
らくちゃくしたじけん【落着した事件】
らくちゃくする【落着する】
らくちょう【落丁】
らくちょう【落潮】
らくてん【楽天】
らくてん【楽天】
らくど【楽土】
らくなしごと【楽な仕事】
らくなしせい【楽な姿勢】
らくのう【酪農】
らくのう【酪農】
らくのうか【酪農家】
らくのうぎょうかい【酪農業界】
らくのうしょうひん【酪農食品】
らくのうじょう【酪農場】
らくのうじょう【酪農場】
らくのうせいひん【酪農[乳]製品[産物]】
らくのうせいひんにはばたー、ちーず、あいすくりーむなどがある【酪農製品にはバター、チーズ、アイスクリームなどがある】
らくのうちたい【(セントルイス)酪農地帯】
らくのうにじょうじする【酪農に従事する[を営む]】
らくば【落馬】
らくばん【落盤】
らくび【楽日[千秋楽]】
らくやき【楽焼き】
らくよう【らくよう(洛陽)】
らくよう【落葉】
らくらい【落雷】
らくらい【落雷】
らくらいじこ【落雷事故】
らくらいにあう【落雷に遭う】
らくらいのおそろしさ【落雷の恐ろしさ】
らくらいひがい【落雷被害】
らくらいをまぬがれる【落雷を免れる】
らくらいをよほうする【落雷を予報する】
らくらく【楽楽】
らくるい【落涙】
