は【刃】
は【歯】
は【歯】
は【派】
は【端】
は【葉】
は【葉】
は【覇】
はあ
はあく【把握】
はあたり【歯当たり】
はあはあ
はあり【羽蟻】
はい
はい【杯】
はい【灰】
はい【肺】
はい【肺】
はい【胚】
はいあがる【這い上がる】
はいあん【廃案】
はいい【廃位】
はいいろ【灰色】
はいいろこうかん【灰色高官】
はいいん【敗因】
はいえい【背泳】
はいえき【廃液排液】
はいえそ【肺壊疽】
はいえつ【拝謁】
はいえん【排煙】
はいえん【肺炎】
はいえん【肺炎】
はいえんきゅうきんわくちん【肺炎球菌ワクチン】
はいおく【廃屋】
はいか【廃家】
はいか【配下】
はいかい【俳諧誹諧】
はいかい【徘徊】
はいかき【灰掻き】
はいかきょう【拝火教】
はいかぐら【灰神楽】
はいかつりょう【肺活量】
はいかつりょう【肺活量】
はいかん【廃刊】
はいかん【拝観】
はいかん【配管】
はいかんけいのほきょう【配管系の補強】
はいが【胚芽】
はいがい【排外】
はいがい【灰貝】
はいがすきせい【排ガス規制】
はいがん【拝顔】
はいがん【肺癌】
はいがん【肺癌】
はいがん【肺癌】
はいき【廃棄】
はいき【排気】
はいきがすさくげんのわくぐみ【排気ガス削減の枠組み】
はいきしゅ【肺気腫】
はいきしゅ【肺気腫】
はいきしょくひん【廃棄食品】
はいきしょくひん【廃棄食品】
はいきしょくひんのいほうはんばい【廃棄食品の違法販売】
はいきしょぶん【廃棄処分】
はいきそうち【排気装置】
はいきふぃるたー【(高性能)排気フィルター】
はいきぶつ【廃棄物】
はいきぶつしょり【廃棄物処理】
はいきぶつのうめたて【(産業)廃棄物の埋め立て】
はいきぶつのしょり【廃棄物の処理】
はいきぶつのぞうか【廃棄物の増加】
はいきゅう【配球】
はいきゅう【配給】
はいきょ【廃墟】
はいきょう【背教】
はいきんしゅぎ【拝金主義】
はいきんりょく【背筋力】
はいぎょ【肺魚】
はいぎょう【廃業】
はいく【俳句】
はいぐうしゃ【配偶者】
はいぐうしゃ【配偶者】
はいぐうしゃがいるせたいぬし【配偶者がいる世帯主】
はいぐうしゃこうじょ【配偶者控除】
はいぐうしゃとくべつこうじょ【配偶者特別控除】
はいぐうしゃとしべつしたひとりぐらしのこうれいしゃ【配偶者と死別した一人暮らしの高齢者】
はいぐうしゃのかていないぼうりょく【配偶者間の家庭内暴力】
はいぐん【敗軍】
はいけい【拝啓】
はいけい【背景】
はいけい【背景】
はいけいのかいめい【(…の)背景の解明】
はいけっかく【肺結核】
はいけっかく【肺結核】
はいけっかくかんじゃ【肺結核患者】
はいけつしょう【敗血症】
はいけん【拝見】
はいげき【排撃】
はいこう【廃坑】
はいこう【廃校】
はいご【廃語】
はいご【背後】
はいごう【俳号】
はいごう【廃合】
はいごう【配合】
はいさつ【拝察】
はいざい【廃材】
はいざい【配剤】
はいざら【灰皿】
はいざん【廃山】
はいざん【敗残】
はいし【廃止】
はいしつ【廃疾】
はいしゃ【廃車】
はいしゃ【敗者】
はいしゃ【歯医者】
はいしゃ【歯医者】
はいしゃ【配車】
はいしゃく【拝借】
はいしゃへいく【歯医者へ行く】
はいしゅ【胚珠】
はいしゅつ【排出】
はいしゅつ【排出】
