「こうどうたいこうどう」のげんそく【「行動対行動」の原則】
こ【個】
こ【子】
こ【孤】
こ【弧】
こ【粉】
こあかげら【小赤啄木鳥】
こあきない【小商い】
こあきんど【小商人】
こあし【小足】
こあじ【小味】
こあじさし【小鰺刺】
こあたり【小当たり】
こい【恋】
こい【故意】
こい【濃い】
こい【鯉】
こいうた【恋歌】
こいかる【小斑鳩】
こいがたき【恋敵】
こいき【小意気】
こいきり【濃い霧[濃霧]】
こいくち【濃い口】
こいぐち【鯉口】
こいこがれる【恋い焦がれる】
こいこく【鯉こく】
こいこーひー【濃いコーヒー】
こいごころ【恋心】
こいし【小石】
こいしい【恋しい】
こいしがる【恋しがる】
こいしたう【恋慕う】
こいじ【恋路】
こいする【恋する】
こいちゃ【濃茶】
こいつ【此奴】
こいなか【恋仲】
こいにょうぼう【恋女房】
こいぬ【子犬】
こいぬざ【小犬座】
こいねがう【希う庶幾う】
こいのあくよう【故意の悪用】
こいのいはん【故意の[意図的]違反】
こいのぼり【鯉幟】
こいびと【恋人】
こいびとのたより【恋人の便り】
こいぶみ【恋文】
こいめ【濃い目】
こいわずらい【恋患い】
こいん【雇員】
こう【公】
こう【功】
こう【劫】
こう【効】
こう【坑】
こう【孝】
こう【幸】
こう【斯う】
こう【校】
こう【甲】
こう【稿】
こう【行】
こう【請う乞う】
こう【鋼】
こう【項】
こう【香】
こうあつ【高圧】
こうあつざい【降圧剤】
こうあつてきなたいど【高圧的な態度】
こうあつてきなたいどをとる【(…に)高圧的な態度をとる】
こうあつでんりゅう【高圧電流】
こうあん【公安】
こうあん【公案】
こうあん【考案】
こうい【厚意】
こうい【好意】
こうい【校医】
こうい【皇位】
こうい【行為】
こうい【行為】
こうい【高位】
こういう【斯ういう】
こういか【甲烏賊】
こういき【広域】
こういしつ【更衣室】
こういしょう【後遺症】
こういっつい【好一対】
こういってん【紅一点】
こういつ【後逸】
こういてきなおうたい【好意的な応対】
こういど【高緯度】
こういん【光陰】
こういん【公印】
こういん【工員】
