た【他】
た【多】
た【田】
たい【他意】
たい【体】
たい【対】
たい【隊】
たい【鯛】
たいあたり【体当たり】
たいあつ【耐圧】
たいあん【大安】
たいあん【対案[反対提案]】
たいあん【対案】
たいあん【対案】
たいあんきちじつ【大安吉日】
たいあんについてきょうぎする【対案について協議する】
たいあんをしめす【対案を示す[提出する]】
たいあんをまとめる【対案をまとめる】
たいい【体位】
たいい【大尉】
たいい【大意】
たいい【退位】
たいいき【帯域】
たいいく【体育】
たいいくきぐ【体育器具】
たいいくれんめい【体育連盟】
たいいほう【対位法】
たいいん【退院】
たいいん【隊員】
たいいんたいようれき【太陰太陽暦】
たいいんれき【太陰暦】
たいえい【退嬰】
たいえいせいいんたーせぷたー【対衛星インターセプター】
たいえいせいへいき【対衛星[衛星攻撃]兵器】
たいえいせいへいき【対衛星兵器】
たいえき【体液】
たいえき【退役】
たいおう【対応】
たいおう【滞欧】
たいおうのおくれ【対応(策)の遅れ】
たいおん【体温】
たいか【大家】
たいか【大火】
たいか【大過】
たいか【対価】
たいか【滞貨】
たいか【耐火】
たいか【退化】
たいかい【大会】
たいかい【大海】
たいかい【退会】
たいかく【体格】
たいかく【対格】
たいかく【対角】
たいかせいのそざい【耐火性の素材】
たいかん【体感】
たいかん【大観】
たいかん【大鑑】
たいかん【耐寒】
たいかん【退官】
たいかんおんど【体感温度】
たいかんしき【戴冠式】
たいが【大河】
たいがい【体外】
たいがい【大概】
たいがい【対外】
たいがい【対外】
たいがいえんじょ【対外援助[支援]】
たいがいえんじょ【対外援助】
たいがいえんじょけいかくのじゃくてん【対外援助計画の弱点】
たいがいかんけい【対外関係】
たいがいせいさく【対外政策】
たいがいてきなまさつ【対外的な摩擦】
たいがいとうし【対外投資】
たいがいとうし【対外投資】
たいがく【退学】
たいがん【大願】
たいがん【対岸】
たいき【大器】
たいき【大気】
たいき【待機】
たいきおせん【大気汚染】
たいきおせんのげんいん【大気汚染の原因】
たいきおせんぶっしつ【大気汚染物質】
たいきじどう【待機児童】
たいきじどう【待機児童】
たいきじどうをかいしょうする【待機児童を解消する】
たいきじどうをかいしょうする【待機児童を解消する】
たいきのしつがあっかする【大気の質が悪化する】
たいきのじょうたいをふあんていにする【大気の状態を不安定にする】
たいきゃく【退却】
たいきゅう【たいきゅう(大邱)】
たいきゅう【耐久】
たいきゅうしょうひざい【耐久消費財】
たいきゅうほきょうこうじ【耐震補強工事】
たいきょ【大挙】
たいきょ【退去】
たいきょう【胎教】
たいきょく【大局】
たいきょく【対局】
たいきょく【対極】
たいきょくけん【太極拳】
たいきょくてきかんてん【大局的観点】
たいきょくてきなしてんがかけている【大局的な視点が欠けている】
たいきょくのしなりお【対極のシナリオ】
たいきょめいれい【(国外)退去命令】
たいきん【大金】
たいきんしょじ【大金所持】
たいぎ【体技】
たいぎ【大儀】
たいぎ【大義】
たいぎご【対義語】
たいぎなきせんそう【大義なき戦争】
たいぎなきせんそうをはじめる【大義なき戦争を始める】
たいぎゃく【大逆】
たいぎょ【大魚】
たいぎょう【怠業】
たいく【体躯】
たいくう【対空】
たいくう【滞空】
たいくつ【退屈】
たいぐ【大愚】
たいぐう【対偶】
たいぐう【待遇】
たいぐう【待遇】
たいぐうかくさ【(正社員と非正社員間の)待遇格差】
たいぐうをかいぜんする【待遇を改善する】
たいぐん【大群】
たいぐん【大軍】
たいけ【大家】
たいけい【体刑】
たいけい【体形体型】
たいけい【体系】
たいけい【大系】
たいけい【大計】
たいけい【隊形】
たいけつ【対決】
たいけつしょくをつよめる【対決色を強める】
たいけつむーど【対決ムード】
たいけん【体験】
たいけん【体験】
たいけん【大圏】
たいけん【大権】
たいけん【帯剣】
たいげん【たいげん(太原)】
たいげん【体現】
たいげん【体言】
たいげんそうご【大言壮語】
たいこ【たいこ(太湖)】
たいこ【太古】
たいこ【太鼓】
たいこう【体腔】
たいこう【体高】
たいこう【大公】
たいこう【大功】
たいこう【大綱】
たいこう【対向】
たいこう【対抗】
たいこう【対校】
たいこう【退校】
たいこう【退行】
たいこうそしき【対抗組織】
たいこうてきすぱいかつどう【対抗的スパイ活動】
たいこうぼう【太公望】
たいこく【大国】
たいこくかんけい【大国関係】
たいこくとしてのほこり【大国としての誇り】
たいこばん【太鼓判】
たいご【隊伍】
たいさ【大佐】
たいさ【大差】
たいさい【大祭】
たいさいぼう【体細胞】
たいさいぼうくろーん【体細胞クローン】
たいさいぼうくろーん【体細胞クローン】
たいさいぼうくろーんぎじゅつ【体細胞クローン技術】
たいさいぼうくろーんぎじゅつ【体細胞クローン技術】
たいさく【大作】
たいさく【対策】
たいさく【対策】
たいさくのられつ【対策の羅列】
たいさくをとる【(…に対して)対策を取る】
たいさつ【大冊】
たいさん【耐酸】
たいさん【退散】
たいさんぼく【泰山木】
たいざ【対座】
たいざい【大罪】
たいざい【滞在】
たいざいじかん【滞在時間】
たいざん【たいざん(泰山)】
たいざん【大山】
たいし【大使】
たいし【大志】
たいした【大した】
たいしつ【体質】
たいしつ【耐湿】
たいしつ【退室】
たいして【大して】
たいしぼう【体脂肪】
たいしゃ【代謝】
たいしゃ【代赭】
たいしゃ【大赦】
たいしゃ【退社】
たいしゃく【貸借】
たいしゃしょうこうぐん【代謝(異常)症候群】
たいしゅ【大酒】
たいしゅう【体臭】
たいしゅう【大衆】
たいしゅうがぱにっくにおちいらないようにする【大衆がパニックに陥らないようにする】
たいしゅうげいごうしゅぎ【大衆迎合主義】
たいしゅうごらく【大衆娯楽】
たいしゅうにげいごうするようははっそう【大衆に迎合するような発想】
たいしゅうのしせん【大衆の(厳しい)視線】
たいしゅつ【帯出】
たいしゅつ【退出】
たいしょ【大暑】
たいしょ【対処】
たいしょう【大勝】
たいしょう【大将】
たいしょう【大賞[グランプリ《フランス語》]】
たいしょう【大賞】
たいしょう【対照】
たいしょう【対称】
たいしょう【対象】
たいしょう【隊商】
たいしょうとしたあんけーと【(…を)対象としたアンケート】
たいしょうりょうほう【対症療法】
たいしょく【大食】
たいしょく【耐食】
たいしょく【退職】
たいしょく【退職】
たいしょく【退色】
たいしょく【退色】
たいしょくきゅうふ【退職給付(金)】
たいしょくきゅうふせいど【退職給付制度】
たいしょくきん【退職金】
たいしょくごのいきかた【退職後の生き方】
たいしょくしゃ【退職者】
たいしょくする【退職する】
たいしょくてあて【退職手当】
たいしょくてあてをげんがくする【退職手当を減額する】
たいしょくをすすめられる【(早期)退職を勧める】
たいしょこうしょ【大所高所】
たいしょてき【対蹠的】
たいしん【対審】
たいしん【対震】
たいしん【耐震】
たいしんきじゅん【耐震基準】
たいしんきじゅんをみたす【耐震基準を満たす】
たいしんきょうど【耐震強度】
たいしんきょうどをあげる【耐震強度を上げる】
たいしんぎじゅつ【耐震技術】
たいしんぎじゅつをつかって…をけんぞうする【耐震技術を使って…を建造する】
たいしんけんさ【耐震検査】
たいしんこうぞう【耐震構造《建築で》】
たいしんこうぞう【耐震構造】
たいしんしんだん【耐震診断】
たいしんしんだん【耐震診断】
たいしんせい【耐震性】
たいしんせいにすぐれたおふぃすびる【耐震性に優れたオフィスビル】
たいしんせいのしけん【耐震性の試験】
たいしんせいをたかめる【耐震性を高める[強める]】
たいしんせいをみなおす【耐震性を見直す】
たいしんせっけい【耐震設計】
たいしんせっけいのしゃくど【耐震設計の尺度】
たいしんそうち【耐震装置】
たいしんびる【耐震ビル】
たいしんほきょう【耐震補強(工事)】
たいしんほきょう【耐震補強】
たいしんほきょうのおくれ【耐震補強の遅れ】
たいしんほきょうのおくれ【耐震補強の遅れ】
たいじ【対峙】
たいじ【胎児】
たいじ【退治】
たいじゅ【大樹】
たいじゅう【体重】
たいじゅうをこんとろーるする【体重をコントロールする】
たいじょう【帯状】
たいじょう【退場】
たいじん【大人】
たいじん【対人】
たいじん【対陣】
たいじん【退陣】
たいじんきょうふしょう【対人恐怖症】
たいじんのじき【退陣の時期《重鎮などの》】
たいじんようきゅう【退陣要求】
たいすい【耐水】
たいすう【対数】
たいする【体する】
たいする【対する】
たいせい【体制】
たいせい【体勢】
たいせい【大勢】
たいせい【大成】
たいせい【大政】
たいせい【対生】
たいせい【態勢】
たいせい【泰西】
たいせい【耐性】
たいせい【胎生】
たいせい【退勢】
たいせいにぎゃっこうする【大勢に逆行する】
たいせいはのえりーと【体制派のエリート】
たいせいよう【大西洋】
たいせいをあんていさせるひけつ【体制を安定させる秘訣】
たいせき【体積】
たいせき【堆石】
たいせき【堆積】
たいせき【退席】
たいせきち【対蹠地】
たいせつ【大切】
たいせつ【耐雪】
たいせつなであい【大切な出会い】
たいせん【大戦】
たいせん【対戦】
たいせん【対潜】
たいせん【滞船】
たいせんあいて【対戦相手】
たいせんしゃ【対戦車】
たいせんすいかんえんしゅう【対潜水艦演習】
たいぜん【大全】
たいぜん【泰然】
たいそう【体操】
たいそう【大層】
たいぞう【退蔵】
たいだ【怠惰】
たいだん【対談】
たいだん【退団】
たいち【対地】
たいち【対置】
たいちゅう【たいちゅう(台中)】
たいちょ【大著】
たいちょう【体調】
たいちょう【体長】
たいちょう【退潮】
たいちょう【隊長】
たいちょうかく【対頂角】
たいちょうがよくないときはうんてんをひかえるびきだ【体調がよくないときは運転を控えるべきだ】
たいちょうふりょうのうったえ【体調不良の訴え】
たいてい【大帝】
たいてい【大抵】
たいてい【退廷】
たいてき【大敵】
たいてろせんそう【対テロ戦争】
たいてろせんりゃく【対テロ戦略】
たいてろせんりゃく【対テロ戦略】
たいてろせんりゃくにじゅうてんをおく【対テロ戦略に重点を置く】
たいてろれんたい【対テロ連帯】
たいてん【大典】
たいでん【たいでん(大田)】
たいでん【帯電】
たいと【泰斗】
たいとう【台頭】
たいとう【対等】
たいとうなたちばで【対等な立場で】
たいとうのかんけい【対等の関係】
たいとく【体得】
たいど【態度】
たいど【態度】
たいどう【胎動】
たいどがきゅうへんする【態度が急変する】
たいどく【胎毒】
たいどをあらためる【態度を改める[変える]】
たいどをくずさない【態度を崩さない】
