「すべてをつくした」といういいわけ【「すべてを尽くした」という言い訳】
す【州】
す【巣】
す【酢】
す【鬆】
すあし【素足】
すい【粋】
すい【酸い】
すいあげる【吸い上げる】
すいあげポンプ【吸い上げポンプ】
すいあつ【水圧】
すいい【推移】
すいい【水位】
すいいき【水域】
すいうん【水運】
すいうん【衰運】
すいえい【水泳】
すいえいよせん【水泳予選】
すいえき【膵液】
すいおん【水温】
すいか【水火】
すいか【西瓜】
すいか【誰何】
すいかさんち【スイカ産地】
すいかずら【忍冬】
すいかん【吹管】
すいかん【水管】
すいかん【酔漢】
すいがい【水害】
すいがい【水害】
すいがいがおきやすい【水害が起きやすい】
すいがいたいさく【水害対策】
すいがいによるけいざいそんしつ【水害による経済損失】
すいがいのおそれがある【水害の恐れがある】
すいがいはそのようなばしょでおきやすい【水害はそのような場所で起こりやすい】
すいがいひさいち【水害被災地】
すいがいをひきおこす【水害を引き起こす】
すいがら【吸い殻】
すいがん【酔眼】
すいき【水気】
すいきゅう【水球】
すいきょ【推挙】
すいきょう【酔狂粋狂】
すいきん【水禽】
すいぎゅう【水牛】
すいぎょ【水魚】
すいぎん【水銀】
すいくち【吸い口】
すいくん【垂訓】
すいけい【推計】
すいけい【水系】
すいけい【水茎】
すいげん【すいげん(水原)】
すいげん【水源】
すいこう【推敲】
すいこう【遂行】
すいこうほう【水耕法】
すいこみ【吸い込み】
すいこむ【吸い込む】
すいごう【水郷】
すいさい【水彩】
すいさいがでふうけいをかく【水彩画で風景を描く】
すいさつ【推察】
すいさん【推算】
すいさん【水産】
すいさんか【水酸化】
すいさんき【水酸基】
すいさんぶつのゆにゅう【水産物の輸入】
すいし【水死】
すいしつ【水質】
すいしつおだく【水質汚濁】
すいしつおだくもんだい【水質汚濁問題】
すいしつのあっか【水質の悪化】
すいしゃ【水車】
すいしゅ【水腫】
すいしょう【推奨】
すいしょう【推賞】
すいしょう【水晶】
すいしん【垂心】
すいしん【推進】
すいしん【水深】
すいじ【炊事】
すいじゃく【衰弱】
すいじゃくし【衰弱死】
すいじゃくしさせる【衰弱死させる】
すいじゃくしたにくたい【衰弱した肉体】
すいじゅん【水準】
すいじゅん【水準】
すいじゅんにたっしない【水準に達しない】
すいじょう【水上】
すいじょうき【水蒸気】
すいじょうきふんか【水蒸気噴火】
すいじょうきょうぎ【水上競技】
すいじょうひこうき【水上飛行機】
すいじん【粋人】
すいすい
すいせい【彗星】
すいせい【水勢】
すいせい【水性】
すいせい【水星】
すいせい【水生】
すいせい【衰勢】
すいせいがん【水成岩】
すいせいむし【酔生夢死】
すいせん【垂線】
すいせん【推薦】
すいせん【推薦】
すいせん【水仙】
すいせん【水洗】
すいせんじょう【推薦状】
すいせんといれ【水洗トイレ】
すいせんとしょ【推薦図書】
すいせんにゅうし【(その大学の)推薦入試】
すいせんにん【推薦人[者]】
すいせんわく【推薦枠】
すいせんわくをわりあてる【推薦枠を割り当てる】
すいぜん【垂涎】
すいそ【水素】
すいそう【吹奏】
すいそう【水槽】
すいそう【水草】
すいそう【水葬】
すいそかー【水素カー[水素自動車]】
すいそかー【水素カー】
すいそく【推測】
