こうでんあつじゅう【高電圧銃】
り【利】
り【理】
り【里】
りあげ【利上げ】
りあじゅう【リア充】
りあすしきかいがん【リアス式海岸】
りあとも【リア友】
りあるたいむで【リアルタイムで】
りえき【利益】
りえき【利益】
りえきかくだいをもとめて【利益拡大をもとめて】
りえききゅうよ【(…への)利益供与】
りえきじょうよきん【利益剰余金】
りえきになるかんけい【(両国の)利益になる関係】
りえきにはんする【利益に反する】
りえきのごうけい【利益の合計】
りえきのついきゅう【利益の追求】
りえきみずまし【利益(の)水増し】
りえきよそう【利益予想】
りえきをえる【利益を得る】
りえきをかいがいにいてんする【利益を海外に移転する】
りえきをきょうじゅする【(相互の)利益を享受する】
りえきをきょうじゅする【利益を享受する】
りえきをそこなう【(利用者の)利益を損なう】
りえきをたかめる【(消費者の)利益を高める】
りえきをたくわえる【(約２億円の)利益を蓄える[ため込む]】
りえきをだす【利益を出す[上げる]】
りえきをだせないぶしょ【利益を出せない部署】
りえきをついきゅうする【利益(のみ)を追求する】
りえきをていきょうする【(人に)利益を提供する】
りえきをぶんぱいする【利益を分配する】
りえきをまもる【(その国の)利益を守る】
りえきをゆうせんする【利益を優先する】
りえん【梨園】
りえん【離縁】
りおち【利落ち】
りか【李下】
りか【理科】
りか【理科】
りかい【理解】
りかい【理解】
りかいしがたいめん【理解しがたい面[に苦しむ点]】
りかいしゃ【理解者】
りかいしやすいひんと【理解しやすいヒント】
りかいできないいいぶん【理解できない[考えられない]言い分】
りかいにくるしむ【(なぜ彼がそう言ったのか)理解に苦しむ】
りかいぶそく【理解不足】
りかいりょく【理解力】
りかいをえる【(企業の)理解を得る】
りかいをえる【(住民の)理解を得る】
りかいをえる【(競技団体の)理解を得る】
りかいをえる【(自治体の)理解を得る】
りかいをえるさく【(国民の)理解を得る策】
りかいをもとめる【理解を求める】
りかがく【理化学】
りかがすきなせいと【理科が好きな生徒】
りかきょういく【理科教育】
りかけいのきょうかしょ【理科系の教科書】
りかしつ【理科室】
りかそうごう【理科総合】
りかだいがく【理科大学】
