じ【地】
じ【字】
じ【痔】
じ【辞】
じあい【慈愛】
じあい【自愛】
じあげ【地上げ】
じあまり【字余り】
じい【侍医】
じい【次位】
じい【示威】
じい【自慰】
じい【辞意】
じいしき【自意識】
じいじい
じいろ【地色】
じいん【寺院】
じう【慈雨】
じうたい【地謡】
じうん【時運】
じぇすちゃーにんしき【ジェスチャー認識】
じぇすちゃーにんしきはぱーせぷちゅあるゆーざーいんたーふぇーすのいっしゅだ【ジェスチャー認識はパーセプチュアルユーザーインターフェースの一種だ】
じぇねりっくいやくひん【ジェネリック医薬品】
じぇんだーれすだんし【ジェンダーレス男子】
じえい【自営】
じえい【自衛】
じえい【自衛】
じえいいがいのせんそう【自衛以外の戦争】
じえいいがいのせんそうをきんしする【自衛以外の戦争を禁止する】
じえいぎょう【自営業】
じえいぎょうしゃ【自営業者】
じえいぎょうしゃしょとく【自営業者所得】
じえいさく【自衛策】
じえいたいのじょうほうほぜんたい【自衛隊の情報保全隊】
じえいたいをはけんする【自衛隊を派遣する】
じえいのそち【自衛の措置】
じえいのために【自衛のために】
じえいのひつよう【自衛の必要】
じえん【地縁】
じえん【耳炎】
じおん【字音】
じか【時下】
じか【時価】
じか【自家】
じかい【次回】
じかい【磁界】
じかい【耳介】
じかい【自壊】
じかい【自戒】
じかいきょうめいほうしき【磁界共鳴方式】
じかいきょうめいほうしきをもちいる【磁界共鳴方式を用いる】
じかいのかいごう【次回の会合】
じかいのきょうぎ【次回の協議】
じかういるすかんせんしょう【ジカウイルス感染症】
じかういるすはさいしょあふりかのさるからみつかったといわれる【ジカウイルスは最初アフリカの猿から見つかったと言われる】
じかく【自覚】
じかく【自覚】
じかくしている【(…を)自覚している】
じかせい【自家製】
じかせん【耳下腺】
じかたび【直足袋地下足袋】
じかだんぱん【直談判】
じかちゅうどく【自家中毒】
じかつ【自活】
じかどうちゃく【自家撞着】
じかに【直に】
じかねつ【ジカ熱】
じかはつでん【自家発電】
じかび【直火】
じかまき【直蒔き直播き】
じかよう【自家用】
じかん【字間】
じかん【時間】
じかん【時間】
じかん【次官】
じかんうりょう【時間雨量】
じかんがいろうどうのせいげん【時間外労働の制限】
じかんけいさん【時間計算】
じかんじく【時間軸】
じかんてきせいやく【時間的制約】
じかんてきなよゆう【時間的な余裕】
じかんとたたかう【時間と闘う】
じかんとのきょうそう【時間との競争】
じかんのかかるちょうさ【時間のかかる調査】
じかんのじゆうがきかない【時間の自由がきかない】
じかんのよゆうがない【時間の余裕がない】
じかんをたんしゅくする【時間を短縮する】
じが【自我】
じがい【自害】
じがくじしゅう【自学自習】
じがじさん【自画自賛】
じがぞう【自画像】
じがため【地固め】
じがね【地金】
じがばち【似我蜂】
じき【時季】
じき【時期】
じき【時期】
じき【時機】
じき【次期】
じき【直】
じき【磁器】
じき【磁気】
じき【自記】
じきじき【直直】
じきそ【直訴】
じきそくていそうち【磁気測定装置】
じきでし【直弟子】
じきでん【直伝】
じきとりひき【直取り引き】
じきひつ【直筆】
じきゅう【持久】
じきゅう【時給】
じきゅう【自給】
じきゅうりつ【自給率】
じきょ【辞去】
じきょう【自供】
じきょく【時局】
じきょく【磁極】
じきをせっていする【(…の)時期を設定する】
じぎ【児戯】
じぎ【字義】
じぎ【時宜】
じぎゃく【自虐】
じぎゃくてききじゅつ【自虐的記述】
じぎょう【事業】
じぎょう【事業】
