「さけのうえで」はいいわけにならない【「酒の上で」は(…の)言い訳にならない】
さ【左】
さ【差】
さあ
さあらぬ【然有らぬ】
さい【差異差違】
さい【才】
さい【犀】
さい【賽】
さい【際】
さいあい【最愛】
さいあく【最悪】
さいあく【最悪】
さいあくき【最悪期】
さいあくじたいはいちだんらくした【最悪事態は一段落した】
さいあくのけっか【最悪の結果】
さいあくのさんじ【(世界航空史上)最悪の惨事】
さいあくのざいせいじょうきょう【最悪の財政状況[赤字]】
さいあくのしなりお【最悪のシナリオ】
さいあくのしなりお【最悪のシナリオ】
さいあくのじたいにそなえる【最悪の事態に備える】
さいあくのじたいをかいひする【最悪の事態を回避する】
さいあくのだいしったい【最悪の大失態】
さいあくれべるのおせん【最悪レベルの汚染】
さいうよく【最右翼】
さいえい【再映】
さいえね【再エネ】
さいえん【再演】
さいえん【才媛】
さいえん【菜園】
さいえんき【再延期】
さいおう【最奥】
さいおうがうま【塞翁が馬】
さいか【裁可】
さいか【西下】
さいかい【再会】
さいかい【再開】
さいかい【再開】
さいかい【斎戒】
さいかい【最下位】
さいかいじょうけん【再開条件《コンピュータ》】
さいかいする【(対話を)再開する】
さいかいのようにん【(操業)再開の容認[受け入れ]】
さいかいはつ【再開発】
さいかいはつくいき【再開発区域】
さいかいをけんとうする【(伐採)再開を検討する】
さいかいをだんねんする【(建設工事)再開を断念する】
さいかく【才覚】
さいかくにん【再確認】
さいかどう【再稼働】
さいかどうのりゆう【再稼働の理由】
さいかどうまえのけんさ【再稼働前の検査】
さいかん【再刊】
さいかん【才幹】
さいかん【災間(期)】
さいがい【災害】
さいがい【災害】
さいがいおうきゅうたいさく【災害応急対策】
さいがいかがく【災害科学】
さいがいかんれんし【災害関連死】
さいがいきゅうえん【災害救援】
さいがいきゅうえんえんしゅう【災害救援演習】
さいがいきゅうえんかつどうのけいけんをつんだぼらんてぃあ【災害救援活動の経験を積んだボランティア】
さいがいきゅうえんせんもんぼらんてぃあ【災害救援専門ボランティア】
さいがいきゅうじょ【災害救助】
さいがいとたたかう【災害と闘う】
さいがいにそなえる【災害に備える】
さいがいにたいおうする【災害に対応[対処]する】
さいがいにつよいまち【災害に強い町】
さいがいによるけいざいてきだげき【災害による経済的打撃】
