ぶ【分】
ぶ【歩】
ぶ【部】
ぶあい【歩合】
ぶあいそう【無愛想】
ぶあつい【分厚い】
ぶい【部位】
ぶいん【部員】
ぶうぶう
ぶうん【武運】
ぶえんりょ【無遠慮】
ぶおとこ【醜男】
ぶか【部下】
ぶかい【部会】
ぶかっこう【不格好】
ぶかつ【部活】
ぶかつどうでのしどう【部活動での指導】
ぶかぶか
ぶかん【武官】
ぶがい【部外】
ぶがく【舞楽】
ぶき【武器】
ぶき【武器】
ぶきしょうにん【武器商人】
ぶきしようけんげん【武器使用権限】
ぶきっちょ
ぶきのいてん【武器の移転】
ぶきのいてんをついせきする【武器の移転を(レーダーで)追跡する】
ぶきのかくさん【武器の拡散】
ぶきのきゅうよ【武器の供与】
ぶきのせいさん【武器の生産】
ぶきのそんざい【武器の存在】
ぶきのちょうたつ【武器の調達】
ぶきのりゅうにゅう【武器の流入】
ぶきぼうえき【武器貿易】
ぶきみ【不気味】
ぶきゆしゅつ【武器輸出】
ぶきゆしゅつ【武器輸出】
ぶきゆしゅつきんしのれいがい【武器輸出禁止の例外】
ぶきゆしゅつをきんしする【武器輸出を禁止する】
ぶきょく【舞曲】
ぶきょく【部局】
ぶきよう【不器用】
ぶきりょう【不器量】
ぶきをうる【(…に)武器を売る】
ぶきをうんぱんする【武器を運搬する】
ぶきをおうしゅうする【武器を押収する】
ぶきをけいこうする【武器を携行する】
ぶきをせきさいしているせんぱく【武器を積載している船舶】
ぶきをつかう【武器を使う】
ぶきをゆそうする【武器を輸送する】
ぶぎょう【奉行】
ぶくっ
ぶくぶく
ぶくん【武勲】
ぶぐ【武具】
ぶけ【武家】
ぶげい【武芸】
ぶこう【武功】
ぶこく【誣告】
ぶこつ【無骨】
ぶさいく【不細工】
ぶさた【無沙汰】
ぶさほう【無作法不作法】
ぶざま【無様不様】
ぶし【武士】
ぶしつ【部室】
ぶしつけ【不躾】
ぶしゅ【部首】
ぶしゅうぎ【不祝儀】
ぶしょ【部署】
ぶしょう【不精無精】
ぶしょう【武将】
ぶじ【無事】
ぶじゅつ【武術】
ぶじょく【侮辱】
ぶじょくてきなはつげん【侮辱的な発言】
ぶじん【武人】
ぶすい【無粋】
ぶすう【部数】
ぶすっ
ぶすぶす
ぶすり
ぶぜい【無勢】
ぶぜん【憮然】
ぶそう【武装】
ぶそうかいぞく【武装海賊】
ぶそうしゅうだんによるさわぎ【武装集団による騒ぎ】
ぶそうしゅうだんによるそのまちのせんきょ【武装集団によるその町の占拠】
ぶぞく【部族】
ぶぞくのいいつたえ【部族の言い伝え】
ぶた【豚】
ぶたい【舞台】
ぶたい【舞台】
ぶたい【部隊】
ぶたいそうち【舞台装置】
ぶたいでおどる【舞台で踊る】
ぶたいのどうこう【部隊の動向】
ぶたいはいゆう【舞台俳優】
ぶたいはいゆう【舞台俳優】
ぶたいんふるえんざ【豚インフルエンザ】
ぶたくさ【豚草】
ぶたにく【豚肉】
ぶたばこ【豚箱】
ぶち
ぶちこむ【打ち込む】
ぶちこわす【打ち壊す】
ぶちぬく【打ち抜く】
ぶちのめす【打ちのめす】
ぶちまける
ぶちょう【部長】
ぶちょうほう【不調法無調法】
ぶっか【物価】
ぶっか【物価】
ぶっかき
ぶっかく【仏閣】
ぶっかける【ぶっ掛ける】
ぶっかげらく【物価(の)下落】
ぶっかげらくのおもなげんいん【物価下落の主な原因】
ぶっかしすう【物価指数】
ぶっかじょうしょう【物価(の)上昇】
ぶっかじょうしょう【物価上昇】
ぶっかだか【物価高】
ぶっかとうせい【物価統制】
ぶっかどうこう【物価動向】
ぶっかのあんてい【物価の安定】
ぶっかのきゅうとうをふせぐ【物価の急騰を防ぐ】
ぶっかのじょうしょうできゅうりょうがめべりした【物価の上昇で給料が目減りした】
ぶっかのじょうせい【物価の情勢】
ぶっかのどうこう【物価の動向】
ぶっかへんどう【物価(の)変動】
ぶっかへんどう【物価[価格](の)変動】
ぶっかをあんていさせる【物価を安定させる】
ぶっかをおしさげる【物価を(約1％)押し下げる】
ぶっかをこうとうさせる【物価を高騰させる】
ぶっかをとうせいする【物価を統制する】
ぶっかをひきあげる【物価を引き上げる】
ぶっきょう【仏教】
ぶっきょうぶんか【(洗練された)仏教文化】
ぶっきらぼう
ぶっきらぼうにこたえる【ぶっきらぼうに答える】
ぶっけん【物件】
ぶっけん【物権】
ぶっこ【物故】
ぶっころす【打っ殺す】
ぶっさん【物産】
ぶっし【仏師】
ぶっし【物資】
ぶっし【物資】
ぶっしき【仏式】
ぶっしつ【物質】
ぶっしつ【物質】
ぶっしつのごうせい【物質の合成】
ぶっしつのぶんせき【物質の分析】
ぶっしのうけいれ【物資の受け入れ】
ぶっしのきょうきゅう【物資の供給】
ぶっしのながれ【物資の流れ】
ぶっしのふそく【物資の不足】
ぶっしのゆうずう【物資の融通】
ぶっしのゆそう【物資の輸送】
ぶっしゃり【仏舎利】
ぶっしょう【物証】
ぶっしょう【物象】
ぶっしょく【物色】
ぶっしをうけいれる【物資を受け入れる】
