ず【図】
ず【頭】
ずあん【図案】
ずい
ずい【蕊】
ずい【隋】
ずい【髄】
ずいい【随意】
ずいいきん【随意筋】
ずいいち【随一】
ずいいん【随員】
ずいかん【随感】
ずいき【芋茎】
ずいき【随喜】
ずいこう【随行】
ずいしょ【随所随処】
ずいじ【随時】
ずいそう【随想】
ずいはん【随伴】
ずいひつ【随筆】
ずいぶん【随分】
ずいまくえん【髄膜炎】
ずいり【図入り】
ずうずうしい【図図しい】
ずうずうべん【ずうずう弁】
ずうたい【図体】
ずえ【図会】
ずかい【図解】
ずかずか
ずかん【図鑑】
ずかんそくねつ【頭寒足熱】
ずが【図画】
ずがい【頭蓋】
ずがいこつ【頭蓋骨】
ずがら【図柄】
ずきずき
ずきん
ずきん【頭巾】
ずけい【図形】
ずけずけ
ずこう【図工】
ずさん【杜撰】
ずさん【杜撰】
ずさんなうんこう【ずさんな(バス)運行】
ずさんなかいけい【ずさんな会計】
ずさんなかんり【ずさんな管理】
ずさんなけいえい【ずさんな経営】
ずさんなこうじ【ずさんな[手抜き]工事】
ずさんなしゅじゅつ【ずさんな手術】
ずさんなじょうほうかんり【ずさんな情報管理】
