れああーすのきょうどうかいはつ【レアアースの共同開発】
れああーすのりさいくる【レアアースのリサイクル】
れああーすゆしゅつ【レアアース輸出】
れあめたる【レアメタル[希少金属]】
れい【例】
れい【礼】
れい【零】
れい【霊】
れいあんしつ【霊安室】
れいあんぽう【冷罨法】
れいいき【霊域】
れいえん【霊園】
れいおんねつ【冷温熱】
れいか【冷夏】
れいか【冷菓】
れいか【零下】
れいかい【例会】
れいかい【例解】
れいかい【霊界】
れいかん【霊感】
れいがい【例外】
れいがい【例外】
れいがい【冷害】
れいがいてきなけーす【例外的なケース】
れいがいてきなこうかい【例外的な公開】
れいがいてきなしゅだん【例外的な手段[施策］】
れいがいてきにひくい【例外的に低い】
れいがいなきかんぜいてっぱい【例外なき関税撤廃】
れいき【冷気】
れいきゃく【冷却】
れいきゃく【冷却】
れいきゃくかした…【冷却化した…】
れいきゃくきのう【冷却機能】
れいきゃくきのうのそうしつ【(…の)冷却機能の喪失】
れいきゃくざい【冷却剤】
れいきゃくしたぎ【(宇宙服の)冷却下着】
れいきゃくしたぎ【冷却下着《宇宙服の》】
れいきゃくすい【冷却水】
れいきゃくにひつようなみず【冷却に必要な水】
れいきゃくようはいかん【冷却用配管】
れいきゅう【霊柩】
れいきん【礼金】
れいぎ【礼儀】
れいぐう【冷遇】
れいぐう【礼遇】
れいけつ【冷血】
れいけん【霊験】
れいげつ【例月】
れいげん【冷厳】
れいこう【励行】
れいこく【例刻】
れいこく【冷酷】
れいこん【霊魂】
れいさい【例祭】
れいさい【零歳】
れいさい【零細】
れいさいきぎょう【零細企業】
れいさいのうか【零細農家】
れいざん【霊山】
れいし【茘枝】
れいしき【礼式】
れいしずむをふせぐ【レイシズムを防ぐ】
れいしゅ【冷酒】
れいしょう【例証】
れいしょう【冷笑】
れいしょく【令色】
れいじ【例示】
れいじ【零時】
れいじつ【例日】
れいじゅう【霊獣】
れいじょう【令嬢】
れいじょう【令状】
れいじょう【礼状】
れいじょう【霊場】
れいじん【麗人】
れいすい【冷水】
れいせい【冷製】
れいせい【冷静】
れいせい【冷静】
れいせいさをうしなう【冷静さを失う】
れいせいちんちゃく【冷静沈着】
れいせいなぎろん【冷静な議論】
れいせいなくちょう【冷静な口調】
れいせいなこうどう【冷静な行動】
れいせいなしこう【冷静な思考】
れいせいなたいおう【冷静な対応】
れいせいなたいど【冷静な態度】
れいせいなはなしあい【冷静な話し合い】
れいせいなはなしあい【冷静な話し合い】
れいせいなはんだん【冷静な判断】
れいせいなふんいき【冷静な雰囲気】
れいせいなゆうけんしゃ【冷静な有権者】
れいせいに【冷静に】
れいせいにけんとうする【(…を)冷静に検討する】
れいせいをたもつ【冷静を保つ】
れいせいをたもつかく【冷静を欠く】
れいせつ【礼節】
れいせん【冷戦】
れいせん【霊泉】
れいせんのおわり【冷戦の終わり】
れいぜん【冷然】
れいぜん【霊前】
れいそう【礼装】
れいそく【令息】
れいぞう【冷蔵】
れいぞうそうこ【冷蔵倉庫】
れいぞく【隷属】
れいたん【冷淡】
れいだい【例題】
れいだんぼう【冷暖房】
れいち【霊地】
れいちょう【霊長】
れいてつ【冷徹】
れいてん【礼典】
れいてん【零点】
れいとう【冷凍】
れいとう【冷凍】
れいとうかつ【冷凍カツ】
れいとうぎゅうにく【冷凍牛肉】
れいとうぎょうざ【冷凍餃子】
れいとうしょうひん【冷凍商品】
れいとうしょくひん【冷凍食品】
れいとうとらっく【冷凍トラック】
れいとうにく【冷凍肉】
れいとうにく【冷凍肉】
れいど【零度】
れいねん【例年】
れいねんのいべんと【例年のイベント】
れいのうしゃ【霊能者】
れいはい【礼拝】
れいはい【零敗】
れいば【冷罵】
れいばい【冷媒】
れいばい【霊媒】
れいひつ【麗筆】
れいひょう【冷評】
れいびょう【霊廟】
れいふく【礼服】
れいふく【礼服】
れいふじん【令夫人】
れいぶん【例文】
れいほう【礼砲】
れいほう【霊峰】
れいぼう【冷房】
れいみょう【霊妙】
れいめい【令名】
れいめい【黎明】
れいやく【霊薬】
れいよう【麗容】
れいらく【零落】
れいれいしい【麗麗しい】
れいろう【玲瓏】
れきがん【礫岩】
れきさつ【轢殺】
れきし【歴史】
れきし【歴史】
れきし【轢死】
れきしいさん【歴史遺産】
れきしかもく【歴史科目】
れきしからまなんだきょうくん【歴史から学んだ教訓】
れきしがくしゃ【歴史学者[家」】
れきしがっかいのじゅうちん【歴史学界の重鎮】
れきしきょうかしょ【歴史教科書】
れきしぎらい【歴史嫌い】
れきししりょうのほぞん【歴史資料の保存】
れきしてきいぎ【歴史的意義】
れきしてきいぎ【歴史的意義】
れきしてきえんぜつ【歴史的演説】
れきしてきかいこ【歴史的回顧】
れきしてきけいかん【歴史的景観】
れきしてきけってい【歴史的決定】
れきしてきけんぞうぶつ【(れんが造りの)歴史的建造物】
れきしてきけんり【歴史的権利】
れきしてきこころみ【(…を探索する)歴史的試み】
れきしてきしゅんかん【歴史的瞬間】
れきしてきじじつ【歴史的事実】
れきしてきぜんしん【歴史的前進】
れきしてきなおおきなへんかくをもたらす【歴史的な大きな変革をもたらす】
れきしてきなごうい【歴史的な合意】
れきしてきなたたかい【歴史的な戦い】
れきしてきなたてもの【歴史的な建物】
れきしてきなへんか【歴史的な変化】
れきしてきはいけい【歴史的背景】
れきしてきはいぼく【歴史的(な)敗北】
れきしにのこる【歴史に残る[をつくる］】
れきしにのこるいぎょう【歴史に残る偉業】
れきしにのこるかいきょ【歴史に残る快挙】
れきしにんしき【歴史認識】
れきしにんしき【歴史認識】
れきしにんしきにふれない【歴史認識に触れない】
れきしのうらづけ【歴史の裏付け】
れきしのかいざん【歴史の改ざん】
れきしのきょうかしょ【歴史の教科書】
れきしのきょうくん【歴史の教訓】
れきしのしんぱん【歴史の審判】
れきしのしんぱん【歴史の審判】
れきしのどらま【歴史のドラマ】
れきしのなみ【歴史の波】
れきしのふしぎ【歴史の不思議】
