かねもちになる【(もっと)金持ちになる】
け【卦】
け【毛】
けあがり【蹴上がり】
けあげる【蹴上げる】
けあし【毛足毛脚】
けあな【毛穴】
けい【兄】
けい【刑】
けい【刑】
けい【系】
けい【罫】
けい【計】
けいあい【敬愛】
けいい【敬意】
けいい【敬意】
けいい【経緯】
けいい【経緯】
けいいのけつじょ【敬意の欠如[失礼]】
けいいのけつじょ【敬意の欠如[失礼]】
けいいのしるし【敬意のしるし】
けいいはそういうことです【経緯はそういうことです】
けいいをうける【敬意を受ける[得る]】
けいいをせつめいする【(…に至った)経緯を説明する】
けいいをちょうさする【(どうしてそれが起こったかの)経緯を調査する】
けいいをはらう【(…に)敬意を払う】
けいいをひょうする【(…に)敬意を表する】
けいいをもって【敬意をもって[表して]】
けいいんしょくてん【軽飲食店】
けいえい【経営】
けいえい【経営】
けいえいあっか【経営(の)悪化】
けいえいあっかのいちいん【経営悪化の一因】
けいえいいいんかい【経営委員会】
けいえいかいかく【経営改革】
けいえいかいぜんのどりょくをする【経営改善の努力をする】
けいえいかんかく【経営感覚】
けいえいかんかく【経営感覚】
けいえいかんかく【経営感覚】
けいえいかんかくにかける【経営感覚に欠ける】
けいえいかんきょう【経営環境】
けいえいがく【経営学】
けいえいがくのたいか【経営学の大家】
けいえいきき【経営危機】
けいえいきき【経営危機】
けいえいきばん【経営基盤】
けいえいきぼ【経営規模】
けいえいきりつ【経営規律】
けいえいきりつ【経営規律】
けいえいけいたい【経営形態】
けいえいこんさるたんと【経営コンサルタント】
けいえいこんさるたんと【経営コンサルタント】
けいえいさいけん【経営(の)再建[立て直し]】
けいえいしげん【経営資源】
けいえいししん【経営指針】
けいえいしどう【経営指導】
けいえいしゃ【経営者】
けいえいしゃがわのいいぶん【経営者側の言い分】
けいえいしゅほう【経営手法】
けいえいしゅわん【経営手腕】
けいえいじょうたい【経営状態】
けいえいじょうほう【経営情報(学)】
けいえいじょうほう【経営情報】
けいえいするりきりょう【経営する力量】
けいえいせきにん【(重い)経営責任】
けいえいせんりゃく【経営戦略】
けいえいたいしつ【経営体質】
けいえいたいりょく【経営体力】
けいえいとうごう【経営統合】
けいえいとっぷ【経営トップ】
けいえいとっぷ【経営トップ】
けいえいどりょく【経営努力】
けいえいなん【経営難】
けいえいにかんよする【経営に関与[参加]する】
けいえいにたずさわる【(企業の)経営に携わる】
けいえいのちしき【経営の知識】
けいえいはたん【経営破たん】
けいえいはんだん【経営判断】
けいえいふしんをのりこえる【(深刻な)経営不振を乗り越える】
けいえいほうしん【経営方針】
けいえいもくひょう【経営目標】
けいえいもでる【経営モデル】
けいえいゆうごう【経営融合】
けいえいりねん【経営理念[哲学]】
けいえいりねん【経営理念】
けいえいりんり【経営倫理】
けいえん【敬遠】
けいえん【敬遠】
けいえんげき【軽演劇】
けいおんがく【軽音楽】
けいか【経過】
けいか【経過】
けいかい【警戒】
けいかい【警戒】
けいかい【軽快】
けいかいおん【警戒音】
けいかいかん【警戒感】
けいかいかんしかつどう【(その海域での)警戒監視活動】
けいかいかんをしめす【(…に対する)警戒感を示す】
けいかいくいき【警戒区域】
けいかいくいきしてい【(土砂災害防止法に基づく)警戒区域指定】
けいかいじょうほう【(災害)警戒情報】
けいかいすべきれべるにていかする【警戒すべきレベルに低下する】
けいかいたいせい【(不測の事態への)警戒体制】
けいかいれべる【(火山噴火の)警戒レベル】
けいかいをおこたるな【警戒を怠るな】
けいかいをつづける【(彼らの不穏な動きに)警戒を続ける】
けいかいをつよめる【(…に対する)警戒(感)を強める】
けいかいをゆるめる【警戒をゆるめる】
けいかく【計画】
けいかく【計画】
けいかくあん【計画案】
けいかくがおおはばにおくれた【計画が大幅に遅れた】
けいかくけいざい【計画経済】
けいかくだんかい【計画[立案]段階】
けいかくだんかい【計画段階】
けいかくていでん【計画停電】
けいかくていでん【計画停電】
けいかくていでんをじっしする【計画停電を実施する】
けいかくてきあくよう【計画的[意図的]悪用】
けいかくてきくんれん【計画的訓練】
けいかくてきなほうもん【計画的な訪問】
けいかくてきに【計画的に】
けいかくてきはんこう【計画的犯行】
けいかくてきはんこう【計画的犯行】
けいかくてきひなん【計画的避難】
けいかくてきひなんくいき【計画的避難区域】
けいかくてきひなんくいき【計画的避難区域】
けいかくどおりに【計画通りに】
けいかくのしっぱい【計画の失敗】
けいかくのしゅくしょう【計画の縮小】
けいかくのしょきだんかいに【計画の初期段階に】
けいかくのじっこう【計画の実行】
けいかくのりつあん【計画の立案】
けいかくのりつあん【計画の立案】
けいかくをあんしゅつする【計画を案出する】
けいかくをきそうする【計画を起草する】
けいかくをきどうにのせる【計画を軌道に乗せる】
けいかくをけんとうする【計画を検討する】
けいかくをさいてんけんする【計画を再点検する】
けいかくをさくていする【計画を策定する】
けいかくをしめす【計画を示す[提示する]】
けいかくをしょうにんする【計画を承認する】
けいかくをじっこうする【計画を実行する】
けいかくをたてる【計画を立てる】
けいかくをだんねんする【計画を断念する】
けいかくをちゅうしする【計画を中止する】
けいかくをちゅうだんする【計画を中断する】
けいかくをつくる【計画を作る】
けいかくをていあんする【計画を提案する】
けいかくをねりあげる【計画を練り上げる】
けいかくをはっぴょうする【計画を発表[公表]する】
けいかくをへんこうする【計画を変更する】
けいかくをまとめる【計画をまとめる】
けいかじかん【経過時間】
けいかせつめい【(…の)経過説明】
けいかそち【経過措置】
けいかそち【経過措置】
けいかを…につたえる【(交渉)経過を…に伝える】
けいかをせつめいする【(研究論文執筆の)経過を説明する】
けいかをたどる【(複雑な)経過をたどる】
けいかをふりかえる【(交渉の)経過を振り返る】
けいかん【景観】
けいかん【景観】
けいかん【桂冠】
けいかん【警官】
けいかんとのちょうわ【(全体的)景観との調和】
けいかんとのふちょうわ【景観との不調和】
けいかんのうつくしさ【景観の美しさ】
けいかんのび【景観の美】
けいかんほう【景観法】
けいかんほぜん【景観保全[維持]】
けいかんりえき【景観利益】
けいかんりえき【景観利益】
けいかんをそこなう【景観を損なう】
けいかんをまもる【(歴史的)景観を守る[保護する]】
けいが【慶賀】
けいがい【形骸】
けいがん【慧眼】
けいき【刑期】
けいき【契機】
けいき【景気】
けいき【景気】
けいき【計器】
けいきあっか【景気(の)悪化】
けいきあっかがいちだんらくしている【景気悪化が一段落している】
けいきかいふく【(本格的)景気回復】
けいきかいふく【景気回復】
けいきかいふくがあしぶみする【景気回復が足踏みする】
けいきかんじゅう【軽機関銃】
けいきがあっかしてきた【景気が悪化してきた】
けいきがいきぎれしそうだ【景気が息切れしそうだ】
けいきがいまよりよくなるだろう【(来年は)景気が今より良くなるだろう】
けいきがおどりばにはいった【景気が踊り場に入った】
けいきがしっそくしている【景気が失速している】
けいきがていめいしていた【景気が低迷していた】
けいききゅう【軽気球】
けいきげんそく【景気減速】
けいきこうたい【景気後退】
けいきこうたい【景気後退】
けいきこうたいきょくめん【景気後退局面】
けいきしげき【景気刺激】
けいきしげきさく【景気刺激策】
けいきしっそくをふせぐ【景気失速を防ぐ】
けいきじゅんかん【景気循環】
けいきちゃくりくそうち【計器着陸装置】
けいきていたい【景気停滞】
けいきていたい【景気停滞】
けいきていめい【景気低迷】
けいきどうこう【景気動向】
けいきにさゆうされる【景気に左右される[の影響を受けやすい]】
けいきにてこいれする【景気にてこ入れする】
けいきにびんかんな【景気に敏感な[である]】
けいきにびんかんなぎょうしゅ【景気に敏感な業種】
けいきのあしをひっぱる【景気の足を引っ張る】
けいきのえいきょうをうける【景気の影響を受ける】
けいきのえんちょう【刑期の延長】
けいきのおちこみ【景気の落ち込み】
けいきのかねつにともなって【景気の過熱に伴って】
けいきのさきゆき【景気の先行き】
けいきのしたざさえ【景気の下支え】
けいきのしたぶれ【景気の下振れ[腰折れ]】
けいきのどうこう【景気の動向】
けいきのみとおし【景気の見通し】
けいきふよう【景気浮揚】
けいきへい【軽騎兵】
けいきへんどう【景気変動】
けいきょ【軽挙】
けいきをあんていさせる【景気を安定させる】
けいきをかいふくきどうにのせる【景気を回復軌道に乗せる】
けいきをかっきづける【景気を活気づける】
けいきをしげきする【景気を刺激する】
けいきをふようさせる【景気を浮揚させる[押し上げる]】
