て【手】
てあい【手合い】
てあか【手垢】
てあき【手明き手空き】
てあし【手足】
てあし【手足】
てあしにまひをもたらす【手足にまひをもたらす】
てあしのかんかくしょうがい【手足の感覚障害】
てあしのしびれ【手足のしびれ】
てあしをしばっておよぐ【手足を縛って泳ぐ】
てあしをしばられて【手足を縛られて】
てあしをしばる【手足を縛る】
てあしをじゅうぶんにのばす【手足を十分に伸ばす】
てあたりしだい【手当たり次第】
てあつい【手厚い】
てあついえんご【手厚い援護】
てあついえんじょ【手厚い援助】
てあついふくし【手厚い福祉】
てあて【手当】
てあて【手当】
てあぶり【手焙り】
てあみ【手編み】
てあら【手荒】
てあらい【手洗い】
てあらい【手荒い】
てあわせ【手合わせ】
てぃーちんぐあしすたんと【ティーチングアシスタント[教育助手]】
てぃーぴーぴーへのさんか【TPP(環太平洋経済連携協定)への参加】
てぃーれぐさいぼう【Tレグ細胞】
てぃーをのむ【ティー[お茶]を飲む】
てい【亭】
てい【体】
てい【帝】
てい【底】
てい【艇】
てい【邸】
ていあつ【低圧】
ていあつ【定圧】
ていあつでんりゅう【低圧電流】
ていあん【提案】
ていあんのようにん【提案の容認】
ていあんをきょぜつする【提案を拒絶する】
ていあんをさいたくする【提案を採択する】
ていい【低位】
ていい【帝位】
ていいおう【低硫黄】
ていいん【定員】
ていいん【定員】
ていいんわれ【定員割れ】
ていえん【低塩】
ていえん【庭園】
ていおう【帝王】
ていおうせっかい【帝王切開】
ていおん【低温】
ていおん【低温】
ていおん【低音】
ていおん【定温】
ていおんかこう【低温加工】
ていおんさっきん【低温殺菌】
ていおんしつ【低温室】
ていおんにさらされている【低温にさらされている】
ていおんねつそんしょう【低温熱損傷】
ていおんやけど【低温火傷】
ていおんやけどをふせぐ【低温やけどを防ぐ】
ていか【低下】
ていか【低下】
ていか【定価】
ていかい【停会】
ていかいはつ【低開発】
ていかかくたいもでる【低価格帯モデル】
ていかかくのいりょうひん【低価格の衣料品】
ていかく【底角】
ていかひょう【定価表】
ていかりょく【低(い)火力】
ていかん【停刊】
ていかん【定款】
ていかん【諦観】
ていかんし【定冠詞】
ていかんぜいゆにゅうわく【低関税輸入枠】
ていかんぜいゆにゅうわく【低関税輸入枠】
ていかんぜいゆにゅうわくをもうける【低関税輸入枠を設ける】
ていがく【低額】
ていがく【停学】
ていがく【定額】
ていがく【定額】
ていがくきゅうふ【定額給付(金)】
ていがくきゅうふきん【定額給付金】
ていがくねん【低学年】
ていがくほけんりょう【定額保険料】
ていき【定期】
ていき【定期】
ていき【提起】
ていきあつ【低気圧】
ていきあつ【低気圧】
ていきあつ【低気圧】
ていきあつのしんろ【低気圧の進路】
ていきあつのちゅうしん【低気圧の中心】
ていきけんこうしんだん【定期健康診断】
ていきけんさ【定期検査】
ていきこうろ【定期航路】
ていきしょうきゅう【定期昇給】
ていきせっしゅ【定期接種】
ていきそうかい【定期総会】
ていきそうかい【定期総会】
ていきちょうさ【定期調査】
ていきてきいんたびゅー【定期的インタビュー】
ていきてきなめんせつ【定期的な面接】
ていきてきにあんぜんてんけんをする【定期的に安全点検をする】
ていきてんけん【定期点検】
ていきびん【(航空機の)定期便】
ていきゅう【低級】
ていきゅう【庭球】
ていきゅうび【定休日】
ていきょう【提供】
ていきょう【提供】
ていきよきん【定期預金】
ていきんり【低金利】
ていきんり【低金利】
ていきんり【低金利】
ていきんりこくさい【低金利の国債】
ていきんりせいさく【低金利政策】
ていきんりでかりる【低金利で(金を)借りる】
ていきんりのえんをかりる【低金利の円を借りる】
ていきんりのどる【低金利のドル】
ていきんりのどるをうる【低金利のドルを売る】
ていきんりのろーん【低金利のローン】
ていきんりをいじする【低金利を維持する】
ていぎ【定義】
ていぎ【定義】
ていぎ【提議】
ていぎょう【定業】
ていぎをかえる【定義を変える】
ていくう【低空】
ていくう【低空】
ていくうくんれんひこう【低空訓練飛行】
ていくうひこう【低空飛行】
ていくうひこう【低空飛行】
ていくうひこうくんれん【低空飛行訓練】
ていけい【定型】
ていけい【定形】
ていけい【提携】
ていけい【提携】
ていけい【梯形】
ていけいあいて【提携相手】
ていけいあいて【提携相手】
ていけいあいてをもとめる【提携相手を求める】
ていけいかんけいをいじする【提携関係を維持する】
ていけいする【提携する】
ていけいのしゅがん【(最近の)提携の主眼】
ていけつ【締結】
ていけつ【締結】
ていけつ【貞潔】
ていけつあつ【低血圧】
ていけん【定見】
ていげん【低減】
ていげん【低減】
ていげん【提言】
ていげん【逓減】
ていこう【抵抗】
ていこう【抵抗】
ていこううんどう【抵抗運動】
ていこうがいえんじん【低公害エンジン】
ていこうがいえんじん【低公害エンジン】
ていこうがいしゃ【低公害車】
ていこうがいしゃ【低公害車】
ていこうせいりょく【抵抗勢力】
ていこうど【低高度】
ていこうりょく【抵抗力】
ていこうりょく【抵抗力】
ていこうりょくをたかめる【(睡眠を十分に取って)抵抗力を高める】
ていこく【定刻】
ていこく【帝国】
ていこく【帝国】
ていこくしゅぎ【帝国主義】
ていさい【体裁】
ていさい【体裁】
ていさいをととのえる【体裁を整える】
ていさいをとりつくろうために【体裁を取りつくろうために】
ていさいをよそおう【体裁を装う】
ていさつ【偵察】
ていさつ【偵察】
ていさつえいせい【偵察衛星】
ていさつかつどう【偵察活動】
ていさつき【偵察機】
ていさつひこう【偵察飛行】
ていさんしょう【低酸症】
ていさんそ【低酸素】
ていさんそせいのうしょう【低酸素(性)脳症】
ていし【停止】
ていし【停止】
ていし【底止】
ていしき【定式】
ていしきかん【停止期間】
ていししているげんしろ【停止している原子炉】
ていししんごう【停止信号】
ていしせい【低姿勢】
ていしせい【低姿勢】
ていしせいで【低姿勢で】
ていしせいである【低姿勢である】
ていしせいにてっする【低姿勢に徹する】
ていしせいをたもつ【低姿勢を保つ】
ていしちゅうである【停止中である】
ていしつ【低湿】
ていしのようせい【停止の要請】
ていしめいれい【停止命令】
ていしゃ【停車】
ていしゃ【停車】
ていしゃしんごう【停車信号】
ていしゃじかん【停車時間】
ていしゃじょう【停車場】
ていしゅ【亭主】
ていしゅ【艇首】
ていしゅう【定収】
ていしゅうは【低周波】
ていしゅく【貞淑】
ていしゅじき【(その報告書の)提出時期】
ていしゅつ【提出】
ていしゅつ【提出】
ていしゅつしょるい【提出(すべき)書類】
ていしょう【提唱】
ていしょう【提唱】
ていしょうがい【低障害】
ていしょく【停職】
ていしょく【停職】
ていしょく【定職】
ていしょく【定食】
ていしょく【定食】
ていしょく【抵触】
ていしょくしゃむけきゅうふ【低所得者向け給付(金)】
ていしょくをだす【定食を出す】
ていしょくをちゅうもんする【定食を注文する】
ていしょく３かげつ【停職３か月】
ていしょく３かげつのちょうかいしょぶんにする【停職３ヶ月の懲戒処分にする】
ていしょとく【低所得】
ていしょとく【低所得】
ていしん【廷臣】
ていしん【挺身】
ていしん【艇身】
ていじ【丁字】
ていじ【定時】
ていじ【提示】
ていじ【提示】
ていじげん【低次元】
ていじゅう【定住】
ていじょ【貞女】
ていすう【定数】
ていすうさくげん【定数削減《議員の》】
ていすうさくげん【定数削減】
ていする【呈する】
ていする【挺する】
ていせい【帝政】
ていせい【訂正】
ていせい【訂正】
ていせいしたしょるい【訂正した書類】
ていせいちょう【低成長】
ていせいのう【低性能】
ていせいのうのぱそこん【低性能のパソコン[PC]】
ていせいばん【訂正版】
ていせいぶんせき【定性分析】
ていせいをくりかえす【訂正を繰り返す】
ていせつ【定説】
ていせつ【貞節】
ていせん【停戦】
ていせん【停戦】
ていせん【停船】
ていせん【底線】
ていせんかんし【停戦監視】
ていせんかんしだん【停戦監視団】
ていせんきょうてい【停戦協定】
ていせんこうしょう【停戦交渉】
ていせんごうい【停戦合意】
ていせんちょうていあん【停戦調停案】
ていせんをいじする【停戦を維持する】
ていせんをかんしする【停戦を監視する】
ていせんをしじする【停戦を支持する】
ていせんをちゅうかいする【停戦(協定)を仲介する】
ていせんをもとめる【停戦を求める】
ていそ【定礎】
ていそ【提訴】
ていそう【低層】
ていそう【貞操】
ていそく【低速】
ていそく【定則】
ていそくすう【定足数】
ていぞく【低俗】
ていたい【停滞】
ていたい【停滞】
ていたい【手痛い】
ていたいおんますい【低体温麻酔】
ていたいしたままのちゅうとうわへい【停滞したままの中東和平】
ていたいぜんせん【停滞前線《気象》】
ていたいはいぼく【手痛い敗北】
ていたく【邸宅】
ていたらく【体たらく】
ていたんそがたせいかつようしき【低炭素型生活様式】
ていたんそとし【低炭素都市】
ていだん【鼎談】
ていち【低地】
ていち【定置】
ていちゃく【定着】
ていちょう【丁重】
ていちょう【低調】
ていちょう【艇長】
ていちょうかいがんせん【低潮海岸線】
ていちょうせん【低潮線】
ていちんぎん【低賃金】
ていちんぎんろうどう【低賃金労働】
ていっぱい【手一杯】
ていてつ【蹄鉄】
ていてん【定点】
ていでん【停電】
ていでん【停電】
ていでんがおきた【停電が起きた】
ていでんじに【停電時に】
ていでんのききにちょくめんする【停電の危機に直面する】
ていでんのげんいん【停電の原因】
ていでんのげんいんとなったらくらい【停電の原因となった落雷】
