「そうていがいだった」といういいわけ【「想定外だった」という言い訳】
そ【祖】
そ【粗】
そあく【粗悪】
そあん【素案】
そいそしょく【粗衣粗食】
そいつ
そいとげる【添い遂げる】
そいね【添い寝】
そいん【素因】
そいん【訴因】
そいんすう【素因数】
そう【僧】
そう【宋】
そう【層】
そう【想】
そう【沿う】
そう【添う】
そう【然う】
そう【相】
そう【躁】
そうあい【相愛】
そうあたり【総当たり】
そうあん【創案】
そうあん【草庵】
そうあん【草案】
そうあん【草案】
そうあんをこうひょうする【草案を公表する】
そうあんをていしゅつする【(…の)草案を提出する】
そうあんをとりまとめる【草案を取りまとめる】
そうあんをみなおす【草案を見直す】
そうい【僧衣】
そうい【創意】
そうい【創痍】
そうい【相違】
そうい【相違】
そうい【総意】
そういう【然ういう】
そういういいかたもあるね【そういう言い方もあるね】
そういうびじょんをえがくよゆうがない【そういうビジョンを描く余裕がない】
そういえば【然う言えば】
そういをはんえいさせる【(AとBの間の)相違を反映させる】
そういん【僧院】
そういん【総員】
そううつびょう【躁鬱病】
そううつびょう【躁鬱病】
そううん【層雲】
そうおう【相応】
そうおん【騒音】
そうおん【騒音】
そうおんこうがい【騒音公害】
そうおんこうがい【騒音公害】
そうおんせいぎょたいさく【騒音抑制対策】
そうおんにたえる【騒音に耐える】
そうおんのれべる【騒音のレベル】
そうおんぼうしたいさく【騒音防止対策】
そうおんもんだい【騒音問題】
そうおんをひきおこす【(…に)騒音を引き起こす】
そうかい【壮快】
そうかい【掃海】
そうかい【爽快】
そうかい【総会】
そうかい【総会】
そうかいなきぶんになる【爽快な気分になる】
そうかいにしゅっせきする【総会に出席する】
そうかいのしゅっせきしゃ【総会の出席者】
そうかいや【総会屋】
そうかいをひらく【総会を開く】
そうかつ【総括】
そうかつ【総轄】
そうかへいきん【相加平均】
そうかん【創刊】
そうかん【壮観】
そうかん【相姦】
そうかん【相関】
そうかん【総監】
そうかん【送還】
そうかんじょう【総勘定】
そうかんとく【総監督】
そうがい【窓外】
そうがい【霜害】
そうがかり【総掛かり】
