ご【五】
ご【碁】
ご【語】
ごあいこにかんしゃもうしあげます【(日頃の)ご愛顧に感謝申し上げます】
ごあいこにかんしゃもうしあげます【(日頃の)ご愛顧に感謝申し上げます】
ごあいさつ【御挨拶】
ごい【語彙】
ごい【語意】
ごいさぎ【五位鷺】
ごう【剛】
ごう【号】
ごう【合】
ごう【壕】
ごう【業】
ごう【郷】
ごうい【合意】
ごうい【合意】
ごういあん【合意案】
ごういけいせい【合意形成】
ごういけいせい【合意形成】
ごういけいせいをはかる【(国民的)合意形成を図る】
ごういする【合意する[に達する]】
ごういつ【合一】
ごういにこぎつける【合意にこぎつける】
ごういのいとぐちをさぐる【合意の糸口を探る】
ごういのむこうか【合意の無効化】
ごういのりこう【合意の履行】
ごういのりこう【合意の履行】
ごういぶんしょ【合意文書】
ごういをいそぐ【合意を急ぐ】
ごういをきずく【合意を築く】
ごういをけいせいする【合意を形成する】
ごういをはきする【合意を破棄する】
ごういをはっぴょうする【合意を発表する】
ごういをはばむ【合意を阻む】
ごういをみおくる【合意を見送る】
ごういをめざす【(国民の)合意を目指す】
ごういをりこうする【合意を履行する】
ごういん【強引】
ごういんなうんえい【強引な[横暴な]運営】
ごういんなそうさ【強引な捜査】
ごういんなそうさをよくしする【強引な捜査を抑止する】
ごうう【豪雨】
ごううのひんど【豪雨の頻度】
ごうおん【号音】
ごうおん【轟音】
ごうか【業火】
ごうか【豪華】
ごうかい【豪快】
ごうかきゃくせん【豪華客船】
ごうかく【合格】
ごうかく【合格】
ごうかくしゃ【(試験)合格者】
ごうかくしゃすう【合格者数】
ごうかくてん【合格点】
ごうかくのとりけし【合格の取り消し】
ごうかくらいん【合格ライン】
ごうかくりつ【(試験の)合格率】
ごうかばん【豪華版】
ごうかほてる【豪華(な)ホテル】
ごうかん【強姦】
ごうかんようぎ【強姦容疑】
ごうがい【号外(ニュース)】
ごうがい【号外】
ごうがくのみこみ【(検査)合格の見込み[めど]】
ごうがん【傲岸】
ごうき【剛毅】
ごうき【豪気剛気】
ごうきゅう【剛球】
ごうきゅう【号泣】
ごうきん【合金】
ごうぎ【合議】
ごうく【合区】
ごうく【業苦】
ごうけい【合計】
ごうけいきんがく【合計金額】
ごうけつ【豪傑】
ごうけん【剛健】
ごうけん【合憲】
ごうけんのきてい【合憲の規定】
ごうご【豪語】
ごうごう【囂囂】
ごうごう【轟轟】
ごうし【合祀】
ごうし【合資】
ごうし【郷士】
ごうしゃ【豪奢】
ごうしょう【豪商】
ごうじょう【強情】
ごうじょうっぱり【強情っ張り】
ごうする【号する】
ごうせい【合成】
ごうせい【合成】
ごうせい【豪勢】
ごうせいおん【合成音】
ごうせいおんせい【合成音声】
ごうせいかいこうれーだー【合成開口レーダー《宇宙工学などで》】
ごうせいかがく【合成化学】
ごうせいがぞう【合成画像】
ごうせいご【合成語】
ごうせいしゃしん【合成写真】
ごうせいじゅし【合成樹脂】
ごうせいせんい【合成繊維】
ごうせいせんざい【合成洗剤】
ごうせいのごびゅう【(全体の一部が全体そのものであると考える)合成の誤謬】
ごうせいはんのう【合成反応】
ごうせいひかく【合成皮革】
ごうせいぶっしつ【合成物質】
ごうせいぶっしつ【合成物質】
ごうせいほぞんりょう【合成保存料】
ごうせつ【豪雪】
ごうせつうやこうずいなどのさいがい【豪雪雨や洪水などの災害】
ごうぜん【傲然】
ごうぜん【轟然】
ごうそう【豪壮】
ごうぞく【豪族】
ごうたい【剛体】
ごうたん【豪胆】
ごうだ【豪打】
ごうだつ【強奪】
ごうちょく【剛直】
ごうちん【轟沈】
ごうつくばり【強突く張り】
ごうてい【豪邸】
ごうてんじょう【格天井】
ごうとう【強盗】
ごうとうさつじん【強盗殺人】
ごうどう【合同】
ごうどういいんかい【合同委員会】
ごうどうえんしゅう【合同(軍事)演習】
ごうどうえんそう【合同演奏】
ごうどうそうかい【合同総会】
ごうどうそうぎ【合同(の)葬儀】
ごうのう【豪農】
ごうのもの【剛の者】
ごうばん【合板】
ごうばん【合板】
ごうひ【ごうひ(合肥)】
ごうひ【合否】
ごうべん【合弁】
ごうべん【合弁】
ごうほう【号砲】
ごうほう【合法】
ごうほう【豪放】
ごうほうてきなさつじん【(戦争という)合法的な殺人】
ごうまん【傲慢】
ごうめいがいしゃ【合名会社】
ごうも【毫も】
ごうもう【剛毛】
ごうもくてき【合目的】
ごうもん【拷問】
ごうもんし【拷問死】
ごうゆう【剛勇】
ごうゆう【豪遊】
ごうよく【強欲】
ごうり【合理】
ごうりき【強力】
ごうりてききかん【合理的期間】
ごうりてきけいかく【合理的計画】
ごうりてきなうたがい【合理的[もっともな]疑い】
ごうりてきなきかんないに【合理的な期間内に】
ごうりてきなむち【合理的な無知】
ごうりゅう【合流】
ごうりゅう【合流】
ごうりゅうてん【合流点《高速道路の》】
ごうりょく【合力】
ごうれい【号令】
ごうわん【豪腕剛腕】
ごうコン【合コン】
ごえい【護衛】
ごえいか【御詠歌】
ごえつどうしゅう【呉越同舟】
ごえもんぶろ【五右衛門風呂】
ごえんりょなくおもうしこしください【ご遠慮なくお申し越し下さい】
ごえんりょなくつぎのめーるあどれすにこめんとをおよせください【ご遠慮なく次のメールアドレスにコメントをお寄せください】
ごおくえんのかりいれ【５億円の借り入れ】
ごおくえんをかりいれる【(…から)５億円を借り入れる】
ごおん【語音】
ごかい【沙蚕】
ごかい【誤解】
ごかい【誤解】
ごかいされるようなはつげん【誤解されるような発言】
ごかいしょ【碁会所】
ごかいする【誤解する】
ごかいによるさべつ【誤解による差別】
ごかいのまんえん【誤解の蔓延[拡散]】
ごかいはなかった【誤解はなかった】
ごかいをあたえたはつげん【誤解を与えた発言】
ごかいをいっそうする【誤解を一掃する】
ごかいをさける【誤解を避ける】
ごかいをただす【誤解を正す】
ごかいをとく【誤解を解く】
ごかいをふっしょくする【誤解を払拭する】
ごかいをまねく【誤解を招く[生む]】
ごかく【互角】
ごかくけい【五角形】
ごかもん【御下問】
ごかん【互換】
ごかん【五官】
ごかん【五感】
ごかん【語幹】
ごかん【語感】
ごがく【語学】
ごがくきょうざい【語学教材】
ごがくのちしき【語学の知識】
ごがつ【五月】
ごがつついたちのでびゅーご【5月1日のデビュー後】
ごがん【護岸】
ごき【語気】
ごきげん【御機嫌】
ごきげんよう【御機嫌よう】
ごきたいにそえるようがんばります【ご期待に沿えるようがんばります】
ごきぶり
ごきょう【五経】
ごきんじょからのいただきもの【ご近所からのいただき物】
ごぎ【語義】
ごく【極】
ごく【獄】
ごく【語句】
ごくあく【極悪】
ごくい【極意】
ごくいん【極印】
ごくごく
ごくごく【極極】
ごくさいしき【極彩色(ごくさいしき)】
ごくさいしき【極彩色】
ごくし【獄死】
ごくしゃ【獄舎】
ごくしょう【極小】
ごくじょう【極上】
ごくちゅう【獄中】
ごくちょうたんぱ【極超短波】
ごくつぶし【穀潰し】
ごくどう【極道】
ごくひ【極秘】
ごくひん【極貧】
ごくび【極微】
ごくぼそ【極細】
ごくもん【獄門】
ごくらく【極楽】
ごくり
ごくろう【御苦労】
ごけ【後家】
ごけい【互恵】
ごけい【語形】
ごけん【護憲】
ごけんこうをいのります【ご健康を祈ります】
ごけんしゅうかい【護憲集会】
ごげん【五弦五絃】
ごげん【語源】
ごこう【後光】
ごこく【五穀】
ごこく【後刻】
ごこく【護国】
ごこん【語根】
ごご【午後】
ごさ【誤差】
ごさい【後妻】
ごさた【御沙汰】
ごさん【午餐】
ごさん【誤算】
ごさんけ【御三家】
ごさんこうまでに【ご参考までに】
ござ【茣蓙蓙】
ごし【五指】
ごしき【五色】
ごしごし
ごしちちょう【五七調】
ごしゃ【誤写】
ごしゃ【誤射】
ごしゃく【語釈】
ごしゅいん【御朱印】
ごしゅうぎぶくろ【ご祝儀袋】
ごしゅうしょうさま【御愁傷様】
ごしゅきょうぎ【五種競技】
ごしょ【御所】
ごしょう【後生】
ごしょく【誤植】
ごしん【誤信】
ごしん【誤審】
ごしん【誤診】
ごしん【護身】
ごしんえい【御真影】
ごしんたい【御神体】
ごじ【誤字】
ごじ【護持】
ごじかんのこうしゅう【５時間の講習】
ごじっぽひゃっぽ【五十歩百歩】
ごじつ【後日】
ごじゅう【五十】
ごじゅう【五重】
ごじゅうおん【五十音】
ごじゅうかた【五十肩】
ごじゅうから【五十雀】
ごじゅうねんまえにうえられたさくら【５０年前に植えられた桜】
ごじゅん【語順】
ごじょ【互助】
ごじょう【互譲】
ごすい【午睡】
ごする【伍する】
ごすんくぎ【五寸釘】
ごせい【互生】
ごせい【語勢】
ごせん【互選】
ごせんし【五線紙】
ごせんふ【五線譜】
ごぜん【午前】
ごぜん【御膳】
ごぜんかいぎ【御前会議】
ごぜんじあい【御前試合】
ごそう【護送】
ごそくろう【御足労】
ごそごそ
ごそっと
ごそり
ごぞう【五臓】
ごぞく【語族】
ごぞんじ【御存じ】
ごたい【五体】
ごたいそう【御大層】
ごたく【御託】
ごたごた
ごたぶん【御多分】
ごたまぜ【ごた混ぜ】
ごだいしゅう【五大州】
ごちそう【御馳走】
ごちゃごちゃ
ごちゃまぜ【ごちゃ混ぜ】
ごちょう【語調】
ごっかん【極寒】
ごっそり
ごった
ごったがえす【ごった返す】
ごったに【ごった煮】
ごっとんごっとん
ごつい
ごつごう【御都合】
ごつごつ
ごつん
ごつんごつん
ごて【後手】
ごてごて
ごてん【御殿】
ごとう【語頭】
ごとうちきゃら【ご当地キャラ(クター)】
ごとく【五徳】
ごとごと
ごとり
ごとん
ごどう【悟道】
ごなん【御難】
ごにん【誤認】
ごにん【誤認】
ごにんたいほ【誤認逮捕】
ごにんはっしゃ【誤認発射】
ごにんばやし【五人囃子】
ごねどく【ごね得】
ごねる
ごねん【御念】
ごねんかんのほしょう【五年間の保証】
ごはさん【御破算】
ごはっと【御法度】
ごはん【御飯】
ごはんどき【御飯時】
ごば【後場】
ごばく【誤爆】
ごばん【碁盤】
ごひゃくえんだまのりゅうつう【500円玉の流通】
ごひゃくきろのこうど【５００キロの高度】
ごび【語尾】
ごびゅう【誤謬】
ごふ【護符】
ごふく【呉服】
ごふべんをおかけしてしまったことにたいし、おわびのきもちをひょうめいしたい【ご不便をおかけしてしまったことに対し、お詫びの気持ちを表明したい】
ごふん【胡粉】
ごぶ【五分】
ごぶがり【五分刈り】
ごぶごぶ【五分五分】
ごぶさた【御無沙汰】
ごへい【御幣】
ごへい【語弊】
ごへんかん【誤変換】
ごほう【語法】
ごほう【誤報】
ごほう【誤報】
ごほう【護法】
ごほうのげんいんかいめい【誤報の原因解明】
ごほうをただす【誤報を正す】
ごほうをだす【(…の)誤報を出す】
ごほうをだす【誤報[間違い警報]を出す】
ごほうをぼうしする【誤報を防止する】
ごほん
ごぼう【牛蒡】
ごぼごぼ
ごぼっ
ごま【胡麻】
ごま【護摩】
ごまかし【誤魔化し】
ごまかし【誤魔化し】
ごまかす【誤魔化す】
ごまめ
ごまんえんのばっきんけいがかくていする【5万円の罰金刑が確定する】
ごまんと
ごみ【芥】
ごみごみ
ごみしゅうしゅうしゃ【ゴミ収集車】
ごみしょうきゃくじのねつ【ごみ焼却時の熱】
ごみしょぶん【ゴミ処分】
ごみしょぶんじょう【ゴミ処分場】
ごみため【芥溜め】
ごみばこ【ごみ箱】
ごみぶんべつあぷり【ごみ分別アプリ】
ごむいん【ゴム印】
ごむえん【ゴム園】
ごむしけんき【ゴム試験機】
ごむせいひん【ゴム製品】
ごむせん【ゴム(で絶縁した)線】
ごむぞこぐつ【ゴム底靴】
ごむだん【ゴム弾】
ごむながぐつ【ゴム長ぐつ】
ごむのうえん【ゴム農園】
ごむのき【ゴムの木】
ごむひも【ゴムひも】
ごむふうせん【ゴム風船】
ごむりごもっとも【御無理御尤も】
ごめいわくをおかけしてこころぐるしいのですが、…【ご迷惑をおかけして心苦しい[申し訳ない]のですが、…】
ごめん【御免】
ごめんそう【御面相】
ごもくずし【五目鮨】
ごもくならべ【五目並べ】
ごもくめし【五目飯】
ごもっとも【御尤も】
ごやく【誤訳】
ごよう【御用】
ごよう【誤用】
ごよう【誤用】
ごようてい【御用邸】
ごようろん【語用論】
ごらいこう【御来光】
ごらく【娯楽】
ごらく【娯楽】
ごらくがい【娯楽街】
ごらくさんぎょう【娯楽産業】
ごらくしせつ【娯楽施設】
ごらくしつ【娯楽室】
ごらくひ【娯楽費】
ごらくろぼっと【娯楽ロボット】
ごらくをもとめる【娯楽を求める】
ごらん【御覧】
ごりおし【ごり押し】
ごりごり
ごりむちゅう【五里霧中】
ごりやく【御利益】
ごりょう【御料】
ごりょう【御陵】
ごりん【五輪】
ごりんかいかく【五輪[オリンピック]改革】
ごりんのめいんかいじょう【五輪[オリンピック]のメイン会場】
ごりんのれきし【五輪[オリンピック]の歴史】
ごりんへのこくみんのかんしん【五輪への国民の関心】
ごるふかいのすーぱーすたー【ゴルフ界のスーパースター】
ごるふくらぶ【ゴルフクラブ《「団体」にも「打球棒」にも同じclubが用いられる》】
ごるふくらぶをふる【ゴルフ(の)クラブを振る】
ごるふたいかい【ゴルフ大会[コンペ]】
ごるふにいく【ゴルフに行く】
ごるふのかんきゃくたち【ゴルフの観客たち】
ごるふのくらぶをふる【ゴルフのクラブを振る】
ごるふのしあい【ゴルフの試合】
ごるふはわたしのしゅみのひとつだ【ゴルフは私の趣味のひとつだ】
ごるふれんしゅうじょう【ゴルフ練習場】
ごるふをする【ゴルフを(１ラウンドプレー)する】
ごれいぜん【御霊前】
ごれんきゅう【５連休】
ごろ
ごろ【語呂】
ごろく【語録】
ごろごろ
ごろごろとなるらいめい【ごろごろとなる雷鳴】
ごろっ
ごろつき
ごろつく
ごろね【ごろ寝】
ごろり
ごわごわ
ごん
ごんぎょう【勤行】
ごんぐ【欣求】
ごんげ【権化】
ごんげん【権現】
ごんごどうだん【言語道断】
ごんどうくじら【巨頭鯨】
ごー
ごーごー
ごーるでんうぃーくのれんきゅうちゅうに【ゴールデンウィークの連休中に】
ごーるでんたいむ【(テレビの)ゴールデンタイム】
ごーん
ごーんごーん
コソコソ，ゴソゴソ
ゴア
ゴクゴク
ゴクッ，ゴクリ，ゴクン
ゴゴーッ
ゴシゴシ
ゴシック【ゴシック】
ゴシップ
ゴジラ
ゴジラエルニーニョ
ゴスペル
ゴチ
ゴチン
ゴックン
ゴツン
ゴツーン
ゴトゴト
ゴトン
ゴトンゴトン
ゴドウィンオーステンさん【ゴドウィンオーステン山】
ゴビさばく【ゴビ砂漠】
ゴブランおり【ゴブラン織り】
ゴブレット
ゴホゴホ
ゴボゴボ
ゴム
ゴム
ゴムバンド
ゴムバンド
ゴムホース
ゴムマット
ゴランこうげん【ゴラン高原】
ゴリラ
ゴルジたい【ゴルジ体】
ゴルフ
ゴルフ
ゴルファー
ゴルフバッグ
ゴルフボール
ゴルフボール
ゴロゴロ
ゴン
ゴング
ゴンドラ
ゴー
ゴーカート
ゴーグル
ゴーゴー
ゴーサイン
ゴージャス
ゴースト
ゴーストップ
ゴーストツイッター
ゴーストフィッシング
ゴーッ
ゴーリキー
ゴール
ゴールイン
ゴールデン
ゴールデンウィーク
ゴールドコースト
ゴールドラッシュ
ゴーン
－ごかし
－ごころ【－心】
－ごし【－越し】
－ごっこ
－ごと
－ごと【－事】
－ごと【－毎】
－ごとき【－如き】
－ごのみ【－好み】
－ごろ【－頃】
ごいこうもく【語彙項目】
ごいし【碁石】
ごいもくろく【語彙目録】
ごいろん【語彙論】
ごういしょ【合意書】
ごうかくしゃ【合格者】
ごうかくしゃさいていてん【合格者最低点】
ごうかくしょう【合格証】
ごうかくつうち【合格通知】
ごうかくてん【合格点】
ごうかせん【豪華船】
ごうかばん【豪華版】
ごうかんしゃ【強姦者】
ごうがいうり【号外売り】
ごうきゅうとうしゅ【剛球投手】
ごうきんてつ【合金鉄】
ごうぎせい【合議制】
ごうけんせい【合憲性】
ごうしがいしゃ【合資会社】
ごうせいご【合成語】
ごうせいしゃしん【合成写真】
ごうせいじゅし【合成樹脂】
ごうせいせんい【合成繊維】
ごうせいせんざい【合成洗剤】
ごうせいねんりょう【合成燃料】
ごうせいひかく【合成皮革】
ごうせいひりょう【合成肥料】
ごうせいひん【合成品】
ごうせいほぞんりょう【合成保存料】
ごうせいゴム【合成ゴム】
ごうせつちたい【豪雪地帯】
ごうたいりきがく【剛体力学】
ごうだつしゃ【強奪者】
ごうだつぶつ【強奪物】
ごうち【碁打ち】
ごうどういいんかい【合同委員会】
ごうどういれいさい【合同慰霊祭】
ごうどうえんしゅう【合同演習】
ごうどうかいぎ【合同会議】
ごうどうかいしゃせつめいかい【合同会社説明会】
