きーこきーこ，ぎーこぎーこ
ぎ【儀】
ぎ【技】
ぎ【義】
ぎ【議】
ぎあく【偽悪】
ぎあん【議案】
ぎいん【議員】
ぎいん【議員】
ぎいん【議院】
ぎいん【議院】
ぎいんうんえいいいんかい【(衆院)議院運営委員会】
ぎいんかいかん【(国会)議員会館】
ぎいんかいかん【(国会)議員会館】
ぎいんかつどう【議員活動】
ぎいんかんのじゆうとうぎ【議員間の自由討議】
ぎいんがいこう【議員外交】
ぎいんがいこう【議員外交】
ぎいんさいひ【議員歳費】
ぎいんじしょく【議員辞職】
ぎいんじしょくする【議員辞職する】
ぎいんたちはしみんのこえにみみをかたむけるべきだ【議員たちは市民の声に耳を傾けるべきだ】
ぎいんていしゅつほうあん【議員提出法案】
ぎいんていすうはいぶん【議員定数配分】
ぎいんないかくせい【議院内閣制】
ぎいんにあつりょくをかける【議員に圧力をかける】
ぎいんになる【議員になる】
ぎいんのせいとうせい【議員の正統性】
ぎいんのせきにん【議員の責任】
ぎいんばっじ【議員バッジ】
ぎいんりっぽう【議員立法】
ぎいんりっぽう【議員立法】
ぎいんれんめい【(…のための)議員連盟】
ぎいんれんめい【議員連盟】
ぎいんをつとめる【議員を務める】
ぎえんきん【義援金】
ぎおん【擬音】
ぎかい【議会】
ぎかい【議会】
ぎかいせい【議会制[主義]】
ぎかいせいじ【議会政治】
ぎかいせいみんしゅしゅぎ【議会制民主主義】
ぎかいせんきょ【議会選挙】
ぎかいで…をしょうげんする【議会で…を証言する】
ぎかいでしつもんする【議会で質問する】
ぎかいでぜったいたすうをしめる【議会で絶対多数を占める】
ぎかいでつよいえいきょうりょくをもつぎいん【議会で強い影響力をもつ議員】
ぎかいでのぎろん【議会での議論】
ぎかいとのたいりつ【議会との対立】
ぎかいに…をていしゅつする【議会に…を提出する】
ぎかいによるけつぎ【議会による決議】
ぎかいのしょうにん【議会の承認】
ぎかいのしょうにん【議会の承認】
ぎかいのはんたい【議会の反対】
ぎかん【技官】
ぎかん【技監】
ぎが【戯画】
ぎがく【伎楽】
ぎがん【義眼】
ぎきょ【義挙】
ぎきょう【義侠】
ぎきょうだい【義兄弟】
ぎきょく【戯曲】
ぎぎ【疑義】
ぎぎ【疑義】
ぎぎぎ
ぎぎをいだく【(…に関して)疑義を抱く】
ぎぎをとなえる【(…に関して)疑義を唱える】
ぎぎをなげかける【(…に関して)疑義を投げかける】
ぎぎをへらす【疑義を減らす】
ぎぎーっ
ぎくぎく
ぎくしゃく
ぎくっ
ぎくり
ぎけい【義兄】
ぎけつ【議決】
ぎけつ【議決】
ぎけつけん【議決権】
ぎけつけんのらんよう【議決権の乱用】
ぎげい【技芸】
ぎこ【擬古】
ぎこう【技工】
ぎこう【技巧】
ぎこぎこ
ぎこちない
ぎこちないあいだがら【ぎこちない間柄】
ぎごく【疑獄】
ぎさく【偽作】
ぎさん【蟻酸】
ぎざぎざ
ぎし【技師】
ぎし【技師】
ぎし【義士】
ぎし【義姉】
ぎし【義歯】
ぎし【義歯】
ぎし【義肢】
ぎしき【儀式】
ぎしき【儀式】
ぎしきばる【儀式張る】
ぎしぎし
ぎしっ
ぎしゅ【技手】
ぎしゅ【義手】
ぎしょ【偽書】
ぎしょう【偽称】
ぎしょう【偽証】
ぎしん【疑心】
ぎじ【擬似】
ぎじ【議事】
ぎじ【議事】
ぎじてつづき【(その委員会の)議事手続き】
ぎじどう【議事堂】
ぎじばり【擬餌針】
ぎじひきのばし【議事引き延ばし】
ぎじゅつ【技術】
ぎじゅつ【技術】
