ぞう【像】
ぞう【象】
ぞういん【増員】
ぞうえい【造営】
ぞうえい【造影】
ぞうえき【増益】
ぞうえん【増援】
ぞうえん【造園】
ぞうお【憎悪】
ぞうお【憎悪】
ぞうおとほうふくのあくじゅんかん【憎悪と報復の悪循環】
ぞうおとほうふくのあくじゅんかん【憎悪と報復の悪循環】
ぞうおによるとうすい【憎悪による(自己)陶酔】
ぞうおはつげん【憎悪発言】
ぞうおをあおりたてる【憎悪(や偏見)をあおりたてる】
ぞうおをかきたてる【憎悪(の炎)をかき立てる】
ぞうか【増加】
ぞうか【増加】
ぞうか【造化】
ぞうか【造花】
ぞうかするいみん【増加する移民(数)】
ぞうかのいっとをたどるじゅよう【増加の一途をたどる需要】
ぞうかをしめす【(…の)増加を示す】
ぞうかをよくせいする【(…の)増加を抑制する】
ぞうかん【増刊】
ぞうがく【増額】
ぞうがめ【象亀】
ぞうがん【象眼】
ぞうき【臓器】
ぞうき【臓器】
ぞうき【雑木】
ぞうきいしょく【臓器移植】
ぞうきいしょく【臓器移植】
ぞうきいしょくにどういする【臓器移植に同意する】
ぞうきいしょくにはんたいする【臓器移植に反対する】
ぞうきいしょくによってすくわれるひとびと【臓器移植によって救われる人びと】
ぞうきいしょくねっとわーく【臓器移植ネットワーク[網]】
ぞうきいしょくねっとわーく【臓器移植ネットワーク】
ぞうきいしょくのきせい【臓器移植の規制】
ぞうきいしょくのじょうけん【臓器移植の条件】
ぞうきいしょくへのりかい【臓器移植への理解】
ぞうきいしょくへのりかいをふかめる【臓器移植への理解を深める】
ぞうきいしょくほう【臓器移植法】
ぞうきいしょくをうけるためにかいがいにいく【臓器移植を受けるために海外に行く】
ぞうきいしょくをおこなう【臓器移植を行なう】
ぞうきいしょくをもとめる【臓器移植を求める[受けようとする]】
ぞうきていきょう【臓器提供】
ぞうきていきょうしゃ【臓器提供者】
ぞうきのかんそうほぞん【臓器の乾燥保存】
ぞうきのきのう【臓器の機能】
ぞうきのきのう【臓器の機能】
ぞうきゅう【増給】
ぞうきょう【増強】
ぞうきん【雑巾】
ぞうけい【造形】
ぞうけい【造詣】
ぞうけつ【増結】
ぞうけつ【増血】
ぞうけつ【造血】
ぞうけつかんさいぼう【造血幹細胞】
ぞうけつかんさいぼういしょく【造血幹細胞移植】
ぞうげ【象牙】
ぞうげのとう【象牙の塔】
ぞうげん【増減】
ぞうご【造語】
ぞうごん【雑言】
ぞうさ【造作雑作】
ぞうさく【造作】
ぞうさつ【増刷】
ぞうさん【増産】
ぞうざん【造山】
ぞうし【増資】
ぞうしじょうほう【増資情報】
ぞうしゅう【増収】
ぞうしゅうわい【贈収賄】
ぞうしょ【蔵書】
ぞうしょう【蔵相】
ぞうしょく【増殖】
ぞうしん【増進】
ぞうすい【増水】
ぞうすい【雑炊】
ぞうすいしたかわ【増水した川】
ぞうすいしたかわにかかるはし【増水した川にかかる橋】
ぞうする【蔵する】
ぞうせい【造成】
ぞうせつ【増設】
ぞうせつようのたんく【増設用のタンク】
ぞうせん【造船】
ぞうぜい【増税】
ぞうぜいをていしゅつする【増税を提唱する】
