べいか【米価】
べいか【米貨】
べいかいへいたいのかいがいいてん【米海兵隊の海外移転】
べいぎかい【米議会】
べいぎかいでのえんぜつ【米議会での演説】
べいぐんしせつ【米軍施設】
べいぐんちゅうりゅうけいひ【(在日)米軍駐留経費】
べいこく【米国】
べいこく【米国】
べいこく【米穀】
べいこくしさんかじょういにじゅうにん【米国資産家上位２０人】
べいこくしじょう【米国市場】
べいこくじん【米国人】
べいこくせいふ【米国政府】
べいこくちゅうかいのわへいこうさく【米国仲介の和平工作】
べいこくにおおきなしょうげきをあたえる【米国に大きな衝撃を与える】
べいこくのいしん【米国の威信】
べいこくのえいきょうりょくのおとろえ【米国の影響力の衰え】
べいこくのそんざいかん【米国の存在感】
べいこくのちからづよさ【米国の力強さ】
べいこくのちょうていきんりせいさく【米国の超低金利政策】
べいこくのつよいせんどうりょく【米国の強い先導力】
べいこくのないがいで【米国の内外で】
べいこくのりねん【(自由と平等を求める)米国の理念】
べいこくみん【米国民】
べいこくをこうしょうのばにひきだす【米国を交渉の場に引き出す】
べいこくをさいせいさせる【米国を再生させる】
べいこくをふたたび…にひきもどす【米国を再び…に引き戻す】
べいご【米語】
べいさく【米作】
べいさん【米産】
べいしゅう【米州】
べいしょく【米食】
べいじゅ【米寿】
べいつが【米栂】
べいまつ【米松】
べいれんぽうせいどじゅんびりじかい【米連邦制度準備理事会】
べからざる【可からざる】
べからず【可からず】
べき
べき【冪】
べそ
べた
べた
べたぐみ【べた組み】
べたつく
べたべた
べたぼめ【べた褒め】
べたぼれ【べた惚れ】
べたやき【べた焼き】
べたり
べちゃべちゃ
べっか【別科】
べっかく【別格】
べっかん【別巻】
べっかん【別館】
べっき【別記】
べっきょ【別居】
べっけ【別家】
べっけい【別掲】
べっけん【別件】
べっけん【瞥見】
べっこ【別個】
べっこう【別項】
べっこう【鼈甲】
べっさつ【別冊】
べっし【別紙】
べっし【蔑視】
べっしつ【別室】
べっしゅ【別種】
べっしょう【別称】
べっしょう【蔑称】
べっせい【別姓】
べっせい【別製】
べっせかい【別世界】
べっせき【別席】
べっそう【別荘】
べっそう【別送】
べったく【別宅】
べったり
べっちん【別珍】
べってい【別邸】
べってんち【別天地】
べっと【別途】
べっとう【別当】
べっとり
べっどのわき【ベッドの脇】
べっどのわきのしゅうのうばこ【ベッドの脇の収納箱】
べっぱ【別派】
べっぴょう【別表】
べっぴん【別嬪】
べっぷう【別封】
べつ【別】
べつあつらえ【別誂え】
べつかんじょう【別勘定】
べつぎょう【別業】
べつぎょう【別行】
べつくち【別口】
べつじょう【別状】
べつじん【別人】
べつずり【別刷り】
べつだて【別立て別建て】
べつだん【別段】
べつどうたい【別働隊】
べつに【別に】
べつのいちめん【(…の)別の一面】
べつのいろ【別の[異なった]色】
べつのう【別納】
べつのもよおしで【別の催しで】
べつばら【別腹】
べつびん【別便】
べつべつ【別別】
べつむね【別棟】
べつめい【別名】
べつめい【別命】
べつもの【別物】
べつもんだい【別問題】
べつよういん【別要因】
べつり【別離】
べつりょうきん【別料金】
べつわく【別枠】
べつわくのふっこうよさん【別枠の復興予算】
べてらんぎいん【ベテラン議員】
べと
べとつく
べとべと
べに【紅】
べにあじさし【紅鰺刺】
べにおしろい【紅白粉】
べにざけ【紅鮭】
べにしょうが【紅生姜】
べにすずめ【紅雀】
べにばな【紅花】
べにひわ【紅鶸】
べにましこ【紅猿子】
べにます【紅鱒】
べにやいた【ベニヤ板】
べにやいたでたてたたてもの【ベニヤ板で建てた建物】
べにやいた２まい【ベニヤ板２枚】
べびーかー【ベビーカー(《椅子型の》)】
べびーかー【ベビーカー《箱型の》】
べびーかーをおす【ベビーカーを押す】
べびーようひん【ベビー用品】
べら
べらぼう
べらんめえ
べろっ
べろべろ
べろり
べん【便】
べん【弁】
べん【弁】
べんい【便意】
べんえき【便益】
べんかい【弁解】
べんがく【勉学】
べんき【便器】
べんきょう【勉強】
べんきょうするよゆう【勉強する余裕】
べんきょうのやるき【勉強の[に対しての]やる気】
べんぎ【便宜】
べんけい【弁慶】
べんご【弁護】
べんごがわのいいぶん【弁護側の言い分】
べんごがわのしゅちょう【弁護側(弁護士)の主張】
べんごし【弁護士】
べんごしのじょうしき【弁護士の常識】
べんごしのりえき【弁護士の利益】
べんさい【弁済】
べんざ【便座】
べんざいてん【弁財天弁才天】
べんし【弁士】
べんしょう【弁償】
べんしょうほう【弁証法】
べんじょ【便所】
べんじる【弁じる】
べんぜつ【弁舌】
べんたつ【鞭撻】
べんちゃーきぎょう【ベンチャー企業】
べんちゅう【鞭虫】
べんつう【便通】
べんてん【弁天】
べんとう【弁当】
べんとうちぇーんてん【弁当チェーン店】
べんとうばこ【弁当箱】
べんぴ【便秘】
べんべつ【弁別】
べんべん【便便】
べんぽう【便法】
べんまく【弁膜】
べんむかん【弁務官】
べんめい【弁明】
べんもう【鞭毛】
べんらん【便覧】
べんり【便利】
べんりし【弁理士】
べんりないいわけ【便利な言い訳】
べんりなことば【便利な言葉】
べんれい【勉励】
べんろん【弁論】
べーすぼーる【ベースボール[野球]】
べーすぼーる【ベースボール[野球]】
べーとーべんのだいくをえんそうする【ベートーベンの第九を演奏する】
ベア
ベアリング
ベイルート
ベオグラード
ベガ
ベクトル
ベクレル
ベゴニア
ベジタブル
ベジタリアン
ベスト
ベスト
ベスレヘム
ベズビオさん【ベズビオ山】
ベタン
ベターハーフ
ベチャ
ベチャクチャ【ベチャクチャ，ぺチャクチャ】
ベチャッ，ペチャッ
ベチュアナランド
ベチョベチョ
ベッ
ベッド
ベッド
ベッドカバー
ベッドタウン
ベッドフォードシャーしゅう【ベッドフォードシャー州】
ベッドメーキング
ベッドルーム
ベツレヘム
ベテラン
ベトナム
ベドウィン
ベナレス
ベナン
ベニス
ベニヤいた【ベニヤ板】
ベニン
ベネズエラ
ベネチア
ベネルクス
ベネルックス
ベビー
ベビー
ベビーオイル
ベビーカー
ベビーシッター
ベビーフード
ベビーブーム
ベビーベッド
ベラウ
ベラクルス
ベラベラ
ベラルーシ
ベランダ
ベリリウム
ベリーズ
ベリーダンス
ベリーロール
ベル
ベルガモ
ベルギー
ベルグラード
ベルゲン
ベルサイユ
ベルダン
ベルト
ベルファスト
ベルベット
ベルモット
ベルモパン
ベルリン
ベルン
ベレン
ベレー【ベレー】
ベロオリゾンテ
ベロナ
ベロベロバー
ベンガジ
ベンガラ
ベンガルわん【ベンガル湾】
ベンジン
ベンゼン
ベンゾール
ベンチ
ベンチャー
ベンチレーター
ベンツ
ベンツ
ベンベルグ
ベン，ペン
ベー
ベーカリー
ベーキングソーダ
ベーキングパウダー
ベークライト
ベーコン
ベーザーがわ【ベーザー川】
ベーシック
ベージュ
ベース
ベース
ベース
ベースアップ
ベースアップ
ベースキャンプ
ベースボール
ベースロード
ベータせん【β線】
ベータカロチン
ベーチェットびょう【ベーチェット病】
ベーッ
ベーリングかい【ベーリング海】
ベール
－べく【－可く】
－べつ【－別】
べいこくき【米国旗】
べいこくこうくううちゅうきょく【米国航空宇宙局】
べいこくしじょう【米穀市場】
べいこくしょう【米穀商】
べいこくなかがいにん【米穀仲買人】
べいさくちたい【米作地帯】
べいさくよそう【米作予想】
べいさんち【米産地［国］】
べいしゅうきこう【米州機構】
べいしゅうじゆうぼうえきちいき【米州自由貿易地域】
べききゅうすう【冪級数】
べっかせい【別科生】
べっきょけっこん【別居結婚】
べっきょてあて【別居手当】
べっけんたいほ【別件逮捕】
べっこういろ【鼈甲色】
べっこうざいく【鼈甲細工】
べっさつふろく【別冊付録】
べっそうばん【別荘番】
べっそうひん【別送品】
べっとかいけい【別途会計】
べっとししゅつ【別途支出】
べっとつみたてきん【別途積立金】
べっとよきん【別途預金】
べつだんよきん【別段預金】
べにいろ【紅色】
べにばなあぶら【べにばな油】
べにふで【紅筆】
べらんめえくちょう【べらんめえ口調】
べんきょうか【勉強家】
べんきょうかい【勉強会】
べんきょうじかん【勉強時間】
べんきょうべや【勉強部屋】
べんぎしゅぎ【便宜主義】
べんぎしゅぎしゃ【便宜主義者】
べんけいじま【弁慶縞じま】
べんけいそう【弁慶草】
べんごいらいにん【弁護依頼人】
べんごし【弁護士】
べんごしかい【弁護士会】
べんごしじむじょ【弁護士事務所】
べんごだん【弁護団】
べんごにん【弁護人】
べんごりょう【弁護料】
べんさいき【弁済期】
べんさいきん【弁済金】
べんしょうきん【弁償金】
べんしょうほうてきゆいぶつろん【弁証法的唯物論】
べんしょうほうろんしゃ【弁証法論者】
べんとうだい【弁当代】
べんとうばこ【弁当箱】
べんもううんどう【鞭毛運動】
べんもうちゅう【鞭毛虫】
べんりや【便利屋】
べんろんか【弁論家】
べんろんたいかい【弁論大会】
べんろんぶ【弁論部】
ベクトルかんすう【ベクトル関数】
ベクトルくうかん【ベクトル空間】
ベストセラー
ベストテン
ベストドレッサー
ベストワン
ベッドイン
ベッドカバー
ベッドシーン
ベッドタウン
ベッドルーム
ベビーふく【ベビー服】
ベビーようひんうりば【ベビー用品売場】
ベビーカー
ベビーサークル
ベビーシッター
ベビーパウダー
ベビーフード
ベビーブーマー
ベビーブーム
ベビーベッド
ベビーホテル
ベルサイユきゅうでん【ベルサイユ宮殿】
ベルサイユじょうやく【ベルサイユ条約】
ベルトコンベア
ベルボーイ
ベンチウォーマー
ベンチャーきぎょう【ベンチャー企業】
ベンチャーとうしききん【ベンチャー投資基金】
ベンチャーキャピタル
ベーコンエッグ
ベースキャンプ
ベースギター
ベースライン
べんけいのなきどころ【弁慶の泣き所】
べっけする【別家する】
べっしする【蔑視する】
べっせいの【別製の】
べっとの【別途の】
べつべつに【別々に】
べつべつの【別々の】
べらぼうな【べらぼうな（に）】
べんかいする【弁解する】
べんきょうする【勉強する】
べんごする【弁護する】
べんさいする【弁済する】
べんたつする【鞭撻する】
べんりな【便利な】
ベトナムの
ベドウィンの
ベナンの
ベニスの
ベネズエラの
ベリーズの
ベルギーの
ベースアップする
