や
や【家】
や【矢】
や【輻】
や【野】
やあ
やい
やいのやいの
やいば【刃】
やいん【夜陰】
やえ【八重】
やえい【夜営】
やえい【野営】
やえざき【八重咲き】
やえざくら【八重桜】
やえざくら【八重桜】
やえば【八重歯】
やえむぐら【八重葎】
やえん【野猿】
やおちょう【八百長】
やおちょう【八百長】
やおちょうぎわく【八百長疑惑】
やおちょうこうい【八百長行為】
やおちょうしょうぶ【八百長勝負】
やおちょうじあい【八百長試合】
やおちょうにかんよする【八百長に関与する】
やおちょうようぎでたいほする【八百長容疑で逮捕する】
やおちょうれーす【八百長レース】
やおもて【矢面】
やおや【八百屋】
やおら
やかい【夜会】
やかた【屋形館】
やかたぶね【屋形船】
やかましい【喧しい】
やかましや【喧し屋】
やから【族輩】
やかん【夜間】
やかん【夜間】
やかん【薬缶】
やかんうんこう【夜間運行《バス、列車などの》】
やかんうんてん【夜間運転】
やかんがっこう【夜間学校】
やかんきんこ【夜間金庫《金融機関などの》】
やかんしんりょう【夜間診療】
やかんたいおうがたほうもんかいご【夜間対応型訪問介護】
やかんちゅうがく【夜間中学】
やかんでんりょく【夜間電力】
やかんのおおあめ【夜間の大雨】
やかんのざんぎょう【夜間の残業】
やかんのひなん【夜間の避難】
やかんひこう【夜間飛行】
やかんほいくじょ【夜間保育所】
やかんわりびき【夜間割引】
やがい【野外】
やがいえんしゅう【野外演習】
やがいえんそうかい【野外演奏会】
やがいこんさーと【野外コンサート[演奏会]】
やがく【夜学】
やがて
やき【夜気】
やき【焼き】
やきあがる【焼き上がる】
やきあみ【焼き網】
やきいし【焼き石】
やきいも【焼き芋】
やきいれ【焼き入れ】
やきいん【焼き印】
やきうち【焼き討ち焼き打ち】
やきえ【焼き絵】
やきがね【焼き金】
やききる【焼き切る】
やきぐし【焼き串】
やきぐり【焼き栗】
やきごて【焼き鏝】
やきごめ【焼き米】
やきざかな【焼き魚】
やきざかな【焼き魚】
やきしお【焼き塩】
やきすてる【焼き捨てる】
やきそば【焼き蕎麦】
やきたて【焼きたて】
やきだまきかん【焼き玉機関】
やきつく【焼き付く】
やきつけ【焼き付け】
やきつける【焼き付ける】
やきとり【焼き鳥】
やきどうふ【焼き豆腐】
やきなおし【焼き直し】
やきなおす【焼き直す】
やきなまし【焼き鈍し】
やきにく【焼き肉】
やきのり【焼き海苔】
やきはまぐり【焼き蛤】
やきはらう【焼き払う】
やきばた【焼き畑】
やきふ【焼き麩】
やきぶた【焼き豚】
やきまし【焼き増し】
やきめし【焼き飯】
やきもき
やきもち【焼き餅】
やきもどし【焼き戻し】
やきもの【焼き物】
やきゅう【野球】
やきゅう【野球】
やきゅうかい【野球界】
やきゅうかんとく【野球監督】
やきゅうかんとくになる【野球監督になる】
やきゅうかんとくをまかされる【野球監督を任される[に任命される]】
やきゅうとばく【野球賭博】
やきゅうとばく【野球賭博】
やきゅうとばくじょうしゅうしゃ【野球賭博常習者】
やきゅうとばくにかかわる【野球賭博に関わる】
やきゅうのしどうしゃ【野球の指導者】
やきゅうのみりょくをはっしんする【(世界に)野球の魅力を発信する】
やきゅうのやおちょう【野球の八百長】
やきゅうひょうろんか【野球評論家】
やきゅうふぁん【野球ファン】
やきゅうをけんぶつする【野球を見物する】
やきゅうをするよろこび【野球をする喜び】
やきょく【夜曲】
やきりんご【焼きりんご】
やきん【冶金】
やきん【夜勤】
やぎ【山羊】
やぎゅう【野牛】
やぎょう【夜業】
やく4わりというちゅうしゅつりつ【約4割という抽出率】
やく【厄】
やく【妬く】
やく【役】
やく【焼く】
やく【約】
やく【葯】
