に【二】
に【荷】
にあい【似合い】
にあう【似合う】
にあがる【煮上がる】
にあげ【荷揚げ】
にあつかい【荷扱い】
にい【二位】
にいがたけんちゅうえつじしん【新潟県中越地震】
にいさん【兄さん】
にいづま【新妻】
にいにいぜみ【にいにい蝉】
にいぼん【新盆】
にいん【二院】
にうけ【荷受け】
にうごき【荷動き】
にうま【荷馬】
にえかえる【煮え返る】
にえきらない【煮え切らない】
にえたぎる【煮え滾る】
にえたつ【煮え立つ】
にえゆ【煮え湯】
にえる【煮える】
におい【匂い香い】
におい【臭い】
におう【仁王】
におう【匂う香う】
におう【臭う】
におくり【荷送り】
におわせる【匂わせる】
にかい【二回】
にかい【二階】
にかいきゅうとくしん【二階級特進】
にかこくごほうそう【二か国語放送】
にかよう【似通う】
にかわ【膠】
にがい【苦い】
にがいきおく【苦い記憶】
にがいきょうくん【(その災害の)苦い教訓】
にがいけいけん【苦い経験】
にがお【似顔】
にがす【逃がす】
にがっきせい【二学期制】
にがつ【二月】
にがて【苦手】
にがにがしい【苦苦しい】
にがみ【苦味】
にがみばしった【苦味走った】
にがむし【苦虫】
にがり【苦汁】
にがりきる【苦り切る】
にがわせ【荷為替】
にがわらい【苦笑い】
にがわらい【苦笑い】
にがんレフ【二眼レフ】
にき【二期】
にきび【面皰】
にきょく【二極】
にきれんぞくのぞうえき【２期連続の増益】
にぎてき【二義的】
にぎにぎしい【賑賑しい】
にぎやか【賑やか】
にぎやかなとおり【にぎやかな通り】
にぎらせる【握らせる】
にぎり【握り】
にぎりしめる【握り締める】
にぎりずし【握り鮨】
にぎりつぶす【握り潰す】
にぎりめし【握り飯】
にぎりや【握り屋】
にぎる【握る】
にぎわい【賑わい】
にぎわう【賑わう】
にぎわす【賑わす】
にく【肉】
にく【肉】
にくい【憎い】
にくが【肉芽】
にくがん【肉眼】
にくぎゅう【肉牛】
にくげ【憎げ】
にくさ【憎さ】
にくしつ【肉質】
にくしみ【憎しみ】
にくしみにみちたことば【憎しみに満ちた言葉】
にくしみをこめたこめんと【憎しみを込めたコメント】
にくしゅ【肉腫】
にくしょく【肉食】
にくしょくのけいえん【肉食の敬遠】
にくしん【肉親】
にくじきさいたい【肉食妻帯】
にくずく【肉豆蒄】
にくずれ【煮崩れ】
にくずれ【荷崩れ】
にくせい【肉声】
にくたい【肉体】
にくたい【肉体】
にくたいてきくつう【肉体的苦痛】
にくたいてきくろう【肉体的苦労】
にくたいてきせいちょう【肉体的[からだの]成長】
にくたいてきひろう【肉体的(な)疲労】
にくたいび【肉体美】
にくたいろうどう【肉体労働】
にくたらしい【憎たらしい】
にくだんせん【肉弾戦】
にくち【肉池】
にくづき【肉付き】
にくづけ【肉付け】
にくどうふ【肉豆腐】
にくにくしい【憎憎しい】
にくのかんづめ【肉の缶詰】
にくのかんづめ【肉の缶詰】
にくのかんづめ【肉の缶詰】
にくはく【肉薄肉迫】
にくばなれ【肉離れ】
にくひつ【肉筆】
にくひつでてがみをかく【肉筆で手紙を書く】
にくぶと【肉太】
にくぼそ【肉細】
にくまれぐち【憎まれ口】
にくまれっこ【憎まれっ子】
にくまれもの【憎まれ者】
