む【無】
むあんだ【無安打】
むい【無位】
むい【無為】
むいか【六日】
むいぎ【無意義】
むいしき【無意識】
むいしきのきおく【無意識の記憶】
むいそん【無医村】
むいちぶつ【無一物】
むいちもん【無一文】
むいみ【無意味】
むいみ【無意味】
むいみになる【(…が)無意味になる】
むいん【無韻】
むえき【無益】
むえん【無塩】
むえん【無煙】
むえん【無縁】
むえん【無鉛】
むえんたばこ【無煙たばこ】
むえんばか【無縁墓】
むえんぼち【無縁墓地】
むおん【無音】
むかい【向かい】
むかいあう【向かい合う】
むかいあわせ【向かい合わせ】
むかう【向かう】
むかえ【迎え】
むかえいれる【迎え入れる】
むかえうつ【迎え撃つ】
むかえる【迎える】
むかご【零余子】
むかし【昔】
むかしかたぎ【昔気質】
むかしからのいましめ【昔からの戒め】
むかしからのともだち【昔からの友達】
むかしがたり【昔語り】
むかしつ【無過失】
むかしながらのでんとう【昔ながらの伝統】
むかしながらのわしょく【昔ながらの和食】
むかしなじみ【昔馴染み】
むかしのうらみ【昔の恨み】
むかしのおもかげをのこす【昔の面影を残す】
むかしのやくそく【昔の約束】
むかしばなし【昔話】
むかしふう【昔風】
むかち【無価値】
むかって【向かって】
むかっぱら【むかっ腹】
むかつく
むかつくことば【むかつく言葉】
むかで【百足蜈蚣】
むかむか
むかん【無冠】
むかんかく【無感覚】
むかんがえ【無考え】
むかんけい【無関係】
むかんしん【無関心】
むかんぜいちたい【無関税地帯】
むかんぜいちたい【無関税地帯】
むかんぜいひん【無関税品】
むかんぜいぼうえき【無関税貿易】
むかんぜいゆにゅうわく【無関税輸入枠】
むかんぜいゆにゅうわく【無関税輸入枠】
むかんぜいゆにゅうわくをかくだいする【無関税輸入枠を拡大する】
むかんぜいゆにゅうわくをせっていする【無関税輸入枠を設定する】
むかんどう【無感動】
むが【無我】
むがい【無害】
むがい【無蓋】
むがいつうこう【無害通航】
むがいつうこうけん【無害通航権】
むがいなきん【無害な菌】
むがく【無学】
むき【向き】
むき【無期】
むき【無機】
むきあう【向き合う】
むきげん【無期限】
むきげん【無期限】
むきず【無傷】
むきだし【剥き出し】
むきだす【剥き出す】
むきちょうえき【無期懲役】
むきちょうえきのはんけつをくだす【無期懲役の判決を下す】
むきちょうえきをいいわたす【無期懲役を言い渡す】
むきどう【無軌道】
むきなおる【向き直る】
むきになる【向きになる】
むきふむき【向き不向き】
むきみ【剥き身】
むきむき【向き向き】
むきめい【無記名】
むきめいとうひょう【無記名投票】
むきゅう【無休】
むきゅう【無窮】
むきゅう【無給】
むきょういく【無教育】
むきょうそう【無競争】
むきょうよう【無教養】
むきょか【無許可】
むきりょく【無気力】
むきん【無菌】
むぎ【麦】
むく【剥く】
むく【向く】
むく【無垢】
むくい【報い】
むくいぬ【尨犬】
むくいる【報いる】
むくげ【尨毛】
むくげ【木槿】
むくち【無口】
むくつけき
むくどり【椋鳥】
むくみ【浮腫み】
むくむ【浮腫む】
むくむく
むくれる
むくろ【躯骸】
むくわれる【報われる】
むけい【無形】
むけいかく【無計画】
むけいけん【無経験】
むけいこく【無警告】
むけいさつ【無警察】
むけいぶんかいさん【無形文化遺産】
むけいぶんかざい【無形文化財】
むけっきん【無欠勤】
むけっせき【無欠席】
むけつ【無欠】
むけつ【無血】
むけてのあぷろーち【(…に)向けてのアプローチ】
むける【剥ける】
むける【向ける】
むげ【無碍】
むげい【無芸】
むげに【無下に】
むげん【夢幻】
むげん【無限】
むげんのかのうせい【(子どもたちの)無限の可能性】
むこ【婿】
むこう【向こう】
むこう【無効】
むこういき【向こう意気】
むこうがい【無公害】
むこうがわ【向こう側】
むこうきず【向こう傷】
むこうぎし【向こう岸】
むこうすいりょう【無効水量】
むこうずね【向こう脛】
むこうとうひょう【無効投票】
むこうはちまき【向こう鉢巻き】
むこうひょう【無効票】
むこうみず【向こう見ず】
むこきゅう【無呼吸】
むこくせき【無国籍】
むこせきじ【無戸籍児】
むごい【惨い酷い】
むごたらしい【惨たらしい】
むごたらしいいたいのしゃしん【むごたらしい遺体の写真】
むごん【無言】
むさく【無策】
むさくい【無作為】
むさくいちゅうしつ【無作為抽出】
むさくいちゅうしつほうしき【無作為抽出方式】
むさくいちゅうしゅつしたしみん【無作為抽出した市民】
むさくいなくみあわせ【(…の)無作為な組み合わせ】
むさくいに30こうをちゅうしゅつしたちょうさ【無作為に30港を抽出した調査】
むさくいひょうほん【無作為標本】
むさくじょばん【無削除版】
むさくるしい
むささび【鼯鼠】
むさつ【無札】
むさべつ【無差別】
むさべつこうげき【無差別攻撃】
むさべつさつじん【無差別殺人】
むさべつてろ【無差別テロ】
むさぼる【貪る】
むさん【無産】
むさん【霧散】
むさんそうんどう【無酸素運動】
むざい【無罪】
むざいとすいていされるけんり【(有罪が立証されるまでは)無罪と推定される権利】
むざいをうったえる【無罪を訴える】
むざむざ
むざん【無残無惨】
むし【無死】
むし【無私】
むし【無視】
むし【虫】
むしあつい【蒸し暑い】
むしかえす【蒸し返す】
むしかく【無資格】
むしかご【虫籠】
むしがし【蒸し菓子】
むしき【蒸し器】
むしくい【虫食い】
むしくだし【虫下し】
むしけら【虫螻】
むしけん【無試験】
むしこうせいマイク【無指向性マイク】
むしさされ【虫刺され】
むしず【虫酸虫唾】
